id	sentence	raw	ipa	gloss_en	features	notes
ar-IQ-001	شْلَونَك اِلْيَوم؟ شَكُو مَاكُو بِالسُّوگ؟	شلونك اليوم؟ شكو ماكو بالسوگ؟	ˈʃloːnak ilˈjoːm ˈʃakuː ˈmaːkuː bisˈsuːɡ	How are you today? What's happening at the market?	kaf;sun_assim;geminate;long_vowel;diphthong;question	šlōnak greeting, šaku māku idiom (erwin1963 §intro; blanc1964); monophthong ō in شلون
ar-IQ-002	اِلْجَوّ حَارّ هْوَايَة بِبَغْدَاد بِالصَّيف.	الجو حار هواية ببغداد بالصيف.	ilˈdʒaww ˈħaːrr ˈhwaːja bibaɣˈdaːd bisˤˈsˤeːf	The weather is very hot in Baghdad in the summer.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	hwāya 'very' (erwin1963 s.v.); ج=/dʒ/; geminates وّ رّ; emphatic ص with backing
ar-IQ-003	مَا أَرِيد قَهْوَة، خَلِّي نِشْرَب چَاي بِالْهَيل.	ما أريد قهوة، خلي نشرب چاي بالهيل.	ˈmaː ʔaˈriːd ˈɡahwa ˈxalliː ˈniʃrab ˈtʃaːj bilˈheːl	I don't want coffee, let's drink tea with cardamom.	qaf;hamza;ta_marbuta;geminate;long_vowel;diphthong;negation;imperative	ق=/ɡ/ gilit reflex in gahwa (blanc1964 §3.25); چ=/tʃ/ čāy (erwin1963: kaf affrication written چ); geminate لّ
ar-IQ-004	اِشْتَرَيت ثَلَث كِيلُو طَمَاطَة مِن اِلسُّوگ بِخَمْسَة آلَاف.	اشتريت ثلث كيلو طماطة من السوگ بخمسة آلاف.	ʔiʃtaˈreːt ˈθalaθ ˈtʃiːluː tˤɑˈmɑːtˤɑ ˈmin isˈsuːɡ biˈxamsa ʔaːˈlaːf	I bought three kilos of tomatoes from the market for five thousand.	interdental;kaf;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement;number	interdental ث retained /θ/ (blanc1964: gilit retains interdentals); سُوگ with گ=/ɡ/ (erwin1963 orthography)
ar-IQ-005	هَاذَا اِلْمُعَلِّم اِلْجِدِيد ظَلّ يِحْچِي وِيَّانَا لِلظُّهُر.	هاذا المعلم الجديد ظل يحچي ويانا للظهر.	ˈhaːðaː ilmuˈʕallim ildʒiˈdiːd ˈðˤɑll ˈjiħtʃiː wijˈjaːnaː ˈliðˤðˤuhur	This new teacher kept talking with us until noon.	jim;interdental;emphatic;pharyngeal;geminate;long_vowel;statement	ذ retained /ð/ in hāða; ظ=/ðˤ/ retained (blanc1964); يِحْچِي 'talks' with چ (erwin1963 s.v. حچى); wiyyā- 'with' (erwin1963)
ar-IQ-006	گُوم جِيب الْجَاي وِالْخُبُز مِن الْمَطْبَخ.	گوم جيب الجاي والخبز من المطبخ.	ˈɡuːm ˈdʒiːb alˈdʒaːj ˈwilxubuz ˈmin alˈmɑtˤbax	Get up, bring the tea and the bread from the kitchen.	jim;emphatic;long_vowel;imperative	gilit imperatives guum/jiib with the dialectal گ spelling (blanc1964; erwin1963 s.v. gaam); chaay/xubuz household register
ar-IQ-007	اِلْيَوم اِلْجَوّ مُو بَارِد، بَسّ مَاكُو شَمْس.	اليوم الجو مو بارد، بس ماكو شمس.	ilˈjoːm ilˈdʒaww ˈmuː ˈbaːrid ˈbass ˈmaːkuː ˈʃams	Today the weather is not cold, but there is no sun.	jim;kaf;geminate;long_vowel;diphthong;negation;statement	mu (مو) predicate negation + maku existential (erwin1963); ج=/dʒ/ retained (blanc1964); geminates جَوّ, بَسّ
ar-IQ-008	بِيش اللَّحَم الْيَوم؟ بِأَلْفَين دِينَار.	بيش اللحم اليوم؟ بألفين دينار.	ˈbiːʃ ˈallaħam alˈjoːm biʔalˈfeːn diːˈnaːr	How much is the meat today? Two thousand dinars.	hamza;sun_assim;pharyngeal;geminate;long_vowel;diphthong;question;number	beesh 'how much' + il-laham (erwin1963); sun-assim اللَّحَم written with shadda (blanc1964)
ar-IQ-009	الْمَوعِد بَاچِر السَّاعَة تِسْعَة.	الموعد باچر الساعة تسعة.	alˈmoːʕid ˈbaːtʃir asˈsaːʕa ˈtisʕa	The appointment is tomorrow at nine.	ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	baačir 'tomorrow' with چ (erwin1963); aw→oː in مَوعِد (erwin1963); sun-assim السَّاعَة (blanc1964)
ar-IQ-010	اِحْنَا نِسْكُن وِيَّة الأَهَل بْبَغْدَاد.	احنا نسكن وية الأهل ببغداد.	ˈʔiħnaː ˈniskun ˈwijja ˈalʔahal bbaɣˈdaːd	We live with the family in Baghdad.	kaf;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;statement	iḥna, niskun, wiyya, ahal 'family' gilit lexicon (erwin1963)
ar-IQ-011	رُوح سِيدَة وِلِفّ عَ الْيِمْنَة.	روح سيدة ولف ع اليمنة.	ˈruːħ ˈsiːda wiˈliff ˈʕa lˈjimna	Go straight and turn to the right.	ta_marbuta;pharyngeal;geminate;long_vowel;imperative	ruuḥ/siida/liff imperatives, 'a l-yimna 'to the right' (erwin1963); proclitic عَ + article
ar-IQ-012	الْمَقْلُوبَة چَانَت زَينَة هْوَايَة الْبَارْحَة.	المقلوبة چانت زينة هواية البارحة.	almaɡˈluːba ˈtʃaːnat ˈzeːna ˈhwaːja lˈbaːrħa	The maqluba was very good yesterday.	qaf;ta_marbuta;pharyngeal;long_vowel;diphthong;statement	čaanat 'was' — lexicalised kaf affrication written چ per primary-source README (blanc1964 §3.25); hwaaya 'very' (erwin1963)
ar-IQ-013	مِنَين أَجِيب الْمَفَاتِيح؟ مَاكُو شِي هْنَا.	منين أجيب المفاتيح؟ ماكو شي هنا.	miˈneːn ʔaˈdʒiːb almafaːˈtiːħ ˈmaːkuː ˈʃiː ˈhnaː	Where do I get the keys from? There is nothing here.	jim;kaf;hamza;pharyngeal;long_vowel;diphthong;question;negation	minein 'from where' + maku negation (erwin1963); ay→eː in مِنَين (blanc1964)
ar-IQ-014	چَم وَلَد عِدْكُم بِالْبَيت؟	چم ولد عدكم بالبيت؟	ˈtʃam ˈwalad ˈʕidkum bilˈbeːt	How many children do you have at home?	kaf;pharyngeal;long_vowel;diphthong;question;number	čam 'how many' with چ (erwin1963); ay→eː بَيت (blanc1964)
ar-IQ-015	إِذَا تِجِي بَاچِر، نْرُوح سَوَة لِلسُّوگ.	إذا تجي باچر، نروح سوة للسوگ.	ˈʔiðaː ˈtidʒiː ˈbaːtʃir ˈnruːħ ˈsawa lisˈsuːɡ	If you come tomorrow, we will go together to the market.	jim;interdental;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;statement	idha/tiji/nruuḥ/sawa (erwin1963); interdental ذ retained /ð/ (blanc1964); sun-assim لِلسُّوگ
ar-IQ-016	الْبَارْحَة اِشْتَرَيت خُبُز وْلَحَم مِن السُّوگ.	البارحة اشتريت خبز ولحم من السوگ.	alˈbaːrħa ʔiʃtaˈreːt ˈxubuz ˈwlaħam ˈmin asˈsuːɡ	Yesterday I bought bread and meat from the market.	ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	khubuz 'bread' [xubuz] cf [χʊbʊz] (jasim2020); qaf→ɡ سُوگ written گ (blanc1964)
ar-IQ-017	رَح نْسَافِر لِلْبَصْرَة بَاچِر بِالسَّيَّارَة.	رح نسافر للبصرة باچر بالسيارة.	ˈraħ ˈnsaːfir lilˈbɑsˤra ˈbaːtʃir bissajˈjaːra	We will travel to Basra tomorrow by car.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	raḥ future + nsaafir; emphatic backing /a/→[ɑ] in بَصْرَة (jasim2020); baačir چ (erwin1963)
ar-IQ-018	خَابَرْنِي بِالتِّلِفُون الْبَارْحَة.	خابرني بالتلفون البارحة.	xaːˈbarniː bittiliˈfuːn alˈbaːrħa	He called me on the phone yesterday.	ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;statement	khaabar 'to phone' (erwin1963); sun-assim التِّلِفُون written with shadda (blanc1964)
ar-IQ-019	مَرْحَبَا، شْلَون الْحَال؟	مرحبا، شلون الحال؟	ˈmarħabaː ˈʃloːn alˈħaːl	Hello, how are things?	pharyngeal;long_vowel;diphthong;question	marḥaba greeting + shlon il-ḥaal adjacency-pair opener (erwin1963)
ar-IQ-020	الإِيد الْوِحْدَة مَا تْصَفُّگ.	الإيد الوحدة ما تصفگ.	alˈʔiːd alˈwiħda ˈmaː ˈtsˤɑffuɡ	One hand does not clap.	hamza;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;negation;statement	proverb; ma verbal negation; emphatic ص backing (jasim2020); qaf→ɡ تْصَفُّگ written گ (blanc1964)
