id	sentence	ipa	gloss_en	features	notes
pt-BR-x-ce-001	O tempo não está bom hoje de tarde.	ˈu ˈtẽpu ˈnɐ̃w̃ ɛˈhta ˈbõ ˈoʒi ˈdi ˈtaɾdi	The weather is not good this afternoon.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;nasal_diphthong;sandhi;statement;negation	Diagnostic coda /S/ aspiration ->[h] before a consonant in 'está'->[ɛˈhta] per cardoso_etal2014; nasal diphthong [ɐ̃w̃] in 'não' and nasal [õ] in 'bom' per mateus_dandrade2000.
pt-BR-x-ce-002	Estas festas custam quarenta reais.	ˈehtas ˈfehtas ˈkuhtɐ̃ kaˈɾẽtɐ ʁɛˈajs	These parties cost forty reais.	vowel_reduction;open_mid;close_mid;nasal_vowel;rhotic;statement;number	Coda /S/ aspiration ->[h] in 'estas'/'festas'/'custam'->[ˈehtas ˈfehtas ˈkuhtɐ̃] per cardoso_etal2014; word-final /S/ kept [s] in 'reais' and strong onset /r/->[ʁ] per silva2002.
pt-BR-x-ce-003	A consulta é amanhã às onze horas.	ˈɐ kõˈsuwtɐ ˈɛ amaˈɲɐ̃ ˈas ˈõzi ˈoɾas	The appointment is tomorrow at eleven.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;l_dark_or_velar;sandhi;statement;number	Word-final /S/ kept [s] in 'às'/'horas' (aspiration is pre-consonantal) per cardoso_etal2014; vocalised coda /l/->[w] in 'consulta' and palatal [ɲ] in 'amanhã' per mateus_dandrade2000.
pt-BR-x-ce-004	Meu tio mora numa casa bonita.	ˈmew ˈt͡ʃiu ˈmoɾɐ ˈnumɐ ˈkazɐ bɔˈnitɐ	My uncle lives in a nice house.	vowel_reduction;open_mid;close_mid;statement	Palatal africada /t/+/i/->[t͡ʃ] in 'tio' (Fortaleza prestige norm retains palatalisation) per cardoso_etal2014; open pretonic /o/->[ɔ] in 'bonita' per cardoso_etal2014.
pt-BR-x-ce-005	Vira ali na esquina e desce a ladeira.	ˈviɾɐ aˈli ˈnɐ ɛˈhkinɐ ˈi ˈdehs̺i ˈɐ laˈdejɾɐ	Turn there at the corner and go down the slope.	vowel_reduction;open_mid;close_mid;diphthong_ei_ou;sandhi;imperative	Coda /S/ aspiration ->[h] in 'esquina'->[ɛˈhkinɐ] and 'desce'->[ˈdehs̺i] per cardoso_etal2014; 'ei' in 'ladeira' and 'desce a' liaison per callou_leite2001.
pt-BR-x-ce-006	A carne de sol estava deliciosa.	ˈɐ ˈkaɾni ˈdi ˈsow ɛˈhtavɐ dɛlis̺iˈozɐ	The sun-dried beef was delicious.	vowel_reduction;open_mid;close_mid;l_dark_or_velar;statement	Coda /S/ aspiration ->[h] in 'estava'->[ɛˈhtavɐ] per cardoso_etal2014; vocalised coda /l/->[w] in 'sol' and open pretonic /e/->[ɛ] in 'deliciosa' per silva2002.
pt-BR-x-ce-007	Onde é que a gente espera o ônibus?	ˈõdi ˈɛ ˈki ˈɐ ˈɡẽti ɛˈhpeɾɐ ˈu ˈonibus	Where do we catch the bus?	vowel_reduction;open_mid;close_mid;nasal_vowel;sandhi;question	Coda /S/ aspiration ->[h] in 'espera'->[ɛˈhpeɾɐ] per cardoso_etal2014; word-final [s] in 'ônibus', open mid [ɛ] in 'é' and 'que a'/'gente espera' liaisons per mateus_dandrade2000.
pt-BR-x-ce-008	Quantos parentes você espera hoje?	ˈkɐ̃tʊs paˈɾẽtɪs vɔˈke ɛˈhpeɾɐ ˈoʒi	How many relatives are you expecting today?	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;sandhi;question;number	Coda /S/ aspiration ->[h] in 'espera' and word-final [s] in 'quantos'/'parentes' per cardoso_etal2014; open pretonic /o/->[ɔ] in 'você', /e/->[ɛ] in 'espera' per cardoso_etal2014.
pt-BR-x-ce-009	Se eu pudesse, comprava aquela rede.	ˈsi ˈew puˈdesi kõˈpɾavɐ aˈkelɐ ˈʁedi	If I could, I would buy that hammock.	vowel_reduction;close_mid;nasal_vowel;rhotic;sandhi;statement	Conditional-imperfect frame; strong onset /r/->[ʁ] in 'rede' per silva2002; 'se eu' liaison and open mid [ɛ] in 'aquela' per mateus_dandrade2000.
pt-BR-x-ce-010	A gente gosta de tapioca com manteiga.	ˈɐ ˈɡẽti ˈɡohtɐ ˈdi tapiˈokɐ ˈkõ mɐ̃ˈtejɡɐ	We like tapioca with butter.	vowel_reduction;close_mid;nasal_vowel;diphthong_ei_ou;statement	Coda /S/ aspiration ->[h] in 'gosta'->[ˈɡohtɐ] per cardoso_etal2014; 'ei' in 'manteiga', open pretonic /o/->[ɔ] in 'tapioca' and 'gente gosta' liaison per silva2002.
pt-BR-x-ce-011	Amanhã a tia viaja até Fortaleza de dia.	amaˈɲɐ̃ ˈɐ ˈt͡ʃiɐ viˈaʒɐ aˈtɛ fɔɾtaˈlezɐ ˈdi ˈd͡ʒiɐ	Tomorrow the aunt travels to Fortaleza by day.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;sandhi;statement	Palatal africadas /t,d/+/i/->[t͡ʃ,d͡ʒ] in 'tia'/'de dia' per cardoso_etal2014; palatal [ɲ] in 'amanhã', 'amanhã a' liaison and open mid [ɛ] in 'até' per mateus_dandrade2000.
pt-BR-x-ce-012	Me liga assim que você chegar em casa.	ˈmi ˈliɡɐ aˈsĩ ˈki vɔˈke ʃɛˈɡaɾ ˈẽ ˈkazɐ	Call me as soon as you get home.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;sandhi;imperative	Open pretonic /o/->[ɔ] in 'você' and /e/->[ɛ] in 'chegar' per cardoso_etal2014; 'liga assim' liaison and nasal [ẽ] in 'em' per mateus_dandrade2000.
pt-BR-x-ce-013	Boa tarde, então como é que tu tá passando?	ˈboɐ ˈtaɾdi ẽˈtɐ̃w̃ ˈkomu ˈɛ ˈki ˈtu ˈta paˈsɐ̃du	Good afternoon, so how have you been?	vowel_reduction;open_mid;close_mid;nasal_vowel;nasal_diphthong;sandhi;question	Greeting register; nasal diphthong [ɐ̃w̃] in 'então' and nasal [ɐ̃] in 'passando' per mateus_dandrade2000; open mid [ɛ] in 'é' per cardoso_etal2014.
pt-BR-x-ce-014	Mais vale um pássaro na mão do que dois voando.	ˈmajs ˈvali ˈũ ˈpasaɾu ˈnɐ ˈmɐ̃w̃ ˈdu ˈki ˈdojs vɔˈɐ̃du	A bird in the hand is worth two flying away.	vowel_reduction;open_mid;close_mid;nasal_vowel;nasal_diphthong;sandhi;statement	Proverb; word-final /S/ kept [s] in 'mais'/'dois' per cardoso_etal2014; nasal diphthong [ɐ̃w̃] in 'mão' and open pretonic /o/->[ɔ] in 'voando' per mateus_dandrade2000.
pt-BR-x-ce-015	O carro do vovô ainda corre na estrada.	ˈu ˈkaʁu ˈdu vɔˈvo ˈaj̃dɐ ˈkoʁi ˈnɐ ɛˈhtɾadɐ	Grandpa's car still runs on the road.	vowel_reduction;open_mid;close_mid;nasal_vowel;nasal_diphthong;rhotic;sandhi;statement	Strong onset /r/ and /rr/->[ʁ] in 'carro'/'corre' per silva2002; coda /S/ aspiration ->[h] in 'estrada' and open pretonic /o/->[ɔ] in 'vovô' per cardoso_etal2014.
