id	sentence	ipa	gloss_en	features	notes
pt-PT-x-aveiro-001	O tempo hoje não está nada bom.	ˈo ˈtẽpu ˈɔʒɨ ˈnɐ̃w̃ eˈʃta ˈnadɐ ˈbõ	The weather is not good at all today.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;nasal_diphthong;sandhi;statement;negation	Unstressed reduction [ˈɔʒɨ] and coda chiado [ʃ] in 'está' inherited from the base per mateus_dandrade2000; nasal [õ] in 'bom' and nasal diphthong [ɐ̃w̃] in 'não' per cintra1971.
pt-PT-x-aveiro-002	Estes sapatos custam quarenta euros.	ˈeʃtɨʃ s̺ɐˈpatuʃ ˈkuʃtɐ̃ kwɐˈɾẽtɐ ˈewɾuʃ	These shoes cost forty euros.	vowel_reduction;coda_sibilant;close_mid;nasal_vowel;sandhi;statement;number	Onset ⟨s⟩ of 'sapatos' is the apico-alveolar [s̺] diagnostic of the Baixo-Minhoto-Duriense-Beirao group per cintra1971; coda chiado [ʃ] kept in 'estes'/'sapatos' per alvarezperez2014.
pt-PT-x-aveiro-003	A consulta é amanhã às três horas.	ˈɐ kõˈsuɫtɐ ˈɛ ɐmɐˈɲã ˈaʃ ˈtɾez ˈɔɾɐʃ	The appointment is tomorrow at three.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;palatal;l_dark_or_velar;sandhi;statement;number	Dark coda [ɫ] in 'consulta' and coda [ʃ] in 'às'/'horas' per mateus_dandrade2000; 'três horas' junction voices the coda sibilant to [z] per cintra1971.
pt-PT-x-aveiro-004	A minha família vive numa aldeia perto de Aveiro.	ˈɐ ˈmiɲɐ fɐˈmiliɐ ˈbiβɨ ˈnumɐ ɐˈɫdejɐ ˈpɛɾtu ˈdɨ ɐˈβejɾu	My family lives in a village near Aveiro.	vowel_reduction;open_mid;close_mid;palatal;diphthong_ei_ou;l_dark_or_velar;sandhi;statement	Betacism merges /v/ to [b]~[β]: 'vive' [ˈbiβɨ], 'Aveiro' [ɐˈβejɾu] — the bilabial-merger coast north of Coimbra per alvarezperez2014 and cintra1971; local placename grounding per boleo1974.
pt-PT-x-aveiro-005	Vira à esquerda e segue sempre em frente.	ˈbiɾɐ ˈa eˈʃkɛɾdɐ ˈe ˈs̺ɨɡɨ ˈs̺ẽpɾɨ ˈẽ ˈfɾẽtɨ	Turn left and keep straight ahead.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;sandhi;imperative	Betacism 'vira' [ˈbiɾɐ] and apico-alveolar [s̺] onsets in 'segue'/'sempre' per cintra1971; 'vira a' liaison and imperative register per cunha_cintra1984.
pt-PT-x-aveiro-006	A caldeirada de enguias estava saborosa.	ˈɐ kɐɫdeˈjɾadɐ ˈd ẽˈɡiɐz eˈʃtaβɐ s̺ɐbuˈɾɔz̺ɐ	The eel stew was tasty.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;diphthong_ei_ou;l_dark_or_velar;sandhi;statement	Apico-alveolar [s̺]/[z̺] in 'saborosa' and betacism [β] in 'estava' per alvarezperez2014; 'ei' kept in 'caldeirada' and dark [ɫ] per cintra1971; ria cuisine grounding per boleo1974.
pt-PT-x-aveiro-007	Onde é que apanho o autocarro para Vagos?	ˈõdɨ ˈɛ ˈkɨ ɐˈpaɲu ˈo awtuˈkaʁu ˈpaɾɐ ˈbaɡuʃ	Where do I catch the bus to Vagos?	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;palatal;rhotic;sandhi;question	Palatal [ɲ] in 'apanho' and strong [ʁ] in 'autocarro' per mateus_dandrade2000; betacism gives 'Vagos' [ˈbaɡuʃ] per cintra1971; Vagos names the Aveiro littoral per boleo1974.
pt-PT-x-aveiro-008	Quantas pessoas vêm ao jantar?	ˈkwɐ̃tɐʃ pɨˈs̺ɔɐʒ ˈbẽ ˈɐu ʒɐ̃ˈtaɾ	How many people are coming to dinner?	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;sandhi;question;number	Apico-alveolar intervocalic [s̺] in 'pessoas' per cintra1971; betacism 'vêm' [ˈbẽ] per alvarezperez2014; coda [ʃ] in 'quantas' per mateus_dandrade2000.
pt-PT-x-aveiro-009	Se eu pudesse, comprava aquela casa.	ˈs̺ɨ ˈew puˈdɛs̺ɨ kõˈpɾaβɐ ɐˈkɛlɐ ˈkaz̺ɐ	If I could, I would buy that house.	vowel_reduction;open_mid;close_mid;nasal_vowel;sandhi;statement	Apico-alveolar [s̺] in 'se'/'pudesse' and intervocalic [z̺] in 'casa' per cintra1971; betacism [β] in 'comprava' per alvarezperez2014; conditional-imperfect frame per cunha_cintra1984.
pt-PT-x-aveiro-010	Ontem comprámos cebolas e azeite na feira.	ˈõtɨ̃ kõˈpɾamuʃ s̺ɨˈbɔlɐz ˈe ɐˈz̺ejtɨ ˈnɐ ˈfejɾɐ	Yesterday we bought onions and oil at the market.	vowel_reduction;coda_sibilant;open_mid;close_mid;nasal_vowel;diphthong_ei_ou;sandhi;statement	⟨c⟩ before ⟨e⟩ in 'cebolas' and ⟨z⟩ in 'azeite' both surface apico-alveolar [s̺]/[z̺] per cintra1971 and alvarezperez2014; 'ei' retained in 'azeite'/'feira' per mateus_dandrade2000.
