id	sentence	ipa	gloss_en	features	notes
pap-001	Mi ta papia papiamentu na kas.	mi ta papia papiamentu na kaʃ	I speak Papiamentu at home.	nasal_coda;prenasal_cluster;postalveolar;coda_sibilant;statement	Imperfective marker 'ta' per kouwenberg_murray1994; Curaçao phonemic spelling per fpi2009.
pap-002	E mucha ta hunga den kaya.	e mutʃa ta huŋa den kaja	The child plays in the street.	nasal_coda;glide;postalveolar;affricate;velar_nasal;statement	Singular article 'e'; ⟨h⟩=[h] 'hunga'; coda-/s/ absent per kouwenberg_murray1994.
pap-003	Nos tur ta bai skol mañan.	noʃ tur ta baj ʃkoɫ maɲan	We all go to school tomorrow.	nasal_coda;glide;postalveolar;coda_sibilant;velarized_l;palatal_nasal;strong_rhotic;statement	Coda-/s/ palatalisation ⟨s⟩>[ʃ] in 'nos','skol' per kouwenberg_murray1994; spelling per fpi2009.
pap-004	Kon ta bai?	kon ta baj	How are you?	nasal_coda;glide;question	Interrogative 'kon'; diphthong ⟨ai⟩=[aj] 'bai' per kouwenberg_murray1994.
pap-005	Mi no tin plaka awor.	mi no tin plaka awor	I have no money now.	nasal_coda;glide;strong_rhotic;negation	Negation 'no'; ⟨k⟩ not ⟨c⟩ phonemic spelling per fpi2009.
pap-006	E kachó ta kome karni.	e katʃo ta kome karni	The dog eats meat.	postalveolar;affricate;strong_rhotic;statement	Affricate ⟨ch⟩=[tʃ] 'kachó'; acute-stress vowel 'kachó' per romer1991.
pap-007	Bo ke un kòpi di kòfi?	bo ke un kɔpi di kɔfi	Do you want a cup of coffee?	nasal_coda;open_mid;question	Grave ⟨ò⟩=[ɔ] open-mid vowel per kouwenberg_murray1994; diacritic per fpi2009.
pap-008	Nan ta traha den kunuku.	nan ta traha den kunuku	They work in the field.	nasal_coda;strong_rhotic;statement	Plural pronoun 'nan'; ⟨h⟩=[h] 'traha' (from Sp. trabajar) per maurer1998.
pap-009	Dushi e kuminda akí.	duʃi e kuminda aki	The food here is delicious.	nasal_coda;prenasal_cluster;postalveolar;statement	Sibilant digraph ⟨sh⟩=[ʃ] 'dushi'; acute-stress 'akí' per romer1991.
pap-010	Mi ruman muhé ta kanta.	mi ruman muhe ta kanta	My sister sings.	nasal_coda;prenasal_cluster;strong_rhotic;statement	⟨h⟩=[h] 'muhé' (from Sp. mujer); acute-stress vowel per romer1991.
pap-011	Unda bo ta biba?	unda bo ta biba	Where do you live?	nasal_coda;prenasal_cluster;question	Interrogative 'unda'; betacism ⟨b⟩=[b] 'biba' per kouwenberg_murray1994.
pap-012	E buki ta riba mesa.	e buki ta riba mesa	The book is on the table.	strong_rhotic;statement	Trill ⟨r⟩=[r] word-medial 'riba'; Portuguese-origin lexicon per maurer1998.
pap-013	Bini akí mesora!	bini aki mesora	Come here right now!	strong_rhotic;imperative	Imperative bare root 'bini'; acute-stress 'akí' per romer1991.
pap-014	Awe ta hasi kalor.	awe ta hasi kalor	Today it is hot.	glide;strong_rhotic;statement	⟨s⟩=[s] intervocalic 'hasi'; impersonal 'ta hasi' per kouwenberg_murray1994.
pap-015	E kabai ta kore lihé.	e kabaj ta kore lihe	The horse runs fast.	glide;strong_rhotic;statement	Diphthong ⟨ai⟩=[aj] 'kabai'; acute-stress 'lihé' per romer1991.
pap-016	Nos tin dos yu chikí.	noʃ tin doʃ ju tʃiki	We have two small children.	nasal_coda;glide;postalveolar;coda_sibilant;affricate;statement;number	Numeral 'dos'; ⟨y⟩=[j] 'yu'; coda-/s/ palatalisation 'nos','dos' per kouwenberg_murray1994.
pap-017	Mi tata ta traha pan.	mi tata ta traha pan	My father makes bread.	nasal_coda;strong_rhotic;statement	⟨h⟩=[h] 'traha'; Portuguese/Spanish mixed lexifier per maurer1998.
pap-018	E señora ta kumpra piská.	e seɲora ta kumpra piʃka	The lady buys fish.	nasal_coda;prenasal_cluster;postalveolar;palatal_nasal;strong_rhotic;statement	Palatal nasal ⟨ñ⟩=[ɲ] 'señora'; acute-stress 'piská' per romer1991.
pap-019	Bo por yuda mi?	bo por juda mi	Can you help me?	glide;strong_rhotic;question	Modal 'por'; ⟨y⟩=[j] 'yuda' per kouwenberg_murray1994.
pap-020	Nan no ke bai awe.	nan no ke baj awe	They do not want to go today.	nasal_coda;glide;negation	Negation 'no'; diphthong ⟨ai⟩=[aj] 'bai' per kouwenberg_murray1994.
