id	sentence	ipa	gloss_en	features	notes
pt-MZ-001	Hoje não faz sol nem calor.	ˈɔʒe ˈnɐ̃w̃ ˈfaz ˈsɔɫ ˈnẽ kɐˈloɾ	Today it is neither sunny nor hot.	vowel_reduction;open_mid;close_mid;nasal_vowel;nasal_diphthong;l_dark_or_velar	Velarised coda [ɫ] in 'sol' and open [ɔ] per goncalves2010; weaker-than-EP unstressed vocalism with /ɨ/ largely absent per nhatuve2019.
pt-MZ-002	O bilhete do machimbombo custa cem meticais.	u biˈʎɛte du mɐʃĩˈbõbu ˈkustɐ ˈsẽ metiˈkajs	The bus ticket costs a hundred meticais.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal	Mozambican lexicon 'machimbombo' (bus) and 'metical' (currency) per goncalves1996; palatal [ʎ] in 'bilhete' per goncalves2010.
pt-MZ-003	Tenho consulta na quinta-feira às nove horas.	ˈtɛɲu kõˈsuɫtɐ nɐ ˈkĩtɐ ˈfejɾɐ as ˈnɔve ˈɔɾɐs	I have an appointment on Thursday at nine.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;diphthong_ei_ou;l_dark_or_velar;sandhi	Palatal [ɲ] in 'tenho' and dark coda [ɫ] in 'consulta' per goncalves2010; retained /ej/ in 'feira' per nhatuve2019.
pt-MZ-004	A minha família mora num bairro de Maputo.	ɐ ˈmiɲɐ fɐˈmiliɐ ˈmɔɾɐ ˈnũ ˈbajru de mɐˈputu	My family lives in a Maputo neighbourhood.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;rhotic	Reference to the prestige Maputo variety per stroud_goncalves1997; alveolar trill [r] from 'rr' in 'bairro' per nhatuve2019; palatal [ɲ] in 'minha' per goncalves2010.
pt-MZ-005	Vira à direita e segue sempre em frente.	ˈviɾɐ a diˈɾejtɐ i ˈsɛɡe ˈsẽpre ẽ ˈfrẽte	Turn right and keep going straight ahead.	vowel_reduction;open_mid;close_mid;nasal_vowel;rhotic;diphthong_ei_ou;sandhi	Retained /ej/ in 'direita' and alveolar trill [r] in the 'fr' cluster of 'frente' per nhatuve2019; imperative register per goncalves2010.
pt-MZ-006	Esta matapa está muito boa com xima.	ˈestɐ mɐˈtapɐ esˈta ˈmujtu ˈboɐ kõ ˈʃimɐ	This matapa is very good with maize porridge.	vowel_reduction;close_mid;nasal_vowel;sandhi	Mozambican dishes 'matapa' and 'xima' per goncalves1996; onset [ʃ] from <x> in 'xima' and open [ɔ] in 'boa' per goncalves2010.
pt-MZ-007	Onde apanho o chapa para a cidade?	ˈõde ɐˈpaɲu u ˈʃapɐ ˈpaɾɐ ɐ siˈdade	Where do I catch the minibus to the city?	vowel_reduction;close_mid;nasal_vowel;palatal;sandhi	Mozambican lexicon 'chapa' (minibus) per goncalves1996; palatal [ɲ] in 'apanho' and onset [ʃ] in 'chapa' per goncalves2010.
pt-MZ-008	Quantos meticais custa o peixe fresco?	ˈkwɐ̃tos metiˈkajs ˈkustɐ u ˈpejʃe ˈfresku	How many meticais does the fresh fish cost?	vowel_reduction;close_mid;nasal_vowel;rhotic;diphthong_ei_ou;sandhi	Nasal [ɐ̃] in 'quantos', retained /ej/ in 'peixe' and alveolar trill [r] in 'fresco' per nhatuve2019; quantifier interrogative per goncalves2010.
pt-MZ-009	Se chovesse, ficávamos em casa.	se ʃoˈvɛs̺e fiˈkavɐmos ẽ ˈkazɐ	If it rained, we would stay home.	vowel_reduction;open_mid;close_mid;nasal_vowel;sandhi	[ʃ] onset and open [ɛ] in 'chovesse' per goncalves2010; conditional-imperfect frame per goncalves2010; weak reduction with full [ɛ]/[e] per nhatuve2019.
pt-MZ-010	Ontem comprei capulana nova no mercado.	ˈõtẽ kõˈprej kɐpuˈlanɐ ˈnɔvɐ nu merˈkadu	Yesterday I bought a new capulana at the market.	vowel_reduction;open_mid;close_mid;nasal_vowel;rhotic;diphthong_ei_ou	Mozambican lexicon 'capulana' (wrap cloth) per goncalves1996; retained /ej/ in 'comprei' and alveolar trill [r] in 'mercado' per nhatuve2019.
pt-MZ-011	Para o ano vou viajar até à Beira.	ˈpaɾɐ u ˈɐnu ˈvo viɐˈʒaɾ ɐˈtɛ a ˈbejɾɐ	Next year I will travel to Beira.	vowel_reduction;open_mid;close_mid;diphthong_ei_ou;sandhi	Mozambican place name Beira per goncalves1996; open [ɛ] in 'até', /o/ monophthong in 'vou'->[ˈvo] and retained /ej/ in 'Beira' per nhatuve2019.
pt-MZ-012	Liga-me mais tarde, por favor.	ˈliɡɐ me ˈmajs ˈtarde poɾ fɐˈvɔɾ	Call me later, please.	vowel_reduction;open_mid;close_mid;rhotic	Open [ɔ] in 'por'/'favor' and alveolar trill [r] in 'tarde' per nhatuve2019; clitic imperative 'liga-me' per goncalves2010.
pt-MZ-013	Olá madala, tudo bem contigo?	oˈla mɐˈdalɐ ˈtudu ˈbẽ kõˈtiɡu	Hello elder, are you doing well?	vowel_reduction;close_mid;nasal_vowel	Mozambican address 'madala' (elder) per goncalves1996; full vowels [ˈtudu]/[kõˈtiɡu] with weak reduction per nhatuve2019; greeting register per goncalves2010.
pt-MZ-014	Quem não arrisca, não petisca.	ˈkẽ ˈnɐ̃w̃ ɐˈriskɐ ˈnɐ̃w̃ peˈtiskɐ	Nothing ventured, nothing gained.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;rhotic;sandhi	Alveolar trill [r] from 'rr' in 'arrisca', neutralising the EP uvular contrast, per nhatuve2019; nasal diphthong [ɐ̃w̃] in 'não'; proverb attested in lopes2004.
pt-MZ-015	O carro do madala ficou na rua molhada.	u ˈkaru du mɐˈdalɐ fiˈko nɐ ˈruɐ moˈʎadɐ	The elder's car ended up on the wet street.	vowel_reduction;close_mid;palatal;rhotic;diphthong_ei_ou	Mozambican 'madala' (elder) per goncalves1996; alveolar trill [r] from 'rr' in 'carro' and palatal [ʎ] in 'molhada' per nhatuve2019.
pt-MZ-016	Ele trouxe um ramo de flores roxas.	ˈele ˈtrose ˈũ ˈramu de ˈflɔɾes ˈrɔʃɐs	He brought a bunch of red flowers.	vowel_reduction;open_mid;close_mid;nasal_vowel;rhotic;diphthong_ei_ou;sandhi	Strong word-initial trill [r] in 'ramo'/'roxas' and 'ou' diphthong in 'trouxe' per nhatuve2019; open [ɔ] in 'roxas'/'flores' per goncalves2010.
pt-MZ-017	Gosto maningue desta canja de galinha.	ˈɡɔstu mɐˈnĩɡe ˈdɛstɐ ˈkɐ̃ʒɐ de ɡɐˈliɲɐ	I really like this chicken broth.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal	Mozambican intensifier 'maningue' (a lot) per goncalves1996; palatal [ɲ] in 'galinha' and open [ɔ] in 'gosto' per goncalves2010.
pt-MZ-018	Aquele rapaz vende jornais na esquina.	ɐˈkɛle rɐˈpaz ˈvẽde ʒorˈnajs nɐ esˈkinɐ	That young man sells newspapers on the corner.	vowel_reduction;open_mid;close_mid;nasal_vowel;rhotic;sandhi	Alveolar trill [r] in 'rapaz' and open [ɛ] in 'aquele' per nhatuve2019; coda /s/ kept alveolar (no chiado) with weak reduction and formal register per goncalves2010.
pt-MZ-019	O melhor vinho branco vem de outra terra.	u meˈʎɔɾ ˈviɲu ˈbrɐ̃ku ˈvẽ de ˈotrɐ ˈtɛrɐ	The best white wine comes from elsewhere.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;rhotic;diphthong_ei_ou;sandhi	Palatal [ʎ] in 'melhor' and [ɲ] in 'vinho' per goncalves2010; 'ou' diphthong in 'outra' and alveolar trill [r] per nhatuve2019.
pt-MZ-020	Nunca vi um céu tão azul sobre o Índico.	ˈnũkɐ ˈvi ˈũ ˈsɛw ˈtɐ̃w̃ ɐˈzuɫ ˈsobre u ˈĩdiku	I never saw such a blue sky over the Indian Ocean.	vowel_reduction;open_mid;close_mid;nasal_vowel;nasal_diphthong;rhotic;l_dark_or_velar;sandhi	Nasal diphthong [ɐ̃w̃] in 'tão', open [ɛ] in 'céu' and dark coda [ɫ] in 'azul' per goncalves2010; alveolar trill [r] in 'sobre' per nhatuve2019.
