id	sentence	raw	ipa	gloss_en	features	notes
ar-SD-001	كِيفَك يَا أَخُوي؟ اِنْتَ تَمَام النَّهَارْدَة؟	كيفك يا أخوي؟ انت تمام النهاردة؟	ˈkeːfak jaː ʔaˈxuːj ˈʔinta taˈmaːm annaˈhaːrda	How are you my brother? Are you well today?	kaf;hamza;ta_marbuta;sun_assim;geminate;long_vowel;question	kēfak greeting; tamām; Khartoum form (dickins2007); sun assimilation an-n
ar-SD-002	اَلْجَوّ سُخُن شَدِيد فِي الْخُرْطُوم وَالشَّمِس حَارَّة.	الجو سخن شديد في الخرطوم والشمس حارة.	alˈɟaww ˈsuxun ʃaˈdiːd fiː lxurˈtˤuːm ˈwaʃʃamis ˈħaːrra	The weather is very hot in Khartoum and the sun is burning.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ج=/ɟ/ palatal stop (dickins2007 §1: Sudanese ǧīm); suxun 'hot' (dickins2007 s.v.); geminate رّ
ar-SD-003	مَا دَايِر قَهْوَة، أَنَا بَشْرَب شَاي بِاللَّبَن.	ما داير قهوة، أنا بشرب شاي باللبن.	maː ˈdaːjir ˈɡahwa ˈʔanaː ˈbaʃrab ˈʃaːj ˈbillaban	I don't want coffee, I drink tea with milk.	qaf;hamza;ta_marbuta;sun_assim;geminate;long_vowel;negation	dāyir 'wanting' (dickins2007 s.v. داير); ق=/ɡ/ in gahwa (dickins2007; youssef2021); b-imperfect بَشْرَب
ar-SD-004	اِشْتَرَيت تَلَاتَة كِيلُو طَمَاطِم مِن السُّوق بِأَلْفَين جِنَيه.	اشتريت تلاتة كيلو طماطم من السوق بألفين جنيه.	ʔiʃtaˈreːt taˈlaːta ˈkiːluː tˤɑˈmɑːtˤim min asˈsuːɡ biʔalˈfeːn ɟiˈneːh	I bought three kilos of tomatoes from the market for two thousand pounds.	qaf;jim;kaf;hamza;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement;number	ث→/t/ in talāta (dickins2007: stop reflexes); ق=/ɡ/ in سوق sūg; monophthong ē in ألفين جنيه
ar-SD-005	اَلزُّول دَا قَاعِد يِتْكَلَّم عَن الظُّرُوف بِتَاعَت الشُّغُل.	الزول دا قاعد يتكلم عن الظروف بتاعت الشغل.	azˈzuːl ˈdaː ˈɡaːʕid jitˈkallam ʕan ɑdˤdˤuˈruːf biˈtaːʕat ˈaʃʃuɣul	That man is talking about the work conditions.	qaf;interdental;kaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	zōl 'person' (hallmark Sudanese lexeme, dickins2007); progressive gāʕid (leddycecere2021); ظ→/dˤ/ stop reflex
ar-SD-006	أَقِيف هِنَا يَا زُول وَخَلِّيك سَاكِت شْوَيَّة.	أقيف هنا يا زول وخليك ساكت شوية.	ʔaˈɡiːf ˈhinaː jaː ˈzuːl waxalˈliːk ˈsaːkit ˈʃwajja	Stop here, man, and keep quiet a bit.	qaf;kaf;hamza;ta_marbuta;geminate;long_vowel;diphthong;imperative	Sudanese imperative agif with qaf→g and the zol vocative (dickins2007)
ar-SD-007	اَلْجَوّ مَا بَارِد أَبَدًا فِي الصَّيف، حَار شَدِيد.	الجو ما بارد أبدا في الصيف، حار شديد.	alˈɟaww maː ˈbaːrid ˈʔabadan fiː sˤˈsˤeːf ˈħaːr ʃaˈdiːd	The weather isn't cold at all in summer, it's very hot.	jim;hamza;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;negation	ma-negation of predicate (dickins2007); ج=/ɟ/ palatal in aljaww; sun assim aṣ-ṣ; retained diphthong ɑj in ṣayf (leddycecere2021)
ar-SD-008	بِكَم الْكِيلُو بِتَاع الْمَانْجُو؟ بِأَلْف جِنَيه؟	بكم الكيلو بتاع المانجو؟ بألف جنيه؟	ˈbikam alˈkiːluː biˈtaːʕ alˈmaːnɟuː biˈʔalf ɟiˈneːh	How much is the kilo of mango? A thousand pounds?	jim;kaf;hamza;pharyngeal;long_vowel;diphthong;question;number	bitāʕ genitive exponent (dickins2007); ج=/ɟ/ in mānjū/jinēh; number alf; retained diphthong ajh
ar-SD-009	عِنْدِي مَعَاد مَعَ الدُّكْتُور السَّاعَة أَرْبَعَة الْعَصُر.	عندي معاد مع الدكتور الساعة أربعة العصر.	ˈʕindiː maˈʕaːd ˈmaʕa ddukˈtuːr asˈsaːʕa ˈʔarbaʕa ˈalʕɑsˤur	I have an appointment with the doctor at four in the afternoon.	kaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement;number	maʕād 'appointment', ʕaṣur with epenthesis (dickins2007); sun assim ad-d, as-s; ʕ pharyngeal; number arbaʕa
ar-SD-010	أَنَا سَاكِن فِي أَمْدُرْمَان مَعَ أَهْلِي وَعِيَالِي.	أنا ساكن في أمدرمان مع أهلي وعيالي.	ˈʔanaː ˈsaːkin fiː ʔamdurˈmaːn ˈmaʕa ˈʔahliː waʕiˈjaːliː	I live in Omdurman with my family and my kids.	kaf;hamza;pharyngeal;long_vowel;statement	sākin 'residing', ʕiyāl 'children' (dickins2007); Omdurman toponym; hamza in ana/ahli
