id	sentence	ipa	gloss_en	features	notes
es-BO-x-camba-001	En Santa Cruz hace un calor tremendo al mediodía.	en ˈsanta ˈkɾus ˈase un kaˈloɾ tɾeˈmendo al meðjoˈðia	In Santa Cruz it is tremendously hot at noon.	seseo;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-002	El camba toma tereré bajo la sombra del árbol.	el ˈkamba ˈtoma teɾeˈɾe ˈbaxo la ˈsombɾa del ˈaɾbol	The camba drinks tereré in the shade of the tree.	statement	cross-word sandhi elision; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-003	Mi tía prepara majadito con charque y arroz.	mi ˈtia pɾeˈpaɾa maxaˈðito kon ˈtʃaɾke i aˈros	My aunt makes majadito with jerky and rice.	seseo;rhotic;statement	seseo merges ⟨c/z⟩ to [s]; trill [r]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-004	Los chicos se bañan en el río toda la tarde.	los ˈtʃikos se ˈbaɲan en el ˈrio ˈtoða la ˈtaɾde	The kids swim in the river all afternoon.	palatal_nasal;rhotic;statement	palatal nasal ⟨ñ⟩ [ɲ]; trill [r]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-005	Vamos a la plaza a comer sonso y cuñapé.	ˈbamos a la ˈplasa a koˈmeɾ ˈsonso i kuɲaˈpe	Let's go to the square to eat sonso and cuñapé.	seseo;palatal_nasal;sandhi;imperative	seseo merges ⟨c/z⟩ to [s]; palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-006	La señora vende yuca frita en la esquina.	la seˈɲoɾa ˈbende ˈʝuka ˈfɾita en la eˈskina	The lady sells fried cassava on the corner.	yeismo;palatal_nasal;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-007	Aquel caballo pasta tranquilo en el campo.	aˈkel kaˈβaʝo ˈpasta tɾaˈnkilo en el ˈkampo	That horse grazes calmly in the field.	yeismo;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-008	El loro grita fuerte sobre la palmera.	el ˈloɾo ˈɡɾita ˈfweɾte ˈsobɾe la paˈlmeɾa	The parrot squawks loudly atop the palm tree.	diphthong_ie_ue;statement	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-009	Nosotros escuchamos taquirari en la fiesta.	noˈsotɾos eskuˈtʃamos takiˈɾaɾi en la ˈfjesta	We listen to taquirari at the party.	diphthong_ie_ue;sandhi;statement	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-010	¿Vos querés un vaso de jugo de tamarindo?	ˈbos keˈɾes un ˈbaso de ˈxuɣo de tamaˈɾindo	Do you want a glass of tamarind juice?	sandhi;question	cross-word sandhi elision; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-011	La lluvia moja los caminos de tierra colorada.	la ˈʝuβja ˈmoxa los kaˈminos de ˈtjera koloˈɾaða	The rain soaks the red-earth roads.	yeismo;diphthong_ie_ue;rhotic;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; trill [r]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-012	Mi hermano trabaja en la chacra de caña.	mi eˈɾmano tɾaˈβaxa en la ˈtʃakɾa de ˈkaɲa	My brother works in the sugarcane plot.	palatal_nasal;sandhi;statement	palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-013	Prende el ventilador, que el calor es fuerte.	ˈpɾende el bentilaˈðoɾ ke el kaˈloɾ ˈes ˈfweɾte	Turn on the fan, the heat is strong.	diphthong_ie_ue;sandhi;imperative	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-014	El río crece cuando llueve en el monte.	el ˈrio ˈkɾese ˈkwando ˈʝweβe en el ˈmonte	The river rises when it rains in the bush.	seseo;yeismo;diphthong_ie_ue;rhotic;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-015	Comimos locro de gallina con mucho ají.	koˈmimos ˈlokɾo de ɡaˈʝina kon ˈmutʃo aˈxi	We ate chicken locro with plenty of chilli.	yeismo;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-016	Los peones cortan la caña desde temprano.	los ˈpeones ˈkoɾtan la ˈkaɲa ˈdesde teˈmpɾano	The labourers cut the cane from early on.	palatal_nasal;statement	palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-017	Trae hielo para el refresco de los niños.	ˈtɾae ˈjelo paɾa el reˈfɾesko de los ˈniɲos	Bring ice for the children's drink.	palatal_nasal;diphthong_ie_ue;rhotic;sandhi;imperative	palatal nasal ⟨ñ⟩ [ɲ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; trill [r]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-018	La niña juega con su muñeca en el patio.	la ˈniɲa ˈxweɣa kon su muˈɲeka en el ˈpatjo	The girl plays with her doll in the yard.	palatal_nasal;diphthong_ie_ue;final_u;sandhi;statement	palatal nasal ⟨ñ⟩ [ɲ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; final [u]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-019	El vecino cría chanchos y gallinas.	el beˈsino ˈkɾia ˈtʃantʃos i ɡaˈʝinas	The neighbour raises pigs and hens.	seseo;yeismo;statement	seseo merges ⟨c/z⟩ to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ retained as [s] per lipski1994.
es-BO-x-camba-020	Corre a comprar pan antes que cierren la tienda.	ˈkore a koˈmpɾaɾ ˈpan ˈantes ke ˈsjeren la ˈtjenda	Run to buy bread before the shop closes.	seseo;diphthong_ie_ue;rhotic;sandhi;imperative	seseo merges ⟨c/z⟩ to [s]; tonic Ĕ>ie / Ō>ue diphthong [je we]; trill [r]; coda /s/ retained as [s] per lipski1994.
