id	sentence	ipa	gloss_en	features	notes
an-x-belsetan-001	O cielo no ye claro hue.	ˈo ˈθjelo ˈno ˈʝe ˈklaɾo ˈwe	The sky is not clear today.	distincion;diphthong_ie_ue;statement;negation	Central High-Aragonese distinción ⟨c⟩ [θ] and Ĕ>ie 'cielo' per badia1950; copula 'ye' per nagore_lain2001.
an-x-belsetan-002	Estos zapatos cuestan cuaranta euros.	ˈestos θaˈpatos kweˈstan kwaˈɾanta ˈewɾos	These shoes cost forty euros.	distincion;diphthong_ie_ue;sandhi;statement;number	⟨z⟩ [θ] distinción and Ŏ>ue 'cuestan' per badia1950; ⟨s⟩+voiced onset sandhi per nagore_lain2001.
an-x-belsetan-003	Bel·la capan·na ye alta en a pen·na.	ˈbelːa kaˈpanːa ˈʝe ˈalta ˈen ˈa ˈpenːa	Some hut is high on the crag.	sandhi;statement	Preserved Latin geminates -LL-/-NN- as long consonants ⟨l·l⟩ [lː] 'bel·la','payel·la'-type and ⟨n·n⟩ [nː] 'capan·na','pen·na' — the diagnostic Bielsa feature per badia1950; distinción per nagore_lain2001.
an-x-belsetan-004	A pen·na d'a montaña ye grisa.	ˈa ˈpenːa ˈð ˈa moˈntaɲa ˈʝe ˈɡɾisa	The crag of the mountain is grey.	palatal_nasal;statement	Geminate ⟨n·n⟩ [nː] 'pen·na' (< PINNA) per badia1950; palatal nasal ⟨ñ⟩ [ɲ] 'montaña' per nagore_lain2001; clitic ⟨d'⟩ per badia1950.
an-x-belsetan-005	Ves de frente y tuerce en a primera carrera.	ˈbes ˈde ˈfɾente ˈʝ ˈtweɾθe ˈen ˈa pɾiˈmeɾa kaˈreɾa	Go straight ahead and turn at the first street.	distincion;diphthong_ie_ue;rhotic;sandhi;imperative	F- retained 'frente' and Ŏ>ue with distinción 'tuerce' per badia1950; 'carrera' per nagore_lain2001.
an-x-belsetan-006	A nuet yera fosca y feba fret.	ˈa ˈnwet ˈʝeɾa ˈfoska ˈʝ ˈfeβa ˈfɾet	The night was dark and it was cold.	diphthong_ie_ue;statement	NOCTE > 'nuet' (-CT- > -t-, the Belsetán reduction, contra general Aragonese 'nueit') per badia1950; imperfect 'yera','feba' per nagore_lain2001.
an-x-belsetan-007	Án ye a clau d'a casa?	ˈan ˈʝe ˈa ˈklaw ˈð ˈa ˈkasa	Where is the house key?	sandhi;question	Interrogative 'án' and 'clau' (key) per badia1950; clitic ⟨d'⟩ before vowel per nagore_lain2001.
an-x-belsetan-008	Cuántas presonas bienen a cenar?	ˈkuantas pɾeˈsonas bjeˈnen ˈa θeˈnaɾ	How many people are coming to dinner?	distincion;diphthong_ie_ue;sandhi;question;number	Ĕ>ie 'bienen' and distinción ⟨ce⟩ [θ] 'cenar' per badia1950; count question per nagore_lain2001.
an-x-belsetan-009	Si yo podese, mercarba aquella casa.	ˈsi ˈʝo poˈðese meˈɾkaɾba aˈkeʎa ˈkasa	If I could, I would buy that house.	lateral_palatal;sandhi;statement	Aragonese conditional -arba 'mercarba' per badia1950; 'mercar' (to buy) per nagore_lain2001.
an-x-belsetan-010	Ahiere merqué cinco quilos de cereixas.	aˈjeɾe meˈɾke ˈθinko ˈkilos ˈde θeˈɾejʃas	Yesterday I bought five kilos of cherries.	distincion;diphthong_ie_ue;sandhi;statement;number	Distinción ⟨c⟩ [θ] 'cinco' and ⟨ix⟩ [ʃ] 'cereixas' per badia1950; preterite 'merqué' per nagore_lain2001.
