id	sentence	raw	ipa	gloss_en	features	notes
ar-x-mashriqi-001	كِيف حَالَك الْيَوم؟ إِن شَاء اللَّه بِخَير.	كيف حالك اليوم؟ إن شاء الله بخير.	ˈkiːf ˈħaːlak alˈjawm ˈʔin ˈʃaːʔ ˈallah biˈxajr	How are you today? Well, God willing.	kaf;hamza;sun_assim;pharyngeal;geminate;long_vowel;diphthong;question	pan-Mashriqi kīf ḥālak greeting (brustad2000; holes2004); ق→q and aw retained (al-yawm) are node rank-1
ar-x-mashriqi-002	الْجَوّ حَارّ الْيَوم وَالرُّطُوبَة عَالْيَة.	الجو حار اليوم والرطوبة عالية.	alˈdʒaww ˈħaːrr alˈjawm warruˈtˤuːba ˈʕaːlja	The weather is hot today and the humidity is high.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ج→dʒ node rank-1 (versteegh2014); geminates جّ رّ; sun assimilation ar-r
ar-x-mashriqi-003	مَا أَرِيد قَهْوَة، أَرِيد شَاي.	ما أريد قهوة، أريد شاي.	ˈmaː ʔaˈriːd ˈqahwa ʔaˈriːd ˈʃaːj	I don't want coffee, I want tea.	qaf;hamza;ta_marbuta;long_vowel;negation	pan-Mashriqi arīd 'I want' (brustad2000); ق→q retained (qahwa) is node rank-1; negation mā
ar-x-mashriqi-004	اِشْتَرَيت ثَلَاث سَمَكَات مِن السُّوق.	اشتريت ثلاث سمكات من السوق.	ʔiʃtaˈrajt taˈlaːt samaˈkaːt ˈmin asˈsuːq	I bought three fish from the market.	qaf;interdental;kaf;sun_assim;geminate;long_vowel;diphthong;statement;number	ث→t stop reflex environment; ق→q (sūq); number; sun assimilation as-s; sedentary interdental→stop merger and qeltu qāf per (watson2002)
ar-x-mashriqi-005	هَذَا الرَّجُل يِدَوِّر عَلَى شُغُل.	هذا الرجل يدور على شغل.	ˈhadaː ˈarradʒul jiˈdawwir ˈʕalaː ˈʃuɣul	This man is looking for work.	jim;interdental;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	ج→dʒ node rank-1 (holes2004); geminates جّ وّ; hāḏa demonstrative
ar-x-mashriqi-006	رُوح جِيب الْغَرَض مِن السَّيَّارَة.	روح جيب الغرض من السيارة.	ˈruːħ ˈdʒiːb ˈalɣarɑdˤ ˈmin assajˈjaːra	Go get the thing from the car.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;imperative	imperatives rūḥ/jīb; ج→dʒ node rank-1; geminate يّ; sun assimilation as-s; ǧīm→[dʒ] (Bedouin/rural Levant–Mesopotamia) per (watson2002)
ar-x-mashriqi-007	الْجَوّ مُو حَارّ الْيَوم وَالسَّمَا مْغَيِّمَة.	الجو مو حار اليوم والسما مغيمة.	alˈdʒaww ˈmuː ˈħaːrr alˈjawm ˈwassamaː ˈmɣajjima	The weather is not hot today and the sky is cloudy.	jim;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	pan-Mashriqi negator mū (brustad2000); geminates جّ يّ; aw retained
ar-x-mashriqi-008	بِكَم الْكِيلُو؟ بِخَمْسَة وَنُصّ.	بكم الكيلو؟ بخمسة ونص.	ˈbikam alˈkiːluː biˈxamsa waˈnusˤsˤ	How much is the kilo? Five and a half.	kaf;ta_marbuta;emphatic;long_vowel;question;number	bikam question; geminate صّ; number; emphatic ص; Mashriqi emphatic/gemination phonology per (watson2002)
ar-x-mashriqi-009	الْمَوْعِد السَّاعَة ثَلَاثَة وَنُصّ الْعَصِر.	الموعد الساعة ثلاثة ونص العصر.	alˈmawʕid asˈsaːʕa taˈlaːta waˈnusˤsˤ ˈalʕɑsˤir	The appointment is at half past three in the afternoon.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	sun assimilation as-s; geminate صّ; emphatic ص; ق absent; Mashriqi sun-assimilation/emphatic phonology per (watson2002)
ar-x-mashriqi-010	أَخُوي الْكِبِير سَاكِن فِي الْمَدِينَة.	أخوي الكبير ساكن في المدينة.	ʔaˈxuːj alkiˈbiːr ˈsaːkin ˈfiː lmaˈdiːna	My elder brother lives in the city.	kaf;hamza;ta_marbuta;long_vowel;statement	long vowels; pan-Mashriqi axūy; ق absent here; Eastern short-vowel retention and vowel phonology per (watson2002)
