id	sentence	raw	ipa	gloss_en	features	notes
ar-SA-x-rijal-alma-001	الْأَرْض وَاسْعَة وَالْقَمَر طَالِع فَوْق الْجِبَال.	الأرض واسعة والقمر طالع فوق الجبال.	alˈʔarɮˤ ˈwaːsʕa ˈwalqamar ˈtˤɑːliʕ ˈfawq aldʒiˈbaːl	The land is wide and the moon is up over the mountains.	qaf;jim;hamza;ta_marbuta;emphatic;pharyngeal;long_vowel;diphthong;statement	ض→[ɮˤ] voiced lateral emphatic in الأرض (watson2011 p.428; asiri2009); ق retained [q] الْقَمَر→[alqamar] southwestern retention (asiri2009); diphthong فَوْق
ar-SA-x-rijal-alma-002	وِش تِبْغَى تَاكُل الظُّهْر يَا وَلَدِي؟	وش تبغى تاكل الظهر يا ولدي؟	ˈwiʃ ˈtibɣaː ˈtaːkul aɬˤˈɬˤuhr ˈjaː ˈwaladiː	What do you want to eat at noon, my son?	interdental;kaf;sun_assim;emphatic;long_vowel;question	ظ→[ɬˤ] voiceless lateral emphatic الظُّهْر→[aɬˤɬˤuhr] (watson2011 p.428); *ḍ/*ẓ kept distinct from the ض of الأرض
ar-SA-x-rijal-alma-003	مَا عِنْدِي ضَيْم مِنْك، بَس تَعَال بَعْدَين.	ما عندي ضيم منك، بس تعال بعدين.	ˈmaː ˈʕindiː ˈɮˤajm ˈmink ˈbas taˈʕaːl baʕˈdajn	I have no grievance against you, just come later.	kaf;emphatic;pharyngeal;long_vowel;diphthong;negation	ضَيْم→[ɮˤajm] *ḍ voiced lateral (watson2011 p.428, cf. al-Rubūʿah ḍlaym 'pain'); pharyngeal ع; diphthong بَعْدَين
ar-SA-x-rijal-alma-004	الظِّل بَارِد تَحْت هَذِي الشَّجَرَة الْكَبِيرَة.	الظل بارد تحت هذي الشجرة الكبيرة.	ˈaɬˤɬˤil ˈbaːrid ˈtaħt ˈhaðiː ʃˈʃadʒara lkaˈbiːra	The shade is cool under this big tree.	jim;interdental;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	ظ→[ɬˤ] الظِّل→[aɬˤɬˤil] (watson2011 p.428; alazraqi2010); sun assim الشَّجَرَة; interdental ذ retained هَذِي
ar-SA-x-rijal-alma-005	خُذ ثَلَاث حَبَّات ضَان وَاعْطِنِي وَاحِدَة.	خذ ثلاث حبات ضان واعطني واحدة.	ˈxuð θaˈlaːθ ħabˈbaːt ˈɮˤaːn ˈwaːʕtˤiniː ˈwaːħida	Take three head of sheep and give me one.	interdental;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;imperative;number	imperatives xuð/aʕtˤ; ث retained [θ] (asiri2009); ضَان→[ɮˤaːn] *ḍ voiced lateral emphatic (watson2011 p.428); geminate حَبَّات
ar-SA-x-rijal-alma-006	هَذَا الرِّجَّال يِضْرِب الطَّبْل فِي الْعُرْس.	هذا الرجال يضرب الطبل في العرس.	ˈhaðaː rridʒˈdʒaːl ˈjiɮˤrib ɑtˤˈtˤɑbl ˈfiː lˈʕurs	This man beats the drum at the wedding.	jim;interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	يِضْرِب→[jiɮˤrib] *ḍ voiced lateral (watson2011 p.428); emphatic ط backing; geminate رِّجَّال; pharyngeal ع
ar-SA-x-rijal-alma-007	السَّيْل فَاض بَعْد الْمَطَر وَمَا ظَلّ شَيّ.	السيل فاض بعد المطر وما ظل شي.	asˈsajl ˈfaːɮˤ ˈbaʕd ˈalmɑtˤɑr ˈwamaː ˈɬˤall ˈʃajj	The flood overflowed after the rain and nothing remained.	interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;negation	فَاض→[faːɮˤ] *ḍ voiced lateral emphatic — the paper's attested near-minimal-pair member fāḍ 'it overfilled' (watson2011 p.428); ظَلّ→[ɬˤall] *ẓ voiceless lateral emphatic kept distinct (watson2011 p.428; alazraqi2010); sayl/wādī flood register fits the Tihāmah terrain (asiri2009); sun assim السَّيْل
ar-SA-x-rijal-alma-008	بِكَم كِيلُو الْعَسَل؟ بِعِشْرِين رِيَال.	بكم كيلو العسل؟ بعشرين ريال.	ˈbikam ˈkiːluː ˈalʕasal biʕiʃˈriːn riˈjaːl	How much is the kilo of honey? Twenty riyals.	kaf;pharyngeal;long_vowel;question;number	عَسَل honey is the pan-peninsular staple of the ʿAsīr/Tihāmah economy (asiri2009); بِكَم price interrogative and عِشْرِين numeral are conservative pan-peninsular
ar-SA-x-rijal-alma-009	الْمَوْعِد بُكْرَة بَعْد صَلَاة الْعَصْر.	الموعد بكرة بعد صلاة العصر.	alˈmawʕid ˈbukra ˈbaʕd ˈsˤɑlaː lˈʕɑsˤr	The appointment is tomorrow after the afternoon prayer.	kaf;ta_marbuta;emphatic;pharyngeal;long_vowel;diphthong;statement	بُكْرَة 'tomorrow' and prayer-time reckoning are pan-peninsular (asiri2009); صَلَاة الْعَصْر construct with tā-marbūṭa liaison
ar-SA-x-rijal-alma-010	أَبُوي يَسْكُن فِي الْقَرْيَة فَوْق الْجَبَل.	أبوي يسكن في القرية فوق الجبل.	ʔaˈbuːj ˈjaskun ˈfiː lˈqarja ˈfawq ˈaldʒabal	My father lives in the village up the mountain.	qaf;jim;kaf;hamza;ta_marbuta;long_vowel;diphthong;statement	قَرْيَة→[qarja] qaf retained [q], the southwestern sedentary reflex, NOT Najdi [ɡ] (asiri2009; watson2011); أَبُوي 'my father' conservative peninsular; highland residence fits the ʿAsīr terrain; diphthong فَوْق
