id	sentence	ipa	gloss_en	features	notes
idb-001	Eev jaa oyaa ung buku.	ˈeːʋ ˈdʒaː ˈojaː ˈuŋ ˈbuku	I saw a book.	nasal_coda;affricate;velar_nasal;vowel_length;approximant_v;glide;statement	1sg 'eev'; past prefix 'jaa-'; 'ung' 'a' with velar [ŋ]; length pinned by the doubled vowels of the documentation orthography (cardoso_apics; humetserdanelis2002).
idb-002	Nɔɔna jaa daa paam.	ˈnɔːɳa ˈdʒaː ˈdaː ˈpaːm	The lady gave bread.	retroflex;nasal_coda;affricate;vowel_length;open_mid;statement	'nɔɔna' 'lady' shows the retroflex [ɳ] allophone of /n/ after a back vowel and long [ɔː] (humetserdanelis2002).
idb-003	Boos ta falaa isti lingvaay?	ˈboːs ˈta ˈfaɭaː ˈisti liŋɡˈʋaːj	Do you speak this language?	retroflex;nasal_coda;prenasal_cluster;velar_nasal;vowel_length;approximant_v;glide;question	2sg 'boos'; present 'ta-'; 'lingvaay' with etymological /v/ as approximant [ʋ] and homorganic /ŋɡ/ (humetserdanelis2002).
idb-004	Eli nuku falaa parim.	ˈeli ˈnuku ˈfaɭaː ˈparim	He did not tell me.	retroflex;nasal_coda;vowel_length;strong_rhotic;negation;statement	Unmarked negator 'nuku-'; dative 'parim' 1sg; retroflex [ɭ] allophone of /l/ after back vowel in 'falaa' (humetserdanelis2002).
idb-005	Noos lo teem festa.	ˈnoːs ˈlo ˈteːm ˈfesta	We will have a party.	nasal_coda;vowel_length;statement	1pl 'noos'; future 'lo-'; 'teem' 'have/be' with phonemic long vowel (cardoso_apics; humetserdanelis2002).
idb-006	Isti nɔɔna maal.	ˈisti ˈnɔːɳa ˈmaːɭ	This lady is bad.	retroflex;vowel_length;open_mid;statement	Proximal 'isti'; 'maal' 'bad' with long [ɑː] and retroflex coda [ɭ] (humetserdanelis2002; smith1977).
idb-007	Minha mai jaa vii.	ˈmiɲa ˈmai ˈdʒaː ˈʋiː	My mother came.	affricate;palatal_nasal;vowel_length;approximant_v;statement	Genitive 'minha' with ⟨nh⟩=[ɲ]; motion verb 'vii' 'come' with approximant [ʋ] and length (cardoso_apics; humetserdanelis2002).
idb-008	Eev naa papiaa isti lingvaay.	ˈeːʋ ˈnaː ˈpapiaː ˈisti liŋɡˈʋaːj	I do not speak this language.	nasal_coda;prenasal_cluster;velar_nasal;vowel_length;approximant_v;glide;negation;statement	Marked negator 'naa' (habitual/irrealis) vs unmarked 'nuku-'; 'lingvaay' with [ʋ] and [ŋɡ] (cardoso_apics; humetserdanelis2002).
idb-009	Kaaza-untu teem galinha.	ˈkaːza ˈuntu ˈteːm ˈɡaɭiɲa	There is a hen in the house.	retroflex;nasal_coda;prenasal_cluster;palatal_nasal;vowel_length;statement	Locative clitic '-untu' 'in'; 'galinha' with retroflex [ɭ] after back vowel and ⟨nh⟩=[ɲ] (humetserdanelis2002).
idb-010	Taantu jeentis nuku vii.	ˈtaːɳtu ˈdʒeːntis ˈnuku ˈʋiː	So many people did not come.	retroflex;nasal_coda;prenasal_cluster;affricate;vowel_length;approximant_v;negation;statement	'taantu jeentis' 'many people'; retroflex [ɳ] in 'taantu' and ⟨j⟩=[dʒ] in 'jeentis' (humetserdanelis2002).
idb-011	Eli ta juntaa ku noos.	ˈeli ˈta ˈdʒuntaː ˈku ˈnoːs	He meets with us.	nasal_coda;prenasal_cluster;affricate;vowel_length;statement	Present 'ta-'; 'juntaa' 'meet' with ⟨j⟩=[dʒ] and homorganic /nt/; comitative 'ku' (cardoso_apics; humetserdanelis2002).
idb-012	Ooy eev jaa andaa praya.	ˈoːj ˈeːʋ ˈdʒaː ˈaɳdaː ˈpraja	Today I went to the beach.	retroflex;nasal_coda;prenasal_cluster;affricate;vowel_length;approximant_v;strong_rhotic;glide;statement	'ooy' 'today'; motion 'andaa' 'go' with retroflex [ɳ] after back vowel; trilled [r] in 'praya' (humetserdanelis2002).
idb-013	Liingu ku onda.	ˈliːŋɡu ˈku ˈoɳda	The tongue and the wave.	retroflex;nasal_coda;prenasal_cluster;velar_nasal;vowel_length;statement	Attested homorganic clusters: 'liingu' [liːŋɡu] 'tongue' and 'onda' [oɳda] 'wave' with retroflex [ɳ] (humetserdanelis2002).
idb-014	Boos lo daa parmi paam?	ˈboːs ˈlo ˈdaː ˈparmi ˈpaːm	Will you give me bread?	nasal_coda;vowel_length;strong_rhotic;question	Future 'lo-'; benefactive/dative 'parmi' 1sg; 'paam' 'bread' with long [ɑː] (cardoso_apics; smith1977).
idb-015	Inche saaku ku aros.	ˈintʃe ˈsaːku ˈku ˈaros	Fill the sack with rice.	nasal_coda;prenasal_cluster;affricate;vowel_length;strong_rhotic;imperative;statement	'inche' 'fill' with homorganic /ntʃ/ (humetserdanelis2002, pp. 4-5); gemination of /k/ after short stressed vowel in 'saaku' documented but not written (cardoso_apics).
idb-016	Nɔɔna ta kuza isti pano.	ˈnɔːɳa ˈta ˈkuza ˈisti ˈpaɳo	The lady is sewing this cloth.	retroflex;vowel_length;open_mid;statement	'kuza' 'sew'; retroflex [ɳ] in 'nɔɔna' and 'pano' after back vowels — substrate transfer (humetserdanelis2002).
idb-017	Eev jaa lembraa boos.	ˈeːʋ ˈdʒaː ˈlembraː ˈboːs	I thought of you.	nasal_coda;prenasal_cluster;affricate;vowel_length;approximant_v;strong_rhotic;statement	'lembraa' 'think/remember' with homorganic /mb/ and trilled [r] (humetserdanelis2002).
idb-018	Minha pai nun teem dinheru.	ˈmiɲa ˈpai ˈnun ˈteːm ˈdiɲeru	My father has no money.	nasal_coda;palatal_nasal;vowel_length;strong_rhotic;negation;statement	Negated existential 'nun teem'; ⟨nh⟩=[ɲ] in 'minha' and 'dinheru' (cardoso_apics; humetserdanelis2002).
idb-019	Noos jaa oyaa kaam maal.	ˈnoːs ˈdʒaː ˈojaː ˈkaːm ˈmaːɭ	We saw bad ground.	retroflex;nasal_coda;affricate;vowel_length;glide;statement	'kaam' 'ground' and 'maal' 'bad' both with phonemic long vowels and retroflex coda [ɭ] in 'maal' (humetserdanelis2002; smith1977).
idb-020	Eli numista papiaa.	ˈeli nuˈmista ˈpapiaː	He must not speak.	vowel_length;negation;imperative	Prohibitive negator 'numista-'; 'papiaa' 'speak' with final long [ɑː] (cardoso_apics; humetserdanelis2002).
