id	sentence	raw	ipa	gloss_en	features	notes
ar-DZ-001	وَاش رَاك الْيُوم؟ رَاك مْلِيح؟	واش راك اليوم؟ راك مليح؟	ˈwaːʃ ˈraːk alˈjuːm ˈraːk ˈmliːħ	How are you today? Are you well?	kaf;pharyngeal;long_vowel;question	wāš rāk greeting (PADIC-ALGIERS attests rāk); mlīḥ 'well' (Algiers hallmark); Algiers urban phonology/lexicon per (boucherit2002)
ar-DZ-002	اَلْجَوّ شْبَاب الْيُوم وَالسّمَا صَافْيَة فِي الْعَاصِمَة.	الجو شباب اليوم والسما صافية في العاصمة.	alˈʒaww ˈʃbaːb alˈjuːm ˈwassmaː ˈsˤɑːfja ˈfiː lˈʕɑːsˤima	The weather is beautiful today and the sky is clear in the capital.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	šbāb 'beautiful' (Algiers lexeme); ج=/ʒ/ (grand_henry1972); sun assimilation as-s
ar-DZ-003	مَا نْحَبّْش قَهْوَة، نْحَبّ أَتَاي سْخُون.	ما نحبش قهوة، نحب أتاي سخون.	ˈmaː ˈnħabbʃ ˈqahwa ˈnħabb ʔaˈtaːj ˈsxuːn	I don't want coffee, I like hot tea.	qaf;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;negation	ma-...-š circumfix + n- 1sg (Maghrebi, grand_henry1972); geminate بّ; cluster sx-
ar-DZ-004	شْرِيت تْلَاتَة كِيلُو بَطَاطَا مِن السُّوق بِمِيَة دِينَار.	شريت تلاتة كيلو بطاطا من السوق بمية دينار.	ˈʃriːt ˈtlaːta ˈkiːluː bɑˈtˤɑːtˤɑː ˈmin asˈsuːq ˈbimija diːˈnaːr	I bought three kilos of potatoes from the market for a hundred dinars.	qaf;kaf;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;statement;number	ث→/t/ tlāta (Algiers stop reflexes, grand_henry1972); ق=/q/ sūq; cluster šr-
ar-DZ-005	هَادَاك الرَّاجِل يِخْدِم فِي الظّهْر بْزَّاف.	هاداك الراجل يخدم في الظهر بزاف.	haːˈdaːk arˈraːʒil ˈjixdim ˈfiː ˈɑdˤdˤhr ˈbzzaːf	That man works a lot at noon.	jim;interdental;kaf;sun_assim;emphatic;geminate;long_vowel;statement	hādāk with ذ→/d/ (Algiers stop reflex); bzzāf 'a lot' (shared Maghrebi); yixdim 'works'; Algiers interdental→dental-stop merger (ذ→[d]) per (boucherit2002)
ar-DZ-006	رُوح لِلسُّوق وْشْرِي الْخُبْز يَا خُويَا.	روح للسوق وشري الخبز يا خويا.	ˈruːħ lisˈsuːq ˈwʃriː lˈxubz ˈjaː ˈxuːjaː	Go to the market and buy the bread, brother.	qaf;pharyngeal;geminate;long_vowel;imperative	Algiers imperatives ruh/shri with syncope clusters and xuya vocative (boucherit2002)
ar-DZ-007	الْيُوم الْجَوّ مَا رَاهْش بَارِد.	اليوم الجو ما راهش بارد.	alˈjuːm alˈʒaww ˈmaː ˈraːhʃ ˈbaːrid	The weather isn't cold today.	jim;geminate;long_vowel;diphthong;statement;negation	rāh(-š) progressive/negation particle with ma-…-š circumfix (boucherit2002); jaww ج=/ʒ/ sedentary Maghrebi (watson2002)
ar-DZ-008	شْحَال هَادَا؟ بِمِيتِين دِينَار.	شحال هادا؟ بميتين دينار.	ˈʃħaːl ˈhaːdaː bimiːˈtiːn diːˈnaːr	How much is this? Two hundred dinars.	pharyngeal;long_vowel;question;number	šḥāl 'how much' and mītīn 'two hundred' Maghrebi numeral (boucherit2002)
ar-DZ-009	الْمُوعِد عْلَى الثّمْنِيَة غَدْوَة الصّبَاح.	الموعد على الثمنية غدوة الصباح.	alˈmuːʕid ˈʕlaː ˈattmnija ˈɣadwa sˤsˤˈbaːħ	The appointment is at eight tomorrow morning.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement;number	ث→/t/ in tmnija — Algiers interdental merger to stops (boucherit2002; marcais1902); sun assimilation aṣ-ṣ; ɣadwa 'tomorrow'
ar-DZ-010	عَايْلْتِي تِسْكُن فِي الْعَاصِمَة.	عايلتي تسكن في العاصمة.	ˈʕaːjltiː ˈtiskun ˈfiː lˈʕɑːsˤima	My family lives in the capital.	kaf;ta_marbuta;emphatic;pharyngeal;long_vowel;statement	ʕayla 'family' with tiskun 3fs; pharyngeal ع; emphatic ṣ backing /a/ in ʕāṣima (boucherit2002; watson2002)
ar-DZ-011	مْشِي نِيشَان وْدُور عْلَى الْيَمِين.	مشي نيشان ودور على اليمين.	ˈmʃiː niːˈʃaːn ˈwduːr ˈʕlaː ljaˈmiːn	Go straight and turn right.	pharyngeal;long_vowel;imperative	syncopated imperatives mši/dur with initial clusters (boucherit2002); nišan 'straight'
ar-DZ-012	الْمَاكْلَة كَانِت بْنِينَة بْزَّاف.	الماكلة كانت بنينة بزاف.	alˈmaːkla ˈkaːnit ˈbniːna ˈbzzaːf	The food was very tasty.	kaf;ta_marbuta;geminate;long_vowel;statement	mākla 'food', bnina 'tasty' (fem) and bzzaf 'a lot' (boucherit2002); ك plain /k/ (grand_henry1972)
ar-DZ-013	وِين الْمَفْتَاح؟ مَا نْلْقَاهْش.	وين المفتاح؟ ما نلقاهش.	ˈwiːn almafˈtaːħ ˈmaː ˈnlqaːhʃ	Where's the key? I can't find it.	qaf;pharyngeal;long_vowel;question;negation	win 'where' and ma-nlqah-š negation (boucherit2002); ق=/q/ old-urban Algiers in nlqah (boucherit2002; grand_henry1972)
ar-DZ-014	شْحَال عَنْدِك مِن وْلَد؟	شحال عندك من ولد؟	ˈʃħaːl ˈʕandik ˈmin ˈwlad	How many children do you have?	kaf;pharyngeal;long_vowel;question;number	šḥāl … men wlad partitive 'how many children' (boucherit2002); ك=/k/ in ʕandek
ar-DZ-015	إِذَا جِيت غَدْوَة نْرُوحُو مَع بَعْضْنَا.	إذا جيت غدوة نروحو مع بعضنا.	ˈʔidaː ˈʒiːt ˈɣadwa ˈnruːħuː ˈmaʕ ˈbaʕdˤnaː	If you come tomorrow, we'll go together.	jim;interdental;hamza;ta_marbuta;emphatic;pharyngeal;long_vowel;statement	ذ→/d/ in ida — interdental merger (boucherit2002); ض→/dˤ/ in baʕdna; n- 1pl nruħu (marcais1902)
ar-DZ-016	الْبَارِح رُحْت لِلسُّوق وْشْرِيت الْخُضْرَة.	البارح رحت للسوق وشريت الخضرة.	alˈbaːriħ ˈruħt lisˈsuːq ˈwʃriːt alˈxudˤra	Yesterday I went to the market and bought vegetables.	qaf;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;statement	bareħ 'yesterday', šrit 'I bought', xuḍra 'vegetables' (boucherit2002); ق=/q/ in suq
ar-DZ-017	الْجُمْعَة الْجَايَة نْسَافِر لْوَهْرَان.	الجمعة الجاية نسافر لوهران.	alˈʒumʕa lˈʒaːja ˈnsaːfir lwahˈraːn	Next week I'll travel to Oran.	jim;ta_marbuta;pharyngeal;long_vowel;statement	jumʕa 'week', jaya 'coming', nsafer with n- 1sg (boucherit2002); ج=/ʒ/ (watson2002)
ar-DZ-018	عَيَّطْ لِي فِي اللِّيل يَا خُويَا.	عيط لي في الليل يا خويا.	ˈʕajjɑtˤ ˈliː ˈfiː lˈliːl ˈjaː ˈxuːjaː	Call me tonight, brother.	sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;imperative	ʕayyaṭ 'to call' imperative (boucherit2002); emphasis backs /a/→[ɑ] near ṭ (watson2002); xuya vocative
ar-DZ-019	صْبَاح الْخِير، وَاش رَاك؟ لَابَاس الْحَمْدُ لِلَّه.	صباح الخير، واش راك؟ لاباس الحمد لله.	ˈsˤbaːħ alˈxiːr ˈwaːʃ ˈraːk laːˈbaːs alˈħamdu ˈlillah	Good morning, how are you? Fine, thank God.	kaf;emphatic;pharyngeal;geminate;long_vowel;question;statement	ṣbaħ l-xir greeting; wāš rāk deictic question (boucherit2002); labas 'fine'
ar-DZ-020	الْيَد اللِّي مَا تِقْدِرْش تْعَضّهَا بُوسْهَا.	اليد اللي ما تقدرش تعضها بوسها.	ˈaljad ˈalliː ˈmaː tiqˈdirʃ ˈtʕɑdˤdˤhaː ˈbuːshaː	The hand you can't bite, kiss it.	qaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement;imperative	proverb; ق=/q/ in teqder (boucherit2002; grand_henry1972); geminate ض in ʕeḍḍ; busha 'kiss it' imperative
