id	sentence	ipa	gloss_en	features	notes
ast-x-oriental-001	La ḥoguera arde tola nueche.	la hoˈɡeɾa ˈaɾde ˈtola ˈnwetʃe	The bonfire burns all night.	diphthong_ie_ue;sandhi;statement	Eastern Latin F->aspiration, written ⟨ḥ⟩ [h] 'ḥoguera' (< focus) — the f->h isogloss of easternmost Asturian, DOCUMENTED not gheada — per morala_egido2009; tonic Ŏ>/ue/ 'nueche' per garcia_arias2003.
ast-x-oriental-002	Jizo mucho fríu esti iviernu.	ˈʝiθo ˈmutʃo ˈfɾiu ˈesti iˈbjeɾnu	It was very cold this winter.	distincion;diphthong_ie_ue;final_u;sandhi;statement	Eastern monophthong and Castilian-adjacent 'mucho' per morala_egido2009; ⟨z⟩ [θ] 'Jizo' and diphthong 'iviernu' [-je-] per garcia_arias2003.
ast-x-oriental-003	La faya crez cerca del ríu.	la faˈʝa ˈkɾeθ ˈθeɾka del ˈriu	The beech grows near the river.	distincion;rhotic;statement	F- retention 'faya' — contrasts with the ⟨ḥ⟩ [h] aspiration cases in this lect, both attested in the eastern isogloss band — per morala_egido2009; ⟨z⟩/⟨c⟩ [θ] 'crez','cerca' and trill [r] per garcia_arias2003.
ast-x-oriental-004	Los rapazos cuerren pel monte.	los raˈpaθos kweˈren pel ˈmonte	The boys run through the woods.	distincion;diphthong_ie_ue;rhotic;sandhi;statement	Eastern retains -o (rapazos, monte) rather than raising to -u per morala_egido2009; ⟨z⟩ [θ], tonic Ŏ>/ue/ 'cuerren' and trill [r] per garcia_arias2003.
ast-x-oriental-005	Coyí les llaves na cocina.	koˈʝi les ˈʎabes na koˈθina	I took the keys in the kitchen.	distincion;lateral_palatal;palatal_initial;sandhi;statement	Word-initial L->[ʎ] 'llaves' and -LJ->[ʝ] 'Coyí' per morala_egido2009; ⟨c⟩ [θ] 'cocina' per garcia_arias2003.
ast-x-oriental-006	¿Cuántos años tien to hermano?	ˈkuantos ˈaɲos ˈtjen ˈto eˈɾmano	How many years does your brother have?	palatal_nasal;diphthong_ie_ue;sandhi;question;number	Eastern final -o 'hermano' (no western -u raising) per morala_egido2009; ⟨ñ⟩ [ɲ] 'años' and diphthong 'tien' per garcia_arias2003.
ast-x-oriental-007	El gato ñeru duerme cabo del llar.	el ˈɡato ˈɲeɾu ˈdweɾme ˈkaβo del ˈʎaɾ	The cat sleeps by the hearth.	lateral_palatal;palatal_nasal;palatal_initial;diphthong_ie_ue;statement	Word-initial N->[ɲ] 'ñeru', L->[ʎ] 'llar' per morala_egido2009; eastern -o 'gato' and tonic Ŏ>/ue/ 'duerme' per garcia_arias2003.
ast-x-oriental-008	Nun quiero más pan nin queso.	ˈnun ˈkjeɾo ˈmas ˈpan nin ˈkeso	I don't want more bread or cheese.	diphthong_ie_ue;negation;statement	Eastern final -o 'queso' (monophthongised, no western ⟨ei⟩) per morala_egido2009; negator 'nun'/'nin' and diphthong 'quiero' per garcia_arias2003.
ast-x-oriental-009	La muyer merca cebollas nel mercao.	la muˈʝeɾ ˈmeɾka θeˈβoʎas nel ˈmeɾkao	The woman buys onions at the market.	distincion;lateral_palatal;sandhi;statement	-LJ->[ʝ] 'muyer' and -LL->[ʎ] 'cebollas' per morala_egido2009; ⟨c⟩ [θ], eastern -o 'mercao' and 'mercar' per garcia_arias2003.
ast-x-oriental-010	¡Baxa aína y pieslla la puerta!	ˈbaʃa ˈaina ʝ ˈpjesʎa la ˈpweɾta	Come down quickly and shut the door!	lateral_palatal;diphthong_ie_ue;sandhi;imperative	-LL->[ʎ] 'pieslla' and tonic Ĕ>/ie/ 'pieslla', Ŏ>/ue/ 'puerta' per morala_egido2009; ⟨x⟩ [ʃ] 'Baxa' per garcia_arias2003.
