id	sentence	ipa	gloss_en	features	notes
es-AR-x-cordoba-001	Che culiado, ¿vos venís al asado o qué?	tʃe kuljaðo bos benis al asaðo o ke	Hey dude, are you coming to the barbecue or what?	sandhi;question	Cordobés voseo 'venís' and vocative 'culiado' within Lipski's Argentine zone per lipski1994.
es-AR-x-cordoba-002	La calle estaba llena de gente en el centro.	la kaʝe estaβa ʝena de xente en el sentɾo	The street was full of people downtown.	seseo;yeismo;sandhi;statement	Yeísmo ⟨ll y⟩ [ʝ] 'calle llena' per lipski1994; the cordobés tonada (pretonic lengthening) is prosodic and not modelled in this stub spec.
es-AR-x-cordoba-003	Los zapatos azules cuestan tres mil pesos.	los sapatos asules kwestan tɾes mil pesos	The blue shoes cost three thousand pesos.	seseo;diphthong_ie_ue;sandhi;statement;number	Seseo ⟨z⟩ [s] 'zapatos azules' per lipski1994; coda ⟨s⟩ conserved 'los'.
es-AR-x-cordoba-004	El perro corre por el barrio todo el día.	el pero kore poɾ el barjo toðo el dia	The dog runs around the neighborhood all day.	rhotic;sandhi;statement	Trill [r] for ⟨rr⟩ 'perro corre barrio' per lipski1994.
es-AR-x-cordoba-005	No quiero que llueva en la fiesta.	no kjeɾo ke ʝweba en la fjesta	I don't want it to rain at the party.	yeismo;diphthong_ie_ue;sandhi;statement;negation	Yeísmo ⟨ll⟩ [ʝ] 'llueva' per lipski1994; negation 'no quiero'.
es-AR-x-cordoba-006	Vení temprano y traé la bebida, aguante.	beni tempɾano i tɾae la beβiða aɡante	Come early and bring the drinks, let's go.	sandhi;imperative	Cordobés voseo imperatives 'vení traé' per lipski1994.
es-AR-x-cordoba-007	Ella lleva la llave del coche en la mano.	eʝa ʝeba la ʝabe del kotʃe en la mano	She carries the car key in her hand.	yeismo;sandhi;statement	Yeísmo ⟨ll y⟩ [ʝ] 'ella lleva llave' per lipski1994.
es-AR-x-cordoba-008	¿Cómo andás, tanto tiempo sin verte?	komo andas tanto tjempo sin beɾte	How are you, long time no see?	diphthong_ie_ue;sandhi;question	Central Argentine voseo 'andás' per lipski1994.
es-AR-x-cordoba-009	La chica cruzó la plaza con el mate en la mano.	la tʃika kɾuso la plasa kon el mate en la mano	The girl crossed the square with her mate in hand.	seseo;sandhi;statement	Seseo ⟨z c⟩ [s] 'cruzó plaza' per lipski1994.
es-AR-x-cordoba-010	Comé algo antes de salir al trabajo.	kome alɡo antes de saliɾ al tɾaβaxo	Eat something before leaving for work.	sandhi;imperative	Voseo imperative 'comé' per lipski1994; coda ⟨s⟩ 'antes salir'.
es-AR-x-cordoba-011	El pollo con papas está riquísimo hoy.	el poʝo kon papas esta rikisimo oi	The chicken with potatoes is delicious today.	yeismo;rhotic;sandhi;statement	Yeísmo ⟨ll⟩ [ʝ] 'pollo' per lipski1994; ⟨ch⟩ [tʃ].
es-AR-x-cordoba-012	Nosotros vamos a la sierra el fin de semana.	nosotɾos bamos a la sjera el fin de semana	We are going to the mountains this weekend.	diphthong_ie_ue;rhotic;sandhi;statement	Coda ⟨s⟩ conserved 'nosotros vamos' per lipski1994.
es-AR-x-cordoba-013	Decime la verdad, ¿trajiste la guita?	desime la beɾdað tɾaxiste la ɡita	Tell me the truth, did you bring the cash?	seseo;question	Voseo 'decime trajiste' per lipski1994.
es-AR-x-cordoba-014	No seas malo, prestame la bici un rato.	no seas malo pɾestame la bisi un rato	Don't be mean, lend me the bike for a while.	seseo;rhotic;sandhi;imperative;negation	Voseo 'seas prestame' per lipski1994; negation 'no seas'.
es-AR-x-cordoba-015	Mañana llega mi primo desde Buenos Aires.	maɲana ʝeɣa mi pɾimo desde bwenos ajɾes	Tomorrow my cousin arrives from Buenos Aires.	yeismo;palatal_nasal;palatal_initial;diphthong_ie_ue;sandhi;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'mañana' documented in the baseline per lipski1994.
es-AR-x-cordoba-016	La feria del centro abre todos los domingos.	la feɾja del sentɾo abɾe toðos los dominɡos	The downtown market opens every Sunday.	seseo;sandhi;statement	Coverage of the seseo baseline per lipski1994; coda ⟨s⟩ 'todos los'.
es-AR-x-cordoba-017	Poné la pava que ya tomamos unos mates.	pone la paba ke ʝa tomamos unos mates	Put the kettle on, let's have some mates.	yeismo;sandhi;imperative	Voseo imperative 'poné' per lipski1994; sandhi 'que ya'.
es-AR-x-cordoba-018	El río Suquía baja crecido esta semana.	el rio sukia baxa kɾesiðo esta semana	The Suquía river is running high this week.	seseo;rhotic;sandhi;statement	Local hydronym in a cordobés frame per lipski1994; coda ⟨s⟩ 'esta'.
es-AR-x-cordoba-019	¿Querés que te lleve hasta la terminal?	keɾes ke te ʝebe asta la teɾminal	Do you want me to take you to the bus station?	yeismo;question	Voseo 'querés' per lipski1994; yeísmo ⟨ll⟩ [ʝ] 'lleve'.
es-AR-x-cordoba-020	Salimos a caminar cuando baje el calor.	salimos a kaminaɾ kwando baxe el kaloɾ	We'll go for a walk when the heat drops.	sandhi;statement	Coda ⟨s⟩ conserved 'salimos' per lipski1994.
