id	sentence	ipa	gloss_en	features	notes
pt-UY-001	O tempo não está nada bom hoje.	u ˈtẽpu ˈnɐ̃w̃ eˈsta ˈnadɐ ˈbõ ˈoʒi	The weather is not good at all today.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;sandhi;statement;negation	Riverense: final /e/ raised to [i] in 'hoje', inherited from the urban-BP reference norm (carvalho1998_variation); nasal diphthong [ɐ̃w̃] in 'não' inherited from pt-BR (elizaincin1992_contacto).
pt-UY-002	Estes sapatos custam quarenta pesos na feira.	ˈestis saˈpatus ˈkustɐ̃w̃ kwaˈɾẽtɐ ˈpezus nɐ ˈfejɾɐ	These shoes cost forty pesos at the market.	vowel_reduction;close_mid;nasal_vowel;diphthong_ei_ou;sandhi;statement;number	Border lexicon 'pesos' (Uruguayan currency), the frontier vernacular of the Rivera region (sturza2021_territorio); alveolar coda /s/ [s] left inherited from pt-BR, not aspirated in the Portuguese (carvalho1998_variation).
pt-UY-003	A consulta é amanhã às três da tarde.	ɐ kõˈsultɐ ˈɛ amaˈɲã as ˈtɾes dɐ ˈtaɾdi	The appointment is tomorrow at three in the afternoon.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;l_dark_or_velar;sandhi;statement;number	Coda /l/ retained as [l] in 'consulta' — no vocalisation to [w], aligning with the Spanish adstrate (carvalho1998_variation); dental /d/ before /i/ retained in 'tarde' → [ˈtaɾdi] (rona1965_fronterizo).
pt-UY-004	Meu irmão mora aqui perto, na fronteira.	ˈmew iˈɾmɐ̃w̃ ˈmɔɾɐ aˈki ˈpeɾtu nɐ fɾõˈtejɾɐ	My brother lives right here, on the border.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;diphthong_ei_ou;sandhi;statement	Border-region reference to 'a fronteira' (Brazil–Uruguay frontier), the DPU heartland (sturza2021_territorio); nasal diphthong [ɐ̃w̃] in 'irmão' (elizaincin1992_contacto); retained [ej] in 'fronteira' (carvalho1998_variation).
pt-UY-005	Segue reto e dobra na próxima esquina.	ˈseɡi ˈretu i ˈdobɾɐ nɐ ˈpɾɔʃimɐ eˈskinɐ	Go straight and turn at the next corner.	vowel_reduction;open_mid;close_mid;rhotic;sandhi;imperative	Alveolar trill onset [r] in 'reto', aligning with border Spanish, not the guttural [ʁ] of urban BP (carvalho1998_variation); open-mid [ɔ] in 'próxima' inherited from pt-BR (elizaincin1992_contacto).
pt-UY-006	A comida da minha mãe estava muito boa.	ɐ koˈmidɐ dɐ ˈmiɲɐ ˈmɐ̃j̃ eˈstavɐ ˈmujtu ˈboɐ	My mother's food was very good.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;palatal;sandhi;statement	Dental /d/ before /i/ retained in 'comida' — no affrication, kept under Spanish interference (carvalho1998_variation; hensey1972_border); palatal [ɲ] in 'minha', nasal diphthong [ɐ̃j̃] in 'mãe' (elizaincin1992_contacto).
pt-UY-007	Onde é que tu deixaste a colher?	ˈõdi ˈɛ ki ˈtu deˈjʃasti ɐ koˈjeɾ	Where did you leave the spoon?	vowel_reduction;open_mid;close_mid;nasal_vowel;diphthong_ei_ou;sandhi;question	Categorical vocalisation of the palatal lateral ⟨lh⟩ /ʎ/ → glide [j]: 'colher' → [koˈjeɾ], the single most salient Riverense marker (local 'coié' vs BP 'colher', carvalho1998_variation; rona1965_fronterizo); 'tu' 2sg preterite (hensey1972_border).
pt-UY-008	Quantos filhos tem aquela mulher?	ˈkwɐ̃tus ˈfijus ˈtẽj̃ aˈkelɐ muˈjeɾ	How many children does that woman have?	vowel_reduction;close_mid;nasal_vowel;question	⟨lh⟩ → [j] in 'filhos' → [ˈfijos] and 'mulher' → [muˈjeɾ] (the /mujɛ/-type form of carvalho1998_variation; rona1965_fronterizo); final /s/ [s] inherited (elizaincin1992_contacto).
pt-UY-009	Se tu quisesses, comprava aquela chácara.	si ˈtu kiˈzes̺is kõˈpɾavɐ aˈkelɐ ˈʃakaɾɐ	If you wanted, I would buy that little farm.	vowel_reduction;close_mid;nasal_vowel;sandhi;statement	'tu' + 2sg imperfect subjunctive, the rural border paradigm (hensey1972_border); final /e/ raised to [i] in 'segue'-type context and 'se' → [si] (carvalho1998_variation).
pt-UY-010	Tu compraste as frutas e as verduras na venda?	ˈtu kõˈpɾasti as ˈfɾutas i as veˈɾduɾas nɐ ˈvẽdɐ	Did you buy the fruit and the vegetables at the store?	vowel_reduction;close_mid;nasal_vowel;sandhi;question	'tu' 2sg 'compraste' (hensey1972_border); alveolar coda /s/ [s] across 'as frutas'/'as verduras', inherited from pt-BR (carvalho1998_variation); 'venda' country-store lexicon (sturza2021_territorio).
pt-UY-011	Amanhã nós vamos de carro até Rivera.	amaˈɲã ˈnɔs ˈvamus di ˈkaru aˈtɛ riˈveɾɐ	Tomorrow we are going by car to Rivera.	vowel_reduction;open_mid;close_mid;palatal;rhotic;sandhi;statement	Toponym Rivera, the Uruguayan border city and DPU centre (sturza2021_territorio); alveolar trill [r] in 'carro'/'Rivera' (carvalho1998_variation); palatal [ɲ] in 'amanhã' (elizaincin1992_contacto).
pt-UY-012	Me liga quando tu chegares em casa.	mi ˈliɡɐ ˈkwɐ̃du ˈtu ʃeˈɡaɾis ẽj̃ ˈkazɐ	Call me when you get home.	vowel_reduction;close_mid;nasal_vowel;sandhi;imperative	'tu' + 2sg future subjunctive 'chegares' (hensey1972_border); final /e/ → [i] in 'me' → [mi] and 'liga' onset, the raised BR vocalism inherited (carvalho1998_variation).
pt-UY-013	Bom dia, como é que tu andas de saúde?	ˈbõ ˈdiɐ ˈkomu ˈɛ ki ˈtu ˈɐ̃das di ˈsaudi	Good morning, how is your health doing?	vowel_reduction;open_mid;close_mid;nasal_vowel;sandhi;question	Dental /d/ before /i/ retained in 'dia' — no affrication (carvalho1998_variation; rona1965_fronterizo); 'tu andas' 2sg (hensey1972_border); nasal [õ] in 'bom' (elizaincin1992_contacto).
pt-UY-014	Mais vale um pássaro na mão que dois voando.	ˈmajs ˈvali ˈũ ˈpas̺aɾu nɐ ˈmɐ̃w̃ ki ˈdojs voˈɐ̃du	A bird in the hand is worth two in the bush.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;sandhi;statement	Proverb in neutral register; nasal diphthong [ɐ̃w̃] in 'mão' inherited from pt-BR (elizaincin1992_contacto); alveolar coda /s/ [s] in 'mais'/'dois' (carvalho1998_variation).
pt-UY-015	O carro do Ramón ficou na estrada de terra.	u ˈkaru du raˈmõ fiˈkow nɐ eˈstɾadɐ di ˈtɛrɐ	Ramón's car got stuck on the dirt road.	vowel_reduction;close_mid;nasal_vowel;rhotic;diphthong_ei_ou;sandhi;statement	Spanish first name Ramón, ordinary in the bilingual border community (sturza2021_territorio); alveolar trill [r] in 'carro'/'terra' and onset 'Ramón' (carvalho1998_variation); [ow] in 'ficou' (elizaincin1992_contacto).
pt-UY-016	O leiteiro trouxe pouco leite outro dia.	u leˈjtejɾu ˈtɾowsi ˈpowku ˈlejti ˈowtɾu ˈdiɐ	The milkman brought little milk the other day.	vowel_reduction;close_mid;diphthong_ei_ou;sandhi;statement	Retained falling diphthongs [ej]/[ow] in 'leiteiro'/'pouco'/'outro' (elizaincin1992_contacto); final /e/ raised to [i] in 'leite' → [ˈlejti] and 'dia', the inherited BR vocalism (carvalho1998_variation).
pt-UY-017	O sol forte queimava o milharal.	u ˈsɔl ˈfɔɾti keˈjmavɐ u mijaˈɾal	The strong sun scorched the cornfield.	vowel_reduction;close_mid;diphthong_ei_ou;l_dark_or_velar;sandhi;statement	Coda /l/ retained as [l] in 'sol' → [ˈsol] and 'milharal' → [mijaˈɾal] — no [w] vocalisation, per the Spanish adstrate (carvalho1998_variation); ⟨lh⟩ → [j] in 'milharal' (rona1965_fronterizo).
