id	sentence	ipa	gloss_en	features	notes
es-AR-x-patagonia-001	Che, ¿vos venís a la costa este verano?	ˈtʃe ˈbos beˈnis a la ˈkosta ˈeste beˈɾano	Hey, are you coming to the coast this summer?	sandhi;question	Patagonian voseo 'venís' within Lipski's Argentine zone per lipski1994.
es-AR-x-patagonia-002	La calle estaba llena de nieve en julio.	la ˈkaʝe eˈstaβa ˈʝena de ˈnjebe en ˈxuljo	The street was full of snow in July.	yeismo;diphthong_ie_ue;sandhi;statement	Yeísmo ⟨ll⟩ [ʝ] 'calle llena' per lipski1994.
es-AR-x-patagonia-003	Los corderos y las ovejas pastan en la estepa.	los koˈɾdeɾos i las oˈbexas ˈpastan en la eˈstepa	The lambs and sheep graze on the steppe.	sandhi;statement	Coda ⟨s⟩ conserved 'los corderos las ovejas' per lipski1994.
es-AR-x-patagonia-004	El viento del sur sopla fuerte todo el día.	el ˈbjento del ˈsuɾ ˈsopla ˈfweɾte ˈtoðo el ˈdia	The southern wind blows hard all day.	diphthong_ie_ue;sandhi;statement	Trill [r] 'fuerte' per lipski1994; Patagonian wind noted in lipski1994.
es-AR-x-patagonia-005	No quiero que se congele la cañería.	ˈno ˈkjeɾo ke se koˈnxele la kaɲeˈɾia	I don't want the pipes to freeze.	palatal_nasal;diphthong_ie_ue;statement;negation	Palatal nasal ⟨ñ⟩ [ɲ] 'cañería' and negation 'no quiero' per lipski1994.
es-AR-x-patagonia-006	Vení a tomar unos mates junto al fuego.	beˈni a toˈmaɾ unos ˈmates ˈxunto al ˈfweɣo	Come have some mates by the fire.	diphthong_ie_ue;sandhi;imperative	Patagonian voseo imperative 'vení' per lipski1994.
es-AR-x-patagonia-007	Ella lleva la manta llena de lana cruda.	ˈeʝa ˈʝeba la ˈmanta ˈʝena de ˈlana ˈkɾuða	She carries the blanket full of raw wool.	yeismo;statement	Yeísmo ⟨ll⟩ [ʝ] 'ella lleva llena' per lipski1994.
es-AR-x-patagonia-008	¿Cómo andás con la esquila este año?	ˈkomo aˈndas kon la eˈskila ˈeste ˈaɲo	How's the shearing going this year?	palatal_nasal;sandhi;question	Voseo 'andás' per lipski1994; ⟨ñ⟩ [ɲ] 'año'.
es-AR-x-patagonia-009	La chica cruzó la plaza abrigada con bufanda.	la ˈtʃika kɾuˈso la ˈplasa abɾiˈɣaða kon buˈfanda	The girl crossed the square bundled in a scarf.	seseo;sandhi;statement	Seseo ⟨z⟩ [s] 'cruzó plaza' per lipski1994.
es-AR-x-patagonia-010	Comé algo caliente antes de salir al frío.	koˈme ˈalɡo kaˈljente ˈantes de saˈliɾ al ˈfɾio	Eat something hot before going out into the cold.	diphthong_ie_ue;sandhi;imperative	Voseo imperative 'comé' per lipski1994.
es-AR-x-patagonia-011	El perro corre tras las ovejas en el campo.	el ˈpero ˈkore tɾas las oˈbexas en el ˈkampo	The dog runs after the sheep in the field.	rhotic;sandhi;statement	Trill [r] for ⟨rr⟩ 'perro corre' per lipski1994.
es-AR-x-patagonia-012	Nosotros vivimos cerca del lago desde hace años.	noˈsotɾos biˈbimos ˈseɾka del ˈlaɣo ˈdesde ˈase ˈaɲos	We've lived near the lake for years.	seseo;palatal_nasal;sandhi;statement	Coda ⟨s⟩ conserved 'nosotros' per lipski1994.
es-AR-x-patagonia-013	Decime si querés más torta frita con mate.	deˈsime si keˈɾes ˈmas ˈtoɾta ˈfɾita kon ˈmate	Tell me if you want more fried cake with mate.	seseo;sandhi;question	Voseo 'decime querés' per lipski1994.
es-AR-x-patagonia-014	No seas testarudo y ponete el abrigo.	ˈno ˈseas testaˈɾuðo i poˈnete el aˈbɾiɣo	Don't be stubborn and put on your coat.	sandhi;imperative;negation	Voseo 'seas ponete' per lipski1994; negation 'no seas'.
es-AR-x-patagonia-015	Mañana llegan los primos desde Bariloche.	maˈɲana ˈʝeɣan los ˈpɾimos ˈdesde baɾiˈlotʃe	Tomorrow the cousins arrive from Bariloche.	yeismo;palatal_nasal;palatal_initial;sandhi;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'mañana' per lipski1994; coda ⟨s⟩ 'los primos'.
es-AR-x-patagonia-016	El río baja helado desde la cordillera.	el ˈrio ˈbaxa eˈlaðo ˈdesde la koɾdiˈʝeɾa	The river runs icy down from the mountain range.	yeismo;rhotic;statement	Trill [r] 'río' per lipski1994; coda ⟨s⟩ 'desde'.
es-AR-x-patagonia-017	Poné más leña que se apaga la salamandra.	poˈne ˈmas ˈleɲa ke se aˈpaɣa la salaˈmandɾa	Add more wood, the stove is going out.	palatal_nasal;sandhi;imperative	Voseo imperative 'poné' per lipski1994; sandhi 'que se'.
es-AR-x-patagonia-018	Los caminos de ripio están helados hoy.	los kaˈminos de ˈripjo eˈstan eˈlaðos ˈoi	The gravel roads are icy today.	rhotic;sandhi;statement	Coda ⟨s⟩ conserved 'caminos están' per lipski1994.
es-AR-x-patagonia-019	¿Querés que crucemos hasta la isla en bote?	keˈɾes ke kɾuˈsemos ˈasta la ˈisla en ˈbote	Do you want us to cross to the island by boat?	seseo;sandhi;question	Voseo 'querés' per lipski1994; seseo ⟨c⟩+e 'crucemos' baseline.
es-AR-x-patagonia-020	Salimos al alba para llegar antes del temporal.	saˈlimos al ˈalba paɾa ʝeˈɣaɾ ˈantes del tempoˈɾal	We set out at dawn to arrive before the storm.	yeismo;sandhi;statement	Coda ⟨s⟩ conserved 'salimos' per lipski1994.
