id	sentence	raw	ipa	gloss_en	features	notes
ar-SA-x-sharqiyya-001	جِيرَانَّا فِي الْقَطِيف طَيِّبِين وَاجِد.	جيرانا في القطيف طيبين واجد.	jiːˈraːnnaː fiː lɡɑˈtˤiːf tˤɑjjiˈbiːn ˈwaːjid	Our neighbours in Qatif are very kind.	qaf;jim;emphatic;geminate;long_vowel;diphthong;statement	ج→[j] Baḥārna lenition جِيرَان→[jiːraːn], وَاجِد→[waːjid] (johnstone1967; holes2004); ق=/ɡ/ الْقَطِيف→[lɡɑtˤiːf] (altaisan2022 p.17); emphatic ط
ar-SA-x-sharqiyya-002	وِش تَبِي مِن السُّوق يَا يَمَّه؟	وش تبي من السوق يا يمه؟	ˈwiʃ ˈtabiː min asˈsuːɡ jaː ˈjammah	What do you want from the market, mother?	qaf;sun_assim;geminate;long_vowel;question	ق=/ɡ/ السُّوق→[assuːɡ]; sun assim ال+س; long vowel; Gulf address term; qaf→[ɡ] (Hasawi) per (altaisan2022)
ar-SA-x-sharqiyya-003	مَا عِنْدِي جَوَاب ثَانِي لِهَالْمَسْأَلَة الصَّعْبَة.	ما عندي جواب ثاني لهالمسألة الصعبة.	maː ˈʕindiː jaˈwaːb ˈθaːniː lihaːlˈmasʔala sˤˈsˤɑʕba	I have no other answer to this hard problem.	jim;interdental;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;negation	ج→[j] جَوَاب→[jawaːb] (johnstone1967); ث retained [θ] ثَانِي (altaisan2022 Gulf interdental retention); ta marbuta الْمَسْأَلَة/الصَّعْبَة; hamza; emphatic ص
ar-SA-x-sharqiyya-004	اِشْتَرَيت خَمْس كِيلُوَات جِرِيش مِن الدُّكَّان.	اشتريت خمس كيلوات جريش من الدكان.	ʔiʃtaˈreːt ˈxams tʃiːluˈwaːt jiˈriːʃ min addukˈkaːn	I bought five kilos of crushed wheat from the shop.	jim;kaf;sun_assim;geminate;long_vowel;diphthong;number	كِيلُوَات→[tʃiːluwaːt] kaf affrication /k/→[tʃ] (altaisan2022; GULF_K_AFFRICATION); ج→[j] جِرِيش→[jiriːʃ]; geminate الدُّكَّان
ar-SA-x-sharqiyya-005	يَا وَلَد، رُوح جِيب الْجَاي حَقّ الْيَهَال.	يا ولد، روح جيب الجاي حق اليهال.	jaː ˈwalad ˈruːħ ˈjiːb alˈjaːj ˈħaɡɡ aljaˈhaːl	Boy, go bring the tea for the kids.	qaf;jim;pharyngeal;geminate;long_vowel;imperative	imperatives ruh/jib→[jiːb] (ج→[j]); الْجَاي→[aljaːj] tea; يَهَال 'kids' Gulf lexicon; hagg possessive; ǧīm→[j] lenition (Hasawi) per (altaisan2022)
ar-SA-x-sharqiyya-006	الْجَوّ فِي الْهَفُوف حَارّ وَاجِد فِي الصَّيْف.	الجو في الهفوف حار واجد في الصيف.	alˈjaww fiː lhaˈfuːf ˈħaːrr ˈwaːjid fiː sˤˈsˤeːf	The weather in Hofuf is very hot in summer.	jim;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ج→[j] الْجَوّ→[aljaww]; geminate جَوّ, حَارّ; الصَّيْف→[sˤsˤeːf] monophthong (Gulf ay→eː); Hofuf = al-Hasa capital; ǧīm→[j] lenition and Hasawi consonant system per (altaisan2022)
ar-SA-x-sharqiyya-007	الْيَوْم الْجَوّ بَارِد وَمَا فِيه مَطَر.	اليوم الجو بارد وما فيه مطر.	alˈjoːm alˈjaww ˈbaːrid wamaː ˈfiːh ˈmɑtˤɑr	The weather is cold today and there is no rain.	jim;emphatic;geminate;long_vowel;diphthong;statement;negation	الْيَوْم→[aljoːm] *aw→[oː] Gulf monophthong (altaisan2022); ج→[j] lenition + geminate الْجَوّ→[aljaww] (johnstone1967; holes2004); negation مَا فِيه; emphatic ط مَطَر
ar-SA-x-sharqiyya-008	بِكَم الْكِيلُو حَقّ السَّمَك؟ بِعَشَرَة.	بكم الكيلو حق السمك؟ بعشرة.	ˈbikam alˈtʃiːluː ˈħaɡɡ ˈassamak biˈʕaʃara	How much is a kilo of fish? Ten.	qaf;kaf;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;question;number	kaf-affrication /k/→[tʃ] الْكِيلُو→[altʃiːlu] (altaisan2022; johnstone1967); ق→[ɡ] geminate حَقّ→[ħaɡɡ]; sun assim ال+س السَّمَك; number بِعَشَرَة
ar-SA-x-sharqiyya-009	عِنْدِي مَوْعِد السَّاعَة خَمْسَة الْعَصِر.	عندي موعد الساعة خمسة العصر.	ˈʕindiː ˈmoːʕid asˈsaːʕa ˈxamsa ˈalʕɑsˤir	I have an appointment at five in the afternoon.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	*aw→[oː] مَوْعِد→[moːʕid] (altaisan2022); pharyngeal ع; sun assim ال+س السَّاعَة; number خَمْسَة; emphatic ص الْعَصِر
ar-SA-x-sharqiyya-010	أَهْلِي سَاكْنِين فِي الدَّمَّام مِن زَمَان.	أهلي ساكنين في الدمام من زمان.	ˈʔahliː saːkˈniːn fiː ddamˈmaːm min zaˈmaːn	My family has lived in Dammam for a long time.	kaf;hamza;sun_assim;geminate;long_vowel;statement	hamza أَهْلِي; sun assim + geminate ال+د الدَّمَّام→[addammaːm]; plain /k/ سَاكْنِين→[saːkniːn] (no front-vowel trigger for affrication; altaisan2022)
ar-SA-x-sharqiyya-011	رُوح سِيدَة وَعَقُب لِف يَمِين عِنْد الْمَسْجِد.	روح سيدة وعقب لف يمين عند المسجد.	ˈruːħ ˈsiːda ˈwaʕaɡub ˈlif jaˈmiːn ˈʕind alˈmasjid	Go straight, then turn right at the mosque.	qaf;jim;ta_marbuta;pharyngeal;long_vowel;imperative	imperatives رُوح/لِف; ق→[ɡ] عَقُب→[ʕaɡub] (Gulf ˈafter/then; johnstone1967); ج→[j] الْمَسْجِد→[almasjid]; ta marbuta سِيدَة
ar-SA-x-sharqiyya-012	الْغَدَا كَان لَذِيذ وَاجِد أَمْس.	الغدا كان لذيذ واجد أمس.	ˈalɣadaː ˈkaːn laˈðiːð ˈwaːjid ˈʔams	The lunch was very delicious yesterday.	jim;interdental;kaf;hamza;long_vowel;statement	past كَان; interdental ذ retained لَذِيذ→[laðiːð] (Gulf interdental retention; altaisan2022; johnstone1967); ج→[j] وَاجِد→[waːjid] ˈvery; plain /k/ كَان
