id	sentence	ipa	gloss_en	features	notes
gl-x-reintegrado-001	O céu nom está claro hoje.	o ˈθɛu ˈnom eˈsta ˈklaɾo ˈoʃe	The sky is not clear today.	distincion;open_mid;statement;negation	Reintegrationist spelling ⟨hoje⟩ with etymological ⟨j⟩ [ʃ] (Galician has no /ʒ/, so ⟨j⟩ is voiceless); distinción ⟨c⟩ [θ] 'céu'; open-mid [ɛ]. Word-final ⟨-m⟩ 'nom' surfaces [m] here — see the PR velar-nasal lead — per regueira1996.
gl-x-reintegrado-002	Estes çapatos custam quarenta euros.	ˈestes θaˈpatos ˈkustam kaˈɾenta ˈewɾos	These shoes cost forty euros.	distincion;sandhi;statement;number	⟨ç⟩ restored for /θ/ 'çapatos' [θapatos] — the reintegrationist grapheme the RAG norm lacks; phonology identical to standard Galician per regueira1996.
gl-x-reintegrado-003	A junta é manhá às tres.	a ˈʃunta ˈɛ maˈɲa ˈs ˈtɾes	The gathering is tomorrow at three.	palatal_nasal;open_mid;sandhi;statement;number	Etymological ⟨j⟩ [ʃ] 'junta'; palatal nasal ⟨nh⟩ [ɲ] 'manhá'; open-mid [ɛ] 'é' per regueira1996.
gl-x-reintegrado-004	Meu irmao vive perto da vila.	ˈmew ˈiɾmao ˈbibe ˈpeɾto da ˈbila	My brother lives near the town.	sandhi;statement	Reintegrationist ⟨irmao⟩; falling diphthong 'meu' [ew]; betacism ⟨v⟩=[b] 'vive' per regueira1996.
gl-x-reintegrado-005	Vai de fronte e torce pola primeira rua.	ˈbaj de ˈfɾonte e ˈtoɾθe ˈpɔla pɾiˈmejɾa ˈrwa	Go straight ahead and turn down the first street.	distincion;rhotic;sandhi;imperative	No Romance diphthongisation 'fronte'/'torce'; word-initial trill [r] 'rua'; distinción 'torce' [θ] per regueira1996.
gl-x-reintegrado-006	A caldeirada daquel sítio estava moi boa.	a kaldeˈjɾaða daˈkel ˈsitjo eˈstaba ˈmoj ˈboa	The fish stew at that place was very good.	sandhi;statement	Same phonology as the RAG norm under reintegrationist spelling; regional 'caldeirada'; hiatus sandhi per regueira1996.
gl-x-reintegrado-007	Onde está a chave do coche?	ˈonde eˈsta a ˈtʃabe do ˈkotʃe	Where is the car key?	sandhi;question	Affricate ⟨ch⟩ [tʃ] 'chave'/'coche'; hiatus 'está a' per regueira1996.
gl-x-reintegrado-008	Quantas pessoas colhem cerejas?	ˈkantas ˈpesoas ˈkoʎem θeˈɾeʃas	How many people are picking cherries?	distincion;lateral_palatal;question	Palatal lateral ⟨lh⟩ [ʎ] 'colhem' (the reintegrationist grapheme for /ʎ/, RAG ⟨ll⟩); distinción ⟨c⟩ [θ] 'cerejas' per regueira1996.
gl-x-reintegrado-009	Se eu podesse, mercaria aquela casa grande.	se ˈew poˈðese meˈɾkaɾja aˈkela ˈkasa ˈɡɾande	If I could, I would buy that big house.	sandhi;statement	Regional 'mercar'; betacism ⟨v⟩=[b]; hiatus 'se eu' per regueira1996.
gl-x-reintegrado-010	Onte merquei cinco quilos de cerejas na praça.	ˈonte ˈmeɾkej ˈθinko ˈkilos de θeˈɾeʃas na ˈpɾaθa	Yesterday I bought five kilos of cherries in the square.	distincion;sandhi;statement;number	Distinción ⟨c⟩ [θ] 'cinco'/'cerejas' with ⟨ç⟩ restored 'praça' [pɾaθa]; etymological ⟨j⟩ [ʃ] 'cerejas' per regueira1996.
gl-x-reintegrado-011	O ano que vem hei viajar a Compostela.	o ˈano ke ˈbem ˈej bjaˈʃaɾ a kompoˈstela	Next year I will travel to Compostela.	sandhi;statement	Etymological ⟨j⟩ [ʃ] 'viajar'; word-final ⟨-m⟩ 'vem' surfaces [m] (velar-nasal gap, see PR lead) per regueira1996.
gl-x-reintegrado-012	Chama-me quando chegues á casa.	ˈtʃama me ˈkando ˈtʃeɡes ˈa ˈkasa	Call me when you get home.	sandhi;imperative	Affricate ⟨ch⟩ [tʃ] 'chama'/'chegues'; enclitic 'chama-me' per regueira1996.
gl-x-reintegrado-013	Boas tardes, como che vai a vida?	ˈboas ˈtaɾdes ˈkomo tʃe ˈbaj a ˈbiða	Good afternoon, how is life treating you?	sandhi;question	Clitic ⟨ch⟩ [tʃ] 'che'; hiatus 'vai a' per regueira1996.
gl-x-reintegrado-014	Mais vale passaro na mao que cento voando.	majs ˈbale paˈsaɾo na ˈmao ke ˈθento ˈboando	A bird in the hand is worth two in the bush.	distincion;sandhi;statement	⟨ss⟩ [s] 'passaro' and distinción ⟨c⟩ [θ] 'cento'; reintegrationist ⟨mao⟩ per regueira1996.
gl-x-reintegrado-015	O cam gordo corre pola ribeira do rio.	o ˈkam ˈɡoɾdo ˈkɔre ˈpɔla riˈβejɾa do ˈrjo	The fat dog runs along the riverbank.	rhotic;statement	Word-initial and ⟨rr⟩ trill [r] 'corre'/'rio'; reintegrationist ⟨cam⟩ with final ⟨-m⟩ [m] (velar-nasal gap) per regueira1996.
gl-x-reintegrado-016	A mulher velha colhe a agulha amarela.	a muˈʎeɾ ˈbeʎa ˈkoʎe a ˈaɡʎa amaˈɾela	The old woman picks up the yellow needle.	lateral_palatal;sandhi;statement	Palatal lateral ⟨lh⟩ [ʎ] 'mulher'/'velha'/'colhe'/'agulha' — the reintegrationist digraph for /ʎ/ per regueira1996.
gl-x-reintegrado-017	O café da esquina é moi forte.	o kaˈfɛ da eˈskina ˈɛ ˈmoj ˈfoɾte	The coffee from the corner is very strong.	open_mid;sandhi;statement	Open-mid [ɛ] 'café'/'é'; hiatus 'esquina é' per regueira1996.
gl-x-reintegrado-018	A vinha da montanha dá bom vinho.	a ˈbiɲa da moˈntaɲa ˈda ˈbom ˈbiɲo	The vineyard on the mountain gives good wine.	palatal_nasal;statement	Palatal nasal ⟨nh⟩ [ɲ] 'vinha'/'montanha'/'vinho'; ⟨bom⟩ final ⟨-m⟩ [m] per regueira1996.
gl-x-reintegrado-019	Umha das mulheres colheu algumha flor.	ˈuma das muˈʎeɾes ˈkoʎew ˈalɡma ˈfloɾ	One of the women picked some flower.	lateral_palatal;sandhi;statement	Palatal lateral ⟨lh⟩ [ʎ] 'mulheres'/'colheu'; reintegrationist ⟨umha⟩/⟨algumha⟩ [uma]/[alɡma] per regueira1996.
gl-x-reintegrado-020	A praça da catedral tem doce colunas de pedra.	a ˈpɾaθa da kateˈdɾal ˈtem ˈdoθe koˈlunas de ˈpedɾa	The cathedral square has twelve columns of stone.	distincion;sandhi;statement;number	⟨ç⟩ [θ] 'praça' and ⟨c⟩ [θ] 'doce'; ⟨tem⟩ final ⟨-m⟩ [m] (velar-nasal gap, see PR lead) per regueira1996.
