id	sentence	ipa	gloss_en	features	notes
ext-001	Güei nu está bonu el tiempu.	ˈɡwei ˈnu eˈsta ˈbonu el ˈtjempu	Today the weather is not good.	diphthong_ie_ue;final_u;sandhi;statement;negation	Estremeñu 'güei' (today), tonic diphthong ie [je] in 'tiempu' and final -o>-u raising 'bonu'/'tiempu' per zamora_vicente1960; base phonology per penny2002.
ext-002	Estus zapatus custan cuarenta eurus.	ˈestuh saˈpatuh ˈkustan kwaˈɾenta ˈewɾuh	These shoes cost forty euros.	seseo;coda_s_aspiration;sandhi;statement;number	Seseo z>[s] in 'zapatus' and coda-/s/ aspiration [h] 'estus'/'zapatus' per zamora_vicente1960; /s/ weakening described in penny2002.
ext-003	La junta es manana a las tres.	la ˈxunta ˈeh maˈnana a lah ˈtɾeh	The meeting is tomorrow at three.	coda_s_aspiration;sandhi;statement;number	Coda /s/>[h] in 'es'/'las'/'tres' per zamora_vicente1960; velar [x] retained in 'junta' per alarcos_llorach1994.
ext-004	Mi familia vivi en un pueblu.	mi haˈmilja ˈbibi en un ˈpweblu	My family lives in a village.	diphthong_ie_ue;final_u;sandhi;statement	F->h aspiration 'familia' [haˈmilja], diphthong ue [we] in 'pueblu' and final -u 'pueblu' per zamora_vicente1960; F->h history per penny2002.
ext-005	Vaiti tou drechu hasta la ilesia.	ˈbajti ˈtou ˈdɾetʃu ˈasta la iˈlesja	Go straight to the church.	final_u;sandhi;imperative	Estremeñu imperative 'vaiti', 'drechu' (straight) with -CT->[tʃ] and final -u per zamora_vicente1960; 'hasta' with mute h per alarcos_llorach1994.
ext-006	Esti pan está mu güenu.	ˈesti ˈpan eˈsta ˈmu ˈɡwenu	This bread is very good.	final_u;statement	Reduced intensifier 'mu' (muy) and prosthetic güe- 'güenu' with final -u per zamora_vicente1960; register per penny2002.
ext-007	¿Andi está el mercau?	ˈandi eˈsta el ˈmeɾkaw	Where is the market?	sandhi;question	Estremeñu interrogative 'andi' (dónde) and final -o>-u with -d- loss 'mercau' per zamora_vicente1960; syncope per alarcos_llorach1994.
ext-008	¿Cuántus años tienis?	ˈkuantuh ˈaɲoh ˈtjenih	How old are you?	palatal_nasal;coda_s_aspiration;diphthong_ie_ue;sandhi;question;number	Palatal ñ>[ɲ] in 'años', diphthong ie in 'tienis', coda /s/>[h] per zamora_vicente1960; final -e>-i raising per penny2002.
ext-009	Si lluevi, mus quearemus en casa.	si ˈjwebi ˈmuh keaˈɾemuh en ˈkasa	If it rains, we will stay at home.	coda_s_aspiration;diphthong_ie_ue;sandhi;statement	Yeismo ll>[j] in 'lluevi', diphthong ue [we], coda /s/ aspiration 'mus'/'quearemus' per zamora_vicente1960; intervocalic -d- loss 'quearemus' per alarcos_llorach1994.
ext-010	Ayel mercé pan i quesu.	aˈʝel meˈɾse ˈpan ˈi ˈkesu	Yesterday I bought bread and cheese.	seseo;yeismo;final_u;statement	Yeismo prevocalic y>[ʝ] in 'ayel', seseo c>[s] in 'mercé' and final -u 'quesu' per zamora_vicente1960; conjunction 'i' per alarcos_llorach1994.
ext-011	Manana diremus pa la ciudá.	maˈnana diˈɾemuh ˈpa la sjuˈða	Tomorrow we will go to the city.	seseo;coda_s_aspiration;statement	Seseo c>[s] in 'ciudá' (with final -d loss), coda /s/>[h] in 'diremus' per zamora_vicente1960; syncope per penny2002.
ext-012	Llámami luegu, hombri.	ˈjamami ˈlweɣu ˈombɾi	Call me later, man.	diphthong_ie_ue;imperative	Imperative + enclitic 'llámami' (ll>[j]), diphthong ue [we] in 'luegu' and final -u per zamora_vicente1960; final -e>-i 'hombri' per penny2002.
ext-013	Buenas, ¿cómu estás?	ˈbwenah ˈkomu eˈstah	Hello, how are you?	coda_s_aspiration;diphthong_ie_ue;final_u;sandhi;question	Greeting 'buenas' (ue [we]), coda /s/>[h] 'buenas'/'estás', final -o>-u 'cómu' per zamora_vicente1960; vowel-junction 'cómu estás' per alarcos_llorach1994.
ext-014	Quien much abarca, poco aprieta.	ˈkjen ˈmutʃ aˈβaɾka ˈpoko aˈpɾjeta	Whoever grasps at too much loses it all.	diphthong_ie_ue;sandhi;statement	Proverb; diphthong ie in 'quien'/'aprieta' per zamora_vicente1960; elision 'much abarca'/'poco aprieta' per alarcos_llorach1994.
ext-015	El perru corri pola calli.	el ˈperu ˈkori ˈpola ˈkaji	The dog runs down the street.	final_u;rhotic;statement	Geminate rr>trill [r] in 'perru', final -o>-u 'perru' and yeismo ll>[j] 'calli' per zamora_vicente1960; trill per penny2002.
ext-016	La niña juega enel campu.	la ˈniɲa ˈxweɣa eˈnel ˈkampu	The girl plays in the field.	palatal_nasal;diphthong_ie_ue;final_u;sandhi;statement	Palatal ñ>[ɲ] 'niña', diphthong ue [we] in 'juega' ([x] jota) and final -u 'campu' per zamora_vicente1960; contraction 'enel' per alarcos_llorach1994.
ext-017	Los mirlus cantan pola manana.	loh ˈmiɾluh ˈkantan ˈpola maˈnana	The blackbirds sing in the morning.	coda_s_aspiration;sandhi;statement	Coda /s/>[h] in 'los'/'mirlus', final -o>-u 'mirlus' per zamora_vicente1960; contraction 'pola' (por la) per alarcos_llorach1994.
ext-018	Hizu un jelu mu grandi.	ˈisu un ˈxelu ˈmu ˈɡɾandi	It was very cold (lit. it made great ice).	seseo;final_u;sandhi;statement	Seseo z>[s] 'hizu' (mute h), velar [x] 'jelu', final -o>-u 'hizu'/'jelu' per zamora_vicente1960; junction 'hizu un' per penny2002.
ext-019	La sierra está mu hermosa.	la ˈsjera eˈsta ˈmu eˈɾmosa	The mountains are very beautiful.	diphthong_ie_ue;final_u;rhotic;statement	Diphthong ie [je] in 'sierra' with geminate rr>trill [r], F->h 'hermosa' per zamora_vicente1960; F->h history per penny2002.
ext-020	Esa muyer es la mi vecina.	ˈesa muˈʝeɾ ˈeh la mi beˈsina	That woman is my neighbour.	seseo;yeismo;coda_s_aspiration;sandhi;statement	Yeismo 'muyer' (y>[ʝ]), seseo c>[s] 'vecina', coda /s/>[h] 'es', double determiner 'la mi' per zamora_vicente1960; register per alarcos_llorach1994.
