id	sentence	ipa	gloss_en	features	notes
mcm-001	Yo ja bai eskola onti.	ˈjo ˈdʒa ˈbai eˈskola ˈonti	I went to school yesterday.	nasal_coda;prenasal_cluster;affricate;glide;statement	Perfective preverbal 'ja' [dʒa] retains the medieval affricate ⟨j⟩=[dʒ], not the modern fricative (baxter1988); 1sg pronoun 'yo' [jo] with glide onset (baxterdesilva2004).
mcm-002	Eli ta kumi aros ku pesi.	ˈeli ˈta ˈkumi ˈaros ˈku ˈpesi	He is eating rice and fish.	strong_rhotic;statement	Imperfective 'ta' + verb (baxter_apics); connective 'ku' 'and/with'; single rhotic /r/ [r] in 'aros' (baxter1988).
mcm-003	Nus logu bai preya amiang.	ˈnus ˈloɡu ˈbai ˈpreja ˈamiaŋ	We will go to the beach tomorrow.	nasal_coda;velar_nasal;strong_rhotic;glide;statement	Irrealis/future 'logu'; 'amiang' 'tomorrow' shows Portuguese nasal vowel denasalised to oral vowel + coda [ŋ] (amanhã>amiang) (baxter1988).
mcm-004	Bos sabe papia Kristang?	ˈbos ˈsabe ˈpapia ˈkristaŋ	Do you know how to speak Kristang?	nasal_coda;velar_nasal;strong_rhotic;question	2sg 'bos'; 'papia' 'to speak' < Pt papear; endonym 'Kristang' with denasalised final [ŋ] (baxterdesilva2004; baxter1988).
mcm-005	Ngua muleh bunitu ja chega.	ˈŋua ˈmule buˈnitu ˈdʒa ˈtʃeɡa	A beautiful woman has arrived.	affricate;velar_nasal;statement	Indefinite 'ngua' 'one/a' with syllabic word-initial nasal [ŋu] (baxter1988); ⟨ch⟩=[tʃ] retained affricate in 'chega' (baxter1988).
mcm-006	Olotu nteng dinyeru.	oˈlotu ˈnteŋ diˈɲeru	They have no money.	nasal_coda;prenasal_cluster;syllabic_nasal;palatal_nasal;velar_nasal;strong_rhotic;negation;statement	3pl 'olotu'; negative-existential 'nteng' [nteŋ] with syllabic onset nasal (baxter1988); ⟨ny⟩=[ɲ] palatal nasal in 'dinyeru' (baxterdesilva2004).
mcm-007	Yo kereh bebe agu.	ˈjo ˈkere ˈbebe ˈaɡu	I want to drink water.	strong_rhotic;glide;statement	'kereh' 'want' — final etymological /r/ has no [h]/fricative reflex, Kristang lacks /h/ (baxter1988); serial 'kereh bebe' (baxter_apics).
mcm-008	Eli ta fai sibrisu na Singapura.	ˈeli ˈta ˈfai siˈbrisu ˈna siŋaˈpura	He is/was working in Singapore.	velar_nasal;strong_rhotic;statement	Attested APiCS example: 'fai sibrisu' 'to work' (light verb 'fai' + 'sibrisu' < serviço), locative 'na' (baxter_apics; baxter1988).
mcm-009	Aké kachoru grandi ta ladra.	aˈke kaˈtʃoru ˈɡrandi ˈta ˈladra	That big dog is barking.	nasal_coda;prenasal_cluster;affricate;strong_rhotic;statement	Distal demonstrative 'aké'; ⟨ch⟩=[tʃ] in 'kachoru'; homorganic /nd/ cluster in 'grandi' (baxter1988).
mcm-010	Nus tudu ja kumi na kaza di eli.	ˈnus ˈtudu ˈdʒa ˈkumi ˈna ˈkaza ˈdi ˈeli	We all ate at his house.	affricate;statement	Quantifier 'tudu'; genitive analytic 'di eli' 'of him' (no Pt inflected possessive); 'ja' [dʒa] affricate (baxter1988).
mcm-011	Eli ja da yo dos figu.	ˈeli ˈdʒa ˈda ˈjo ˈdos ˈfiɡu	He gave me two children.	affricate;glide;number;statement	Unmarked object 'yo'; numeral 'dos' 'two'; 'figu' 'son/child' < filho with /ʎ/>/l/ then loss (baxter1988).
mcm-012	Bolotu ta kanta na igreza.	boˈlotu ˈta ˈkanta ˈna iˈɡreza	You (pl) are singing in the church.	nasal_coda;prenasal_cluster;strong_rhotic;statement	2pl 'bolotu'; homorganic /nt/ in 'kanta'; 'igreza' with voiced [z] (baxter1988).
mcm-013	Isti pesi sta muitu sabrozu.	ˈisti ˈpesi ˈsta muˈitu saˈbrozu	This fish is very tasty.	strong_rhotic;statement	Proximal 'isti'; predicate 'sta'; 'sabrozu' 'tasty' with intervocalic [z] (baxterdesilva2004; baxter1988).
mcm-014	Yo nadi bai amiang.	ˈjo ˈnadi ˈbai ˈamiaŋ	I will not go tomorrow.	nasal_coda;velar_nasal;glide;negation;statement	Negative-future 'nadi' (distinct from realis negator 'ngka'); denasalised coda [ŋ] in 'amiang' (baxter1988).
mcm-015	Ngua sen jenti ja bi festa.	ˈŋua ˈsen ˈdʒenti ˈdʒa ˈbi ˈfesta	A hundred people came to the party.	nasal_coda;prenasal_cluster;affricate;velar_nasal;number;statement	Numeral 'sen' 'hundred'; 'jenti' 'people' with ⟨j⟩=[dʒ]; motion verb 'bi' 'come' (baxter1988).
mcm-016	Sua pai ta fai sibrisu na kintal.	ˈsua ˈpai ˈta ˈfai siˈbrisu ˈna ˈkintal	His father works in the garden.	nasal_coda;prenasal_cluster;strong_rhotic;statement	Possessive 'sua'; 'kintal' 'yard/garden' < quintal with homorganic /nt/ cluster (baxter1988).
mcm-017	Nus ta papia ku sua irmang.	ˈnus ˈta ˈpapia ˈku ˈsua ˈirmaŋ	We are talking with his sister.	nasal_coda;velar_nasal;strong_rhotic;statement	'irmang' 'sibling' < irmã(o) with nasal vowel denasalised to coda [ŋ] (baxter1988).
mcm-018	Kambrang ku kanji teng na merkadu.	ˈkambraŋ ˈku ˈkandʒi ˈteŋ ˈna meˈrkadu	Prawns and rice-porridge are in the market.	nasal_coda;prenasal_cluster;affricate;velar_nasal;strong_rhotic;statement	Substrate/areal lexicon 'kambrang' 'prawn' and 'kanji' 'rice porridge' (< Tamil/Malay); homorganic /mb/ and /ndʒ/ clusters (baxterdesilva2004; baxter1988).
mcm-019	Eli ja piza na kaminyu.	ˈeli ˈdʒa ˈpiza ˈna kaˈmiɲu	He stepped on the road.	affricate;palatal_nasal;statement	'kaminyu' 'road' < caminho with ⟨ny⟩=[ɲ] palatal nasal (baxterdesilva2004; baxter1988).
mcm-020	Ngka eli ja fika na kaza.	ˈŋka ˈeli ˈdʒa ˈfika ˈna ˈkaza	He did not stay at home.	nasal_coda;prenasal_cluster;syllabic_nasal;affricate;velar_nasal;negation;statement	Attested APiCS negation: realis negator 'ngka' precedes the clause, syllabic onset nasal [ŋk] (baxter_apics; baxter1988).
