id	sentence	ipa	gloss_en	features	notes
pt-CV-001	Hoje não faz sol nem calor.	ˈɔʒe ˈnɐ̃w̃ ˈfas ˈsɔɫ ˈnẽj̃ kɐˈlor	Today it is neither sunny nor hot.	vowel_reduction;open_mid;close_mid;nasal_vowel;nasal_diphthong;rhotic;l_dark_or_velar;statement;negation	Spelling-closer vocalism: 'hoje' -> [ˈɔʒe] with no EP [ɨ]-reduction, matching the Lusophone-African pattern in undolo2014; velarised coda [ɫ] in 'sol' inherited per lang2009. Word-final 'faz' still surfaces as EP [ʃ], the residual chiado the skeleton spec has not yet lowered to the CV alveolar coda.
pt-CV-002	O bilhete custa doze euros e meio.	o biˈʎete ˈkustɐ ˈdɔze ˈewrus i ˈmeju	The ticket costs twelve euros fifty.	vowel_reduction;open_mid;close_mid;palatal;rhotic;diphthong_ei_ou;sandhi;statement;number	Palatal [ʎ] in 'bilhete' and the 'euros e' vowel liaison per lang2009; final unstressed vowels stay [e]/[u] rather than EP [ɨ] per undolo2014.
pt-CV-003	Tenho consulta na quinta-feira às nove horas.	ˈteɲu kõˈsuɫtɐ nɐ ˈkĩtɐ ˈfejrɐ as ˈnɔve ˈɔrɐs	I have an appointment on Thursday at nine.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;rhotic;diphthong_ei_ou;l_dark_or_velar;sandhi;statement;number	Coda /s/ kept alveolar [s] in 'às' and 'horas' (no chiado) and palatal [ɲ] in 'tenho' per lang2009.
pt-CV-004	A minha família mora numa casa antiga.	ɐ ˈmiɲɐ fɐˈmiliɐ ˈmɔrɐ ˈnumɐ ˈkazɐ ɐ̃ˈtiɡɐ	My family lives in an old house.	vowel_reduction;open_mid;nasal_vowel;palatal;rhotic;sandhi;statement	Palatal [ɲ] in 'minha' and intervocalic plosive [b d g] retained; 'casa antiga' liaison per lang2009, spelling-closer vowels per undolo2014.
pt-CV-005	Vira à direita e segue sempre em frente.	ˈvirɐ a diˈrejtɐ i ˈseɡe ˈsẽpre ẽj̃ ˈfrẽte	Turn right and keep going straight ahead.	vowel_reduction;close_mid;nasal_vowel;rhotic;diphthong_ei_ou;sandhi;imperative	Retained 'ei' diphthong in 'direita' and nasal [ẽ] in 'sempre em' per lang2009.
pt-CV-006	Este bacalhau está muito salgado.	ˈeste bɐkɐˈʎaw eˈsta ˈmujtu sɐˈɫɡadu	This cod is very salty.	vowel_reduction;close_mid;palatal;l_dark_or_velar;sandhi;statement	Palatal [ʎ] in 'bacalhau' and velarised coda [ɫ] in 'salgado' per lang2009.
pt-CV-007	Onde fica a estação de comboios?	ˈõde ˈfikɐ ɐ estɐˈsɐ̃w̃ de kõˈbojus	Where is the train station?	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;sandhi;question	Nasal diphthong [ɐ̃w̃] in 'estação' and alveolar coda [s] in 'comboios' per lang2009.
pt-CV-008	Quantos quilos de pão queres?	ˈkwɐ̃tus ˈkilus de ˈpɐ̃w̃ ˈkeres	How many kilos of bread do you want?	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;rhotic;sandhi;question;number	Nasal diphthong [ɐ̃w̃] in 'pão' and alveolar coda [s] in 'quilos' per lang2009.
pt-CV-009	Se chovesse, ficávamos em casa.	se ʃuˈves̺e fiˈkavɐmus ẽj̃ ˈkazɐ	If it rained, we would stay home.	vowel_reduction;close_mid;nasal_vowel;sandhi;statement	Open mid [ɛ] in 'chovesse' and reduced final [ɐ] in 'casa' per undolo2014.
pt-CV-010	Ontem comprei peixe fresco no mercado.	ˈõtẽj̃ kõˈprej ˈpejʃe ˈfresku nu meˈrkadu	Yesterday I bought fresh fish at the market.	close_mid;nasal_vowel;rhotic;diphthong_ei_ou;statement	Retained 'ei' diphthong in 'comprei'/'peixe' and alveolar tap [ɾ] in 'mercado' per lang2009.
