id	sentence	ipa	gloss_en	features	notes
es-MX-x-costa-001	Los pescados están bien frescos en el puerto.	loh peˈskaðoh eˈstaŋ ˈbjeŋ ˈfɾeskoh eŋ el ˈpweɾto	The fish are really fresh at the port.	coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Coastal aspiration: coda ⟨s⟩→[h] in 'pescados/frescos'; final ⟨n⟩→[ŋ] in 'están'. hualde2005
es-MX-x-costa-002	El chamaco se fue a nadar a la playa temprano.	el tʃaˈmako se ˈfwe a naˈðaɾ a la plaˈʝa teˈmpɾano	The kid went swimming at the beach early.	yeismo;diphthong_ie_ue;sandhi;statement	Jarocho 'chamaco' (kid); yeísmo in 'playa'→[ʝ]; aspirated coda /s/. lope_blanch1972
es-MX-x-costa-003	Vamos a bailar un son jarocho en la fiesta.	ˈbamoh a baˈjlaɾ uŋ ˈsoŋ xaˈɾotʃo eŋ la ˈfjesta	Let's dance a son jarocho at the party.	coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Veracruz 'son jarocho'; coda /s/ aspiration in 'vamos/fiesta'; seseo. hualde2005
es-MX-x-costa-004	Hace mucho calor aquí en la costa del golfo.	ˈaθe ˈmutʃo kaˈloɾ aˈki eŋ la ˈkosta del ˈɡolfo	It's very hot here on the Gulf coast.	distincion;velar_nasal;sandhi;statement	Coastal register; /x/→[h] tendency; seseo in 'hace'; final ⟨n⟩ velarisation. penny2002
es-MX-x-costa-005	Los mariscos están carísimos este mes.	loh maˈɾiskoh eˈstaŋ kaˈɾisimoh ˈeste ˈmeh	The seafood is really expensive this month.	coda_s_aspiration;velar_nasal;sandhi;statement	Coda ⟨s⟩→[h] in 'mariscos/están'; final ⟨n⟩→[ŋ]; seseo baseline. hualde2005
es-MX-x-costa-006	¿Qué pasó, cómo estás, mi hermano?	ˈke paˈso ˈkomo eˈstah mi eˈɾmano	What's up, how are you, my brother?	coda_s_aspiration;sandhi;question	Coda /s/ aspiration in 'pasó? estás'; jarocho address 'mi hermano'. lope_blanch1972
es-MX-x-costa-007	El pescador salió al mar antes del amanecer.	el peskaˈðoɾ saˈlio al ˈmaɾ ˈanteh del amaneˈθeɾ	The fisherman went out to sea before dawn.	distincion;coda_s_aspiration;sandhi;statement	Coda ⟨s⟩→[h] in 'pescador'; trill [r] in 'mar'; seseo baseline. hualde2005
es-MX-x-costa-008	No seas malo y tráeme unas empanadas de camarón.	ˈno ˈseah ˈmalo i ˈtɾaeme unah empaˈnaðah de kamaˈɾoŋ	Don't be mean and bring me some shrimp turnovers.	coda_s_aspiration;velar_nasal;sandhi;negation	Coda /s/ aspiration in 'seas/unas'; final ⟨n⟩→[ŋ] in 'camarón'. lope_blanch1972
es-MX-x-costa-009	La lluvia cayó fuerte toda la tarde en el trópico.	la ˈʝuβja kaˈʝo ˈfweɾte ˈtoða la ˈtaɾde eŋ el ˈtɾopiko	The rain fell hard all afternoon in the tropics.	yeismo;diphthong_ie_ue;velar_nasal;sandhi;statement	Yeísmo in 'lluvia'→[ʝ]; diphthong ⟨ue⟩→[we] in 'fuerte'; coda /s/. hualde2005
es-MX-x-costa-010	Los muchachos juegan futbol en la calle caliente.	loh muˈtʃatʃoh ˈxweɣaŋ fuˈtbol eŋ la ˈkaʝe kaˈljente	The boys play football on the hot street.	yeismo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Coda ⟨s⟩→[h] in 'muchachos'; yeísmo in 'calle'→[ʝ]; palatal [tʃ]. hualde2005
es-MX-x-costa-011	Dame un café bien cargado, que tengo sueño.	ˈdame uŋ kaˈfe ˈbjeŋ kaˈɾɡaðo ke ˈtenɡo ˈsweɲo	Give me a strong coffee, I'm sleepy.	palatal_nasal;diphthong_ie_ue;velar_nasal;sandhi;imperative	Coastal /d/ lenition; seseo in 'cargado? café'; diphthong ⟨ue⟩→[we] in 'sueño'. penny2002
es-MX-x-costa-012	Esos plátanos machos se fríen con sal.	ˈesoh ˈplatanoh ˈmatʃoh se ˈfɾieŋ koŋ ˈsal	Those plantains are fried with salt.	coda_s_aspiration;velar_nasal;sandhi;statement	Coda /s/ aspiration in 'esos/machos'; palatal nasal absent — seseo baseline. hualde2005
es-MX-x-costa-013	Mi abuela vende dulces de coco en el malecón.	mi aˈβwela ˈbende ˈdulθeh de ˈkoko eŋ el maleˈkoŋ	My grandmother sells coconut sweets on the seafront.	distincion;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Seseo in 'dulces/coco'; final ⟨n⟩→[ŋ] in 'malecón'; coda /s/ aspiration. lope_blanch1972
es-MX-x-costa-014	¿Ya viste cómo está de bravo el mar hoy?	ˈʝa ˈbiste ˈkomo eˈsta de ˈbɾaβo el ˈmaɾ ˈoi	Did you see how rough the sea is today?	yeismo;sandhi;question	Coda /s/ aspiration in 'viste/está'; coastal 'bravo' (rough, of the sea). hualde2005
es-MX-x-costa-015	Nos echamos un chapuzón antes de comer.	noh eˈtʃamoh uŋ tʃapuˈsoŋ ˈanteh de koˈmeɾ	Let's take a dip before eating.	seseo;coda_s_aspiration;velar_nasal;sandhi;statement	Coda ⟨s⟩→[h] in 'nos/antes'; palatal [tʃ] in 'chapuzón'; seseo. penny2002
es-MX-x-costa-016	Los jarochos bailan hasta que sale el sol.	loh xaˈɾotʃoh ˈbajlaŋ ˈasta ke ˈsale el ˈsol	The jarochos dance until the sun comes up.	coda_s_aspiration;velar_nasal;sandhi;statement	Coastal 'jarocho' (Veracruz native); coda /s/→[h] in 'los jarochos/hasta'; /x/→[h]. hualde2005
es-MX-x-costa-017	El camarón está fresco, recién sacado del río.	el kamaˈɾoŋ eˈsta ˈfɾesko reˈθieŋ saˈkaðo del ˈrio	The shrimp is fresh, just pulled from the river.	distincion;velar_nasal;rhotic;statement	Final ⟨n⟩→[ŋ] in 'camarón'; coda /s/→[h] in 'está/fresco'; /d/ lenition in 'sacado'. lope_blanch1972
