id	sentence	ipa	gloss_en	features	notes
es-BO-001	La wawa duerme mientras su mamá teje una chompa.	ˈla ˈwawa ˈdweɾme ˈmjentɾas ˈsu maˈma ˈtexe ˈuna ˈtʃompa	The baby sleeps while her mother knits a sweater.	diphthong_ie_ue;final_u;sandhi;statement	tonic Ĕ>ie / Ō>ue diphthong [je we]; final [u]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-002	En el altiplano hace mucho frío por las noches.	ˈen ˈel altiˈplano ˈase ˈmutʃo ˈfɾio ˈpoɾ ˈlas ˈnotʃes	On the altiplano it is very cold at night.	seseo;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-003	Mi abuela cocina chuño con queso y ají.	ˈmi aˈβwela koˈsina ˈtʃuɲo ˈkon ˈkeso ˈi aˈxi	My grandmother cooks chuño with cheese and chilli.	seseo;palatal_nasal;diphthong_ie_ue;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; palatal nasal ⟨ñ⟩ [ɲ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-004	Los cholos venden naranjas en la esquina.	ˈlos ˈtʃolos ˈbenden naˈɾanxas ˈen ˈla eˈskina	The cholos sell oranges on the corner.	sandhi;statement	cross-word sandhi elision; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-005	El niño lleva su mochila llena de cuadernos.	ˈel ˈniɲo ˈʝeba ˈsu moˈtʃila ˈʝena ˈde kwaˈðeɾnos	The boy carries his backpack full of notebooks.	yeismo;palatal_nasal;palatal_initial;final_u;statement	yeísmo ⟨ll/y⟩ to [ʝ]; word-initial ⟨ll⟩ [ʝ]; palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-006	Vamos a la fiesta de la Virgen en el pueblo.	ˈbamos ˈa ˈla ˈfjesta ˈde ˈla ˈbiɾxen ˈen ˈel ˈpweblo	We are going to the Virgin's feast in the town.	diphthong_ie_ue;sandhi;imperative	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-007	Ese caballo corre rápido por el cerro.	ˈese kaˈβaʝo ˈkore ˈrapiðo ˈpoɾ ˈel ˈsero	That horse runs fast across the hill.	seseo;yeismo;rhotic;statement	seseo merges ⟨c/z⟩ to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; trill [r]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-008	Compré cinco panes y una botella de api.	koˈmpɾe ˈsinko ˈpanes ˈi ˈuna boˈteʝa ˈde ˈapi	I bought five loaves and a bottle of api.	seseo;yeismo;sandhi;number	seseo merges ⟨c/z⟩ to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-009	La lluvia moja las calles de la ciudad.	ˈla ˈʝubja ˈmoxa ˈlas ˈkaʝes ˈde ˈla sjuˈðað	The rain soaks the city streets.	seseo;yeismo;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-010	Nosotros comemos silpancho con arroz y papas.	noˈsotɾos koˈmemos siˈlpantʃo ˈkon aˈros ˈi ˈpapas	We eat silpancho with rice and potatoes.	seseo;rhotic;statement	seseo merges ⟨c/z⟩ to [s]; trill [r]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-011	¿Vos sabes dónde queda la plaza principal?	ˈbos ˈsaβes ˈdonde ˈkeða ˈla ˈplasa pɾinsiˈpal	Do you know where the main square is?	seseo;sandhi;question	seseo merges ⟨c/z⟩ to [s]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-012	El río baja turbio después de la tormenta.	ˈel ˈrio ˈbaxa ˈtuɾbjo deˈspues ˈde ˈla toˈɾmenta	The river runs muddy after the storm.	rhotic;sandhi;statement	trill [r]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-013	Mi hermano estudia ingeniería en la universidad.	ˈmi eˈɾmano eˈstuðja inxenjeˈɾia ˈen ˈla unibeɾsiˈðað	My brother studies engineering at the university.	diphthong_ie_ue;sandhi;statement	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-014	La señora teje una manta de lana de llama.	ˈla seˈɲoɾa ˈtexe ˈuna ˈmanta ˈde ˈlana ˈde ˈʝama	The lady weaves a blanket of llama wool.	yeismo;palatal_nasal;palatal_initial;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; word-initial ⟨ll⟩ [ʝ]; palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-015	Prende la radio, quiero escuchar la cueca.	ˈpɾende ˈla ˈraðjo ˈkjeɾo eskuˈtʃaɾ ˈla ˈkweka	Turn on the radio, I want to listen to the cueca.	diphthong_ie_ue;rhotic;sandhi;imperative	tonic Ĕ>ie / Ō>ue diphthong [je we]; trill [r]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-016	Aquel cerro tiene nieve durante el invierno.	aˈkel ˈsero ˈtjene ˈnjebe duˈɾante ˈel iˈnbjeɾno	That hill has snow during the winter.	seseo;diphthong_ie_ue;rhotic;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; tonic Ĕ>ie / Ō>ue diphthong [je we]; trill [r]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-017	Los turistas suben al mirador cada mañana.	ˈlos tuˈɾistas ˈsuβen ˈal miɾaˈðoɾ ˈkaða maˈɲana	The tourists climb to the lookout every morning.	palatal_nasal;statement	palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-018	Hierve el agua antes de tomar el mate.	ˈjeɾbe ˈel ˈaɡa ˈantes ˈde toˈmaɾ ˈel ˈmate	Boil the water before drinking the mate.	diphthong_ie_ue;sandhi;imperative	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-019	El zorro se escondió detrás de la peña.	ˈel ˈsoro ˈse eskoˈndio deˈtɾas ˈde ˈla ˈpeɲa	The fox hid behind the crag.	seseo;palatal_nasal;rhotic;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; palatal nasal ⟨ñ⟩ [ɲ]; trill [r]; coda /s/ retained as [s] per hualde2005 / lipski1994.
es-BO-020	Trae leña seca para encender el fuego.	ˈtɾae ˈleɲa ˈseka ˈpaɾa enseˈndeɾ ˈel ˈfweɣo	Bring dry firewood to light the fire.	seseo;palatal_nasal;diphthong_ie_ue;sandhi;imperative	seseo merges ⟨c/z⟩ to [s]; palatal nasal ⟨ñ⟩ [ɲ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per hualde2005 / lipski1994.
