id	sentence	raw	ipa	gloss_en	features	notes
ar-x-gulf-001	شْلُون حَالَك الْيَوم؟ عَسَاك زَين.	شلون حالك اليوم؟ عساك زين.	ˈʃluːn ˈħaːlak alˈjoːm ʕaˈsaːk ˈzeːn	How are you today? Hope you are well.	kaf;pharyngeal;long_vowel;diphthong;question	pan-Gulf šlon 'how' + zēn 'good'; the node surfaces rank-1 ē monophthong (al-yōm) — Gulf ay/aw→eː/oː (szreder_derrick2023)
ar-x-gulf-002	الْيَوم حَرّ وَايِد وَالرُّطُوبَة عَالْيَة.	اليوم حر وايد والرطوبة عالية.	alˈjoːm ˈħarr ˈwaːjid warruˈtˤuːba ˈʕaːlja	Today it is very hot and the humidity is high.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	pan-Gulf wāyid 'very'; sun assimilation ar-r written; geminate رّ
ar-x-gulf-003	مَا أَبِي قَهْوَة، أَبِي چَاي.	ما أبي قهوة، أبي چاي.	ˈmaː ˈʔabiː ˈɡahwa ˈʔabiː ˈtʃaːj	I don't want coffee, I want tea.	qaf;hamza;ta_marbuta;long_vowel;negation	pan-Gulf abī 'I want'; ق→ɡ (gahwa) and چ→tʃ affrication are node rank-1 reflexes (alshammari2026; szreder_derrick2023)
ar-x-gulf-004	اِشْتَرَيت ثَلَاث سِمْچَات مِن السُّوق بِخَمْسِين.	اشتريت ثلاث سمچات من السوق بخمسين.	ʔiʃtaˈreːt θaˈlaːθ simˈtʃaːt ˈmin asˈsuːɡ bixamˈsiːn	I bought three fish from the market for fifty.	qaf;interdental;sun_assim;geminate;long_vowel;diphthong;statement;number	interdental ث retained /θ/ and kaf-affrication (simač) are node rank-1 (alshammari2026); ق→ɡ (sūg)
ar-x-gulf-005	هَاذَا الرَّيَّال يِدَوِّر شُغُل.	هاذا الريال يدور شغل.	ˈhaːðaː rrajˈjaːl jiˈdawwir ˈʃuɣul	This man is looking for work.	interdental;sun_assim;geminate;long_vowel;diphthong;statement	pan-Gulf rayyāl 'man'; ذ retained /ð/ in hāða is the node's fricative-first interdental (szreder_derrick2023); geminates يّ وّ
ar-x-gulf-006	يَلَّا رُوح جِيب الْغَرَض مِن السَّيَّارَة.	يلا روح جيب الغرض من السيارة.	ˈjallaː ˈruːħ ˈdʒiːb ˈalɣarɑdˤ ˈmin assajˈjaːra	Come on, go get the thing from the car.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;imperative	Gulf imperatives rūḥ/jīb; ǧīm surfaces node rank-1 /dʒ/ (Emirati yodization jīb→yīb is the documented leaf variant, szreder_derrick2023)
ar-x-gulf-007	الْيَوم مُو حَرّ وَالسَّمَا مِغَيِّمَة.	اليوم مو حر والسما مغيمة.	alˈjoːm ˈmuː ˈħarr ˈwassamaː miˈɣajjima	Today it is not hot and the sky is cloudy.	ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	pan-Gulf negator mū; ta_marbuta; geminate يّ in mghayyima
ar-x-gulf-008	بِكَم الْكِيلُو؟ بِخَمْسَة وَنُصّ.	بكم الكيلو؟ بخمسة ونص.	ˈbikam alˈtʃiːluː biˈxamsa waˈnusˤsˤ	How much is the kilo? Five and a half.	kaf;ta_marbuta;emphatic;long_vowel;question;number	bikam question frame; geminate صّ; emphatic ص
ar-x-gulf-009	الْمَوْعِد السَّاعَة ثَلَاثَة وَنُصّ الْعَصِر.	الموعد الساعة ثلاثة ونص العصر.	alˈmoːʕid asˈsaːʕa θaˈlaːθa waˈnusˤsˤ ˈalʕɑsˤir	The appointment is at half past three in the afternoon.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	interdental ث retained; sun assimilation as-s; emphatic ص in ʕaṣr
ar-x-gulf-010	أَخُوي الْكِبِير سَاكِن فِي الْمَدِينَة.	أخوي الكبير ساكن في المدينة.	ʔaˈxuːj altʃiˈbiːr ˈsaːtʃin ˈfiː lmaˈdiːna	My elder brother lives in the city.	kaf;hamza;ta_marbuta;long_vowel;statement	pan-Gulf axūy 'my brother'; long vowels; ذ absent here
ar-x-gulf-011	سِير سِيدَة وَبَعْدَين لِفّ يَمِين.	سير سيدة وبعدين لف يمين.	ˈsiːr ˈsiːda wabaʕˈdeːn ˈliff jaˈmiːn	Go straight ahead and then turn right.	ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;imperative	pan-Gulf sīda 'straight' + baʕdēn with node ē monophthong (szreder_derrick2023); geminate فّ; imperative
ar-x-gulf-012	الْأَكِل كَان زَين بَسّ الشُّورْبَة كَانَت بَارْدَة.	الأكل كان زين بس الشوربة كانت باردة.	ˈalʔatʃil ˈkaːn ˈzeːn ˈbass aʃˈʃuːrba ˈkaːnat ˈbaːrda	The food was good but the soup was cold.	kaf;hamza;ta_marbuta;sun_assim;geminate;long_vowel;diphthong;statement	pan-Gulf zēn evaluation; geminate سّ (bass); sun assimilation aš-š
ar-x-gulf-013	وِين حَطَّيت الْمِفْتَاح؟ مَا أَلْقَاه.	وين حطيت المفتاح؟ ما ألقاه.	ˈwiːn ħɑtˤˈtˤeːt almifˈtaːħ ˈmaː ʔalˈɡaːh	Where did you put the key? I can't find it.	qaf;hamza;emphatic;pharyngeal;long_vowel;diphthong;question;negation	pan-Gulf wēn 'where'; geminate طّ; negation mā; emphatic ط
ar-x-gulf-014	كَم وَاحِد يَا أَمِس؟	كم واحد يا أمس؟	ˈkam ˈwaːħid ˈjaː ˈʔamis	How many came yesterday?	kaf;hamza;pharyngeal;long_vowel;question;number	pan-Gulf ams 'yesterday'; kam + number question; ǧīm /dʒ/ (yā)
ar-x-gulf-015	إِذَا يِيت بَدْرِي نْرُوح سَوَا.	إذا ييت بدري نروح سوا.	ˈʔiðaː ˈjijt ˈbadriː ˈnruːħ ˈsawaː	If you come early we go together.	interdental;hamza;pharyngeal;long_vowel;diphthong;statement	conditional iða; pan-Gulf sawa 'together'; long vowels
