id	sentence	ipa	gloss_en	features	notes
ca-x-medieval-001	Lo cel no és clar en aquest jorn.	lo ˈsɛl ˈnɔ ˈes ˈklaɾ en aˈkɛsd ˈdʒɔrn	The sky is not clear on this day.	open_mid;sibilant_voicing;rhotic;sandhi	Old Catalan article ⟨lo⟩ [lɔ] and open-mid ⟨e/o⟩ [ˈsɛl],[ˈnɔ] per moll1952; voiced affricate ⟨j⟩ [dʒ] 'jorn' and final-⟨r⟩ retention 'clar' per rasico1982.
ca-x-medieval-002	Null hom no pot dir ço que sent al cor.	ˈnuʎ ˈɔm ˈnɔ ˈpɔd ˈdiɾ ˈsɔ ke ˈsɛnt al ˈkɔɾ	No man can say what he feels in his heart.	lateral_palatal;open_mid	Archaic 'null hom' (no man) and ⟨ç⟩ [s] 'ço' per moll1952; palatal lateral ⟨ll⟩ [ʎ] 'null' and open-mid vowels per rasico1982.
ca-x-medieval-003	Moltes gents vengueren a la ciutat.	ˈmɔltez ˈðʒɛnz veˈŋɡɛɾen a la siˈwtat	Many people came to the city.	open_mid;velar_nasal;sibilant_voicing;sandhi	Preterite 'vengueren' and plural 'gents' per moll1952; voiced ⟨g⟩ affricate [dʒ] 'gents', velar nasal [ŋ] 'vengueren' and final ⟨s⟩ voiced [z] (sandhi) per rasico1982.
ca-x-medieval-004	Lo rei manà bastir un gran palau.	lo ˈrɛj maˈna βaˈstiɾ un ˈɡɾan paˈlaw	The king ordered a great palace to be built.	open_mid;rhotic	Article ⟨lo⟩ and infinitive 'bastir' per moll1952; open-mid [ˈrɛj],[ˈɡɾan] and tap/trill contrast per rasico1982.
ca-x-medieval-005	Aytal cosa no és bona ne profitosa.	aˈtal ˈkɔza ˈnɔ ˈez ˈβɔna ne pɾofiˈtɔza	Such a thing is neither good nor profitable.	open_mid;sibilant_voicing;sandhi	Archaic 'aytal' (such) and conjunction 'ne' (nor) per moll1952; open-mid ⟨o⟩ [ˈkɔza],[ˈβɔna] and final ⟨s⟩ voiced [z] 'és bona' (sandhi) per rasico1982.
ca-x-medieval-006	La dona plorava sobre lo lit.	la ˈðɔna ploˈɾava ˈsɔβɾe lo ˈlit	The woman was weeping over the bed.	open_mid	Article ⟨lo⟩ [lɔ] and phonemic ⟨v⟩ [v] 'plorava' per moll1952; open-mid ⟨o⟩ [ˈðɔna],[ˈsɔβɾe] per rasico1982.
ca-x-medieval-007	Aquell cavaller amava una donzella.	aˈkɛʎ kavaˈʎɛɾ aˈmava una ðoˈnzɛʎa	That knight loved a maiden.	lateral_palatal;open_mid;sibilant_voicing;sandhi	Old lexicon 'cavaller','donzella' and voiced affricate ⟨z⟩ 'donzella' per moll1952; palatal lateral ⟨ll⟩ [ʎ] 'cavaller','donzella' and phonemic ⟨v⟩ [v] 'amava' per rasico1982.
ca-x-medieval-008	Lo savi hom parla ab gran seny.	lo ˈsavi ˈɔm ˈparla ˈab ˈɡɾan ˈsɛɲ	The wise man speaks with great sense.	palatal_nasal;open_mid;rhotic;sandhi	Preposition 'ab' (with) and 'seny' (sense) per moll1952; palatal nasal ⟨ny⟩ [ɲ] 'seny' and open-mid [ˈɔm],[ˈsɛɲ] per rasico1982.
ca-x-medieval-009	Les naus partiren del port a l'alba.	lez ˈnaws paˈrtiɾen del ˈpɔrt a ˈlalβa	The ships left the port at dawn.	open_mid;sibilant_voicing;rhotic;sandhi	Plural 'les naus' and 'a l'alba' per moll1952; preterite 'partiren', open-mid [ˈpɔrt] and final ⟨s⟩ voiced [z] 'les naus' (sandhi) per rasico1982.
ca-x-medieval-010	Molts jorns passaren ans que tornàs.	ˈmɔlz ˈðʒɔrns paˈsaɾen ˈans ke toˈrnas	Many days passed before he returned.	open_mid;sibilant_voicing;rhotic;sandhi	Preterite 'passaren' and imperfect subjunctive 'tornàs' per moll1952; open-mid ⟨o⟩ [ˈmɔlz],[ˈðʒɔrns] with voiced affricate [dʒ] 'jorns' per rasico1982.
ca-x-medieval-011	Lo senyor donà terres e viles als seus.	lo seˈɲɔɾ ðoˈna ˈtɛrez ˈɛ ˈvilez als ˈsɛws	The lord gave lands and villages to his people.	palatal_nasal;open_mid;sibilant_voicing;rhotic;sandhi	Article ⟨lo⟩, conjunction 'e' (and) and 'viles' per moll1952; palatal nasal ⟨ny⟩ [ɲ] 'senyor' and final ⟨s⟩ voiced [z] 'terres','viles' (sandhi) per rasico1982.
