id	sentence	ipa	gloss_en	features	notes
eu-001	Sagarra gozoa da eta ederra.	s̺aɡara ɡos̻oa da eta edera	The apple is sweet and beautiful.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_sibilant_laminal;statement	Apico-alveolar ⟨s⟩ [s̺] 'sagarra' and trill ⟨rr⟩ [r] per hualde_ortiz_de_urbina2003; the apical/laminal sibilant contrast per ladefoged_maddieson1996.
eu-002	Zazpi katu zuri ikusi ditut.	s̻as̻pi katu s̻uɾi ikus̺i ditut	I have seen seven white cats.	seseo;final_u;sandhi;eu_sibilant_apical;eu_sibilant_laminal;statement;number	Lamino-alveolar ⟨z⟩ [s̻] 'zazpi', 'zuri' — the Batua three-way coronal system per hualde_ortiz_de_urbina2003.
eu-003	Hotza da gaur mendian.	ots̻a da ɡauɾ mendian	It is cold today in the mountain.	seseo;eu_affricate_laminal;statement	Lamino-alveolar affricate ⟨tz⟩ [ts̻] 'hotza' and laryngeal ⟨h⟩ [h] per hualde2018_aspiration.
eu-004	Txakur txikiak etxean daude.	tʃakuɾ tʃikiak etʃean daude	The small dogs are in the house.	eu_affricate_postalveolar;statement	Post-alveolar affricate ⟨tx⟩ [tʃ] 'txakur', 'etxean' per hualde_ortiz_de_urbina2003.
eu-005	Ur hotza edaten dut egunero.	uɾ ots̻a edaten dut eɡuneɾo	I drink cold water every day.	seseo;sandhi;eu_affricate_laminal;statement	Laryngeal ⟨h⟩ [h] and ⟨tz⟩ [ts̻] 'hotza', with a vowel-junction sandhi 'hotza edaten' per hualde2018_aspiration.
eu-006	Itsaso urdina zabala da.	its̺as̺o uɾdina s̻abala da	The blue sea is wide.	seseo;sandhi;eu_sibilant_apical;eu_sibilant_laminal;eu_affricate_apical;statement	Apico-alveolar affricate ⟨ts⟩ [ts̺] 'itsaso' vs laminal ⟨z⟩ [s̻] 'zabala' per hualde_ortiz_de_urbina2003.
eu-007	Ollarra goizean kantari ari da.	oʎara ɡois̻ean kantaɾi aɾi da	The rooster is singing in the morning.	seseo;lateral_palatal;rhotic;sandhi;eu_sibilant_laminal;statement	Palatal lateral ⟨ll⟩ [ʎ] 'ollarra' and trill ⟨rr⟩ [r] per hualde_ortiz_de_urbina2003.
eu-008	Gaixoa naiz, minez nago.	ɡaiʃoa nais̻ mines̻ naɡo	I am sick, I am in pain.	seseo;eu_sibilant_laminal;eu_sibilant_postalveolar;statement	Post-alveolar ⟨x⟩ [ʃ] 'gaixoa' and laminal ⟨z⟩ [s̻] 'minez' per hualde_ortiz_de_urbina2003.
eu-009	Bihotza taupaka ari zait.	biots̻a taupaka aɾi s̻ait	My heart is pounding.	seseo;sandhi;eu_sibilant_laminal;eu_affricate_laminal;statement	Laryngeal ⟨h⟩ [h] 'bihotza' and ⟨tz⟩ [ts̻] per hualde2018_aspiration.
eu-010	Andereñoak liburua eman dit.	andeɾeɲoak libuɾua eman dit	The teacher gave me the book.	palatal_nasal;sandhi;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'andereñoak' per hualde_ortiz_de_urbina2003; vowel-junction 'liburua eman'.
eu-011	Onddo eder bat aurkitu dugu basoan.	onɟo edeɾ bat auɾkitu duɡu bas̺oan	We found a fine mushroom in the forest.	final_u;sandhi;eu_sibilant_apical;eu_palatal_stop;statement	Palatal plosive ⟨dd⟩ [ɟ] 'onddo' per hualde_lujanbio_zubiri2010.
eu-012	Ttantta bat erori da lurrera.	canca bat eɾoɾi da lureɾa	A drop has fallen to the ground.	rhotic;eu_palatal_stop;statement	Palatal plosive ⟨tt⟩ [c] 'ttantta' and trill ⟨rr⟩ [r] 'lurrera' per hualde_lujanbio_zubiri2010.
eu-013	Xagu txiki bat korrika doa.	ʃaɡu tʃiki bat korika doa	A little mouse runs by.	rhotic;eu_sibilant_postalveolar;eu_affricate_postalveolar;statement	Post-alveolar ⟨x⟩ [ʃ] 'xagu', ⟨tx⟩ [tʃ] 'txiki' and trill 'korrika' per hualde_ortiz_de_urbina2003.
eu-014	Eskua garbitu behar duzu.	es̺kua ɡaɾbitu beaɾ dus̻u	You must wash your hand.	seseo;final_u;eu_sibilant_apical;eu_sibilant_laminal;statement	Apical ⟨s⟩ [s̺] 'eskua' and laryngeal ⟨h⟩ [h] 'behar' per hualde2018_aspiration.
eu-015	Hitz egin dezagun elkarrekin.	its̻ eɡin des̻aɡun elkarekin	Let us speak together.	seseo;rhotic;eu_sibilant_laminal;eu_affricate_laminal;imperative	Laryngeal ⟨h⟩ [h] 'hitz', apical affricate ⟨ts⟩ [ts̺] 'hitz' → [hits̺] per hualde2018_aspiration.
eu-016	Gatza eta piperra mahaian daude.	ɡats̻a eta pipera maaian daude	The salt and pepper are on the table.	seseo;rhotic;sandhi;eu_affricate_laminal;statement	Laminal affricate ⟨tz⟩ [ts̻] 'gatza', trill 'piperra' and ⟨h⟩ [h] 'mahaian' per hualde_ortiz_de_urbina2003.
eu-017	Zuhaitz handiak hostoak galtzen ditu.	s̻uaits̻ andiak os̺toak ɡalts̻en ditu	The big tree is losing its leaves.	seseo;final_u;eu_sibilant_apical;eu_sibilant_laminal;eu_affricate_laminal;statement	Laryngeal ⟨h⟩ [h] 'zuhaitz', 'handiak' and ⟨tz⟩ [ts̻] 'galtzen' per hualde2018_aspiration.
eu-018	Neska eta mutila elkarrekin dabiltza.	nes̺ka eta mutila elkarekin dabilts̻a	The girl and the boy walk together.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_affricate_laminal;statement	Apical ⟨s⟩ [s̺] 'neska' and laminal affricate ⟨tz⟩ [ts̻] 'dabiltza' per hualde_ortiz_de_urbina2003.
eu-019	Gaztelua muinoaren gainean dago.	ɡas̻telua muinoaɾen ɡainean daɡo	The castle stands on the hill.	seseo;eu_sibilant_laminal;statement	Laminal ⟨z⟩ [s̻] 'gaztelua' per hualde_ortiz_de_urbina2003; coverage of the atonic-vowel profile per hualde_lujanbio_zubiri2010.
