id	sentence	ipa	gloss_en	features	notes
eu-x-nafarra-beherea-001	Jin da gure laguna herrirat.	jin da ɡuɾe laɡuna heriɾat	Our friend has come to the village.	gheada;rhotic;eu_aspiration;statement	Low Navarrese 'jin' (come) and allative '-rat'; trill ⟨rr⟩ [r] 'herrirat' per hualde_ortiz_de_urbina2003.
eu-x-nafarra-beherea-002	Sagarra gozoa eta gorria da.	s̺aɡara ɡos̻oa eta ɡoria da	The apple is sweet and red.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_sibilant_laminal;statement	Apical ⟨s⟩ [s̺] 'sagarra' and trill ⟨rr⟩ [r] per hualde_ortiz_de_urbina2003; sibilant contrast per ladefoged_maddieson1996.
eu-x-nafarra-beherea-003	Hotza da gaur mendietan.	hots̻a da ɡauɾ mendietan	It is cold today in the mountains.	seseo;gheada;eu_affricate_laminal;eu_aspiration;statement	Laminal affricate ⟨tz⟩ [ts̻] 'hotza' and the continental laryngeal ⟨h⟩ [h] per hualde2018_aspiration.
eu-x-nafarra-beherea-004	Txakur txipiak etxean daude.	tʃakuɾ tʃipiak etʃean daude	The small dogs are in the house.	eu_affricate_postalveolar;statement	Low Navarrese 'txipi'; post-alveolar affricate ⟨tx⟩ [tʃ] 'txakur', 'etxean' per hualde_ortiz_de_urbina2003.
eu-x-nafarra-beherea-005	Ur hotza edaten dut oraino.	uɾ hots̻a edaten dut oɾaino	I still drink cold water.	seseo;sandhi;eu_affricate_laminal;eu_aspiration;statement	⟨h⟩ [h] and ⟨tz⟩ [ts̻] 'hotza', sandhi 'hotza edaten' per hualde2018_aspiration.
eu-x-nafarra-beherea-006	Itsasoa hurbil da hemendik.	its̺as̺oa huɾbil da hemendik	The sea is near from here.	eu_sibilant_apical;eu_affricate_apical;eu_aspiration;statement	Apical affricate ⟨ts⟩ [ts̺] 'itsasoa' and ⟨h⟩ [h] 'hurbil', 'hemendik' per hualde2018_aspiration.
eu-x-nafarra-beherea-007	Oilarra goizean kantari ari da.	oilara ɡois̻ean kantaɾi aɾi da	The rooster is singing in the morning.	seseo;rhotic;sandhi;eu_sibilant_laminal;statement	Continental 'oilar'; trill ⟨rr⟩ [r] 'oilarra' and vowel-junction 'kantari ari' per hualde_ortiz_de_urbina2003.
eu-x-nafarra-beherea-008	Gaixoa da haurra ohean.	ɡaiʃoa da haura ohean	The child is sick in bed.	gheada;rhotic;sandhi;eu_sibilant_postalveolar;eu_aspiration;statement	Post-alveolar ⟨x⟩ [ʃ] 'gaixoa' and ⟨h⟩ [h] 'haurra', 'ohean' per hualde2018_aspiration.
eu-x-nafarra-beherea-009	Bihotza fite dabilkit.	bihots̻a fite dabilkit	My heart is beating fast.	seseo;eu_affricate_laminal;eu_aspiration;statement	Low Navarrese 'fite' (fast); ⟨h⟩ [h] 'bihotza' and ⟨tz⟩ [ts̻] per hualde2018_aspiration.
eu-x-nafarra-beherea-010	Anderea liburua irakurtzen ari da.	andeɾea libuɾua iɾakuɾts̻en aɾi da	The lady is reading the book.	seseo;sandhi;eu_affricate_laminal;statement	Laminal affricate ⟨tz⟩ [ts̻] 'irakurtzen'; register coverage per saltarelli1988.
eu-x-nafarra-beherea-011	Onddo eder bat hartu dugu oihanean.	onɟo edeɾ bat haɾtu duɡu oihanean	We took a fine mushroom in the wood.	gheada;final_u;sandhi;eu_palatal_stop;eu_aspiration;statement	Palatal plosive ⟨dd⟩ [ɟ] 'onddo' and ⟨h⟩ [h] 'hartu', 'oihanean' per hualde2018_aspiration.
eu-x-nafarra-beherea-012	Ttantta bat erori da lurrerat.	canca bat eɾoɾi da lureɾat	A drop has fallen to the ground.	rhotic;eu_palatal_stop;statement	Continental '-rat'; palatal plosive ⟨tt⟩ [c] 'ttantta' and trill 'lurrerat' per hualde_ortiz_de_urbina2003.
eu-x-nafarra-beherea-013	Xagu ttipi bat lasterka doa.	ʃaɡu cipi bat las̺teɾka doa	A little mouse runs off.	eu_sibilant_apical;eu_sibilant_postalveolar;eu_palatal_stop;statement	Post-alveolar ⟨x⟩ [ʃ] 'xagu' and palatal ⟨tt⟩ [c] 'ttipi' per hualde_ortiz_de_urbina2003.
eu-x-nafarra-beherea-014	Eskua garbitu behar duzu.	es̺kua ɡaɾbitu behaɾ dus̻u	You must wash your hand.	seseo;gheada;final_u;eu_sibilant_apical;eu_sibilant_laminal;eu_aspiration;statement	Apical ⟨s⟩ [s̺] 'eskua' and ⟨h⟩ [h] 'behar' per hualde2018_aspiration.
eu-x-nafarra-beherea-015	Mintza gaitezen elkarrekin.	mints̻a ɡaites̻en elkarekin	Let us speak together.	seseo;rhotic;eu_sibilant_laminal;eu_affricate_laminal;imperative	Laminal affricate ⟨tz⟩ [ts̻] 'mintza' and trill 'elkarrekin' per hualde_ortiz_de_urbina2003.
eu-x-nafarra-beherea-016	Gatza eta biperra mahainean daude.	ɡats̻a eta bipera mahainean daude	The salt and pepper are on the table.	seseo;gheada;rhotic;sandhi;eu_affricate_laminal;eu_aspiration;statement	Continental 'biper', 'mahain'; laminal affricate ⟨tz⟩ [ts̻] 'gatza' and ⟨h⟩ [h] 'mahainean' per hualde2018_aspiration.
eu-x-nafarra-beherea-017	Zuhaitzak hostoak galtzen ditu.	s̻uhaits̻ak hos̺toak ɡalts̻en ditu	The tree is losing its leaves.	seseo;gheada;final_u;eu_sibilant_apical;eu_sibilant_laminal;eu_affricate_laminal;eu_aspiration;statement	⟨h⟩ [h] 'zuhaitzak' and ⟨tz⟩ [ts̻] 'galtzen' per hualde2018_aspiration.
eu-x-nafarra-beherea-018	Neska eta mutila elkarrekin dabiltza.	nes̺ka eta mutila elkarekin dabilts̻a	The girl and the boy walk together.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_affricate_laminal;statement	Apical ⟨s⟩ [s̺] 'neska' and laminal affricate ⟨tz⟩ [ts̻] 'dabiltza' per hualde_ortiz_de_urbina2003.
