id	sentence	ipa	gloss_en	features	notes
es-CL-x-chilote-001	En Chiloé se prepara el curanto en un hoyo con piedras.	en tʃiˈloe se pɾeˈpaɾa el kuˈɾanto en un oˈʝo kon ˈpjedɾas	In Chiloé the curanto is cooked in a pit with stones.	yeismo;diphthong_ie_ue;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-002	Los vecinos hacen una minga para mover la casa.	los beˈsinos ˈasen una ˈminɡa paɾa moˈbeɾ la ˈkasa	The neighbours hold a minga to move the house.	seseo;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-003	Mi abuela cuenta cuentos de la Pincoya y el Trauco.	mi aˈβwela ˈkwenta ˈkwentos de la piˈnkoʝa i el ˈtɾawko	My grandmother tells tales of the Pincoya and the Trauco.	yeismo;diphthong_ie_ue;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-004	El bote cruza el canal cuando baja la marea.	el ˈbote ˈkɾusa el kaˈnal ˈkwando ˈbaxa la ˈmaɾea	The boat crosses the channel when the tide goes out.	seseo;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-005	Nosotros juntamos leña seca para el fogón.	noˈsotɾos xuˈntamos ˈleɲa ˈseka paɾa el foˈɣon	We gather dry firewood for the hearth.	palatal_nasal;sandhi;statement	palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-006	La lluvia cae sin parar durante todo el mes.	la ˈʝubja ˈkae sin paˈɾaɾ duˈɾante ˈtoðo el ˈmes	The rain falls nonstop the whole month.	yeismo;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-007	Comimos milcao y chapaleles con chicharrón.	koˈmimos ˈmilkao i tʃapaˈleles kon tʃitʃaˈron	We ate milcao and chapaleles with pork crackling.	rhotic;sandhi;statement	trill [r]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-008	El cordero se asa despacio junto al fuego.	el koˈɾdeɾo se ˈasa deˈspasjo ˈxunto al ˈfweɣo	The lamb roasts slowly by the fire.	seseo;diphthong_ie_ue;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-009	¿Vos vais a la fiesta del pueblo el domingo?	ˈbos ˈbajs a la ˈfjesta del ˈpweblo el doˈminɡo	Are you going to the town feast on Sunday?	diphthong_ie_ue;sandhi;question	tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-010	Los pescadores salen temprano a buscar choros.	los peskaˈðoɾes ˈsalen teˈmpɾano a buˈskaɾ ˈtʃoɾos	The fishermen set out early to gather mussels.	sandhi;statement	cross-word sandhi elision; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-011	La niña recoge manzanas para hacer chicha.	la ˈniɲa reˈkoxe maˈnsanas paɾa aˈseɾ ˈtʃitʃa	The girl gathers apples to make chicha.	seseo;palatal_nasal;rhotic;statement	seseo merges ⟨c/z⟩ to [s]; palatal nasal ⟨ñ⟩ [ɲ]; trill [r]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-012	El caballo corre por la pampa mojada del campo.	el kaˈβaʝo ˈkore poɾ la ˈpampa moˈxaða del ˈkampo	The horse runs across the wet field.	yeismo;rhotic;statement	yeísmo ⟨ll/y⟩ to [ʝ]; trill [r]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-013	Traéme la olla que dejé en la cocina de fierro.	ˈtɾaeme la ˈoʝa ke deˈxe en la koˈsina de ˈfjero	Bring me the pot I left on the iron stove.	seseo;yeismo;diphthong_ie_ue;rhotic;sandhi;imperative	seseo merges ⟨c/z⟩ to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; tonic Ĕ>ie / Ō>ue diphthong [je we]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-014	El bosque guarda muchos helechos y musgos.	el ˈboske ˈɡaɾda ˈmutʃos eˈletʃos i ˈmusɡos	The forest holds many ferns and mosses.	statement	cross-word sandhi elision; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-015	Prende el chonchón que se cortó la luz.	ˈpɾende el tʃoˈntʃon ke se koˈɾto la ˈlus	Light the oil lamp, the power went out.	seseo;sandhi;imperative	seseo merges ⟨c/z⟩ to [s]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-016	Mi tío teje redes para pescar en el mar.	mi ˈtio ˈtexe ˈreðes paɾa peˈskaɾ en el ˈmaɾ	My uncle weaves nets to fish at sea.	rhotic;statement	trill [r]; coda /s/ retained as [s] per lipski1994.
es-CL-x-chilote-017	El zorro chilote se esconde entre los arbustos.	el ˈsoro tʃiˈlote se eˈskonde ˈentɾe los aˈɾbustos	The Chiloé fox hides among the bushes.	seseo;rhotic;sandhi;statement	seseo merges ⟨c/z⟩ to [s]; trill [r]; coda /s/ retained as [s] per lipski1994.
