id	sentence	raw	ipa	gloss_en	features	notes
ar-MR-001	اِشْحَالَك الْيُوم؟ اِنْتَ لَبَاس؟	اشحالك اليوم؟ انت لباس؟	ʔiʃˈħaːlak alˈjuːm ˈʔinta laˈbaːs	How are you today? Are you well?	kaf;pharyngeal;long_vowel;question	išḥālak Hassaniya greeting (tainecheikh2007 ch.10); labās (Maghrebi)
ar-MR-002	اَلْجَوّ حَامِي الْيُوم وَالرّمَل يِحْرِق فِي الصَّحْرَا.	الجو حامي اليوم والرمل يحرق في الصحرا.	alˈʒaww ˈħaːmiː lˈjuːm ˈwarrmal ˈjiħriɡ ˈviː sˤˈsˤɑħraː	The weather is scorching today and the sand burns in the desert.	qaf;jim;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	Saharan semantic frame (Hassaniya context); ج=/ʒ/; sun assimilation ar-r; emphatic ص; ǧīm→[ʒ] (Ḥassāniyya) per (tainecheikh2007)
ar-MR-003	مَا نَبْغِيش قَهْوَة، نَبْغِي أَتَاي بِالنَّعْنَاع.	ما نبغيش قهوة، نبغي أتاي بالنعناع.	maː nabˈʁiːʃ ˈɡahwa ˈnabʁiː ʔaˈtaːj binnaʕˈnaːʕ	I don't want coffee, I want tea with mint.	qaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;negation	nabɣi + ma-...-š (Maghrebi frame, tainecheikh2007); atāy (shared with Darija; Saharan tea culture)
ar-MR-004	اِشْتَرَيت ثْلَاثَة كِيلُو لْحَم مِن السُّوق بِأَلْف أُوقِيَّة.	اشتريت ثلاثة كيلو لحم من السوق بألف أوقية.	ʔiʃtaˈrajt ˈθlaːθa ˈkiːluː ˈlħam min asˈsuːɡ biˈʔalv ʔuːˈɡijja	I bought three kilos of meat from the market for a thousand ouguiya.	qaf;interdental;kaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;number	ث retained /θ/ θlāθa (tainecheikh2007: Hassaniya interdental retention); ūgiyya Mauritanian currency; cluster lḥ-; C9 blind-judge consensus: Ḥassāniyya drops the glottal stops (b-alf contraction, uːɡijja), article vowel ə, final -u short; the set's f→[v] kept (tainecheikh2007; both judges independently) — gold ipa corrected on the HF set; this row's ipa stays engine-pinned and the delta is an engine lead
ar-MR-005	هَاذَاكَ الرَّاجِل يِذْكُر الظُّهْر ذَاك فِي الْخَيمَة.	هاذاك الراجل يذكر الظهر ذاك في الخيمة.	haːˈðaːka rˈraːʒil ˈjiðkur ɑðˤˈðˤuhr ˈðaːk ˈviː lˈxajma	That man remembers that noon in the tent.	jim;interdental;kaf;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	ذ retained /ð/ hāðāk/ðāk (Hassaniya conservatism, tainecheikh2007); ظ=/ðˤ/ first-alt; xayma 'tent'
ar-MR-006	اَعْطِينِي أَتَاي سَاخِن يَا وَلْد.	اعطيني أتاي ساخن يا ولد.	aʕˈtˤiːniː ʔaˈtaːj ˈsaːxin jaː ˈwald	Give me hot tea, boy.	hamza;emphatic;pharyngeal;long_vowel;imperative	Hassaniyya imperative aʕtini with the atay tea word; wald with the short-vowel pattern (tainecheikh2007)
ar-MR-007	اَلْجَوّ مَاهُو بَارِد الْيُوم، هُوَ حَامِي.	الجو ماهو بارد اليوم، هو حامي.	alˈʒaww ˈmaːhuː ˈbaːrid alˈjuːm ˈhuwa ˈħaːmiː	The weather isn't cold today, it's hot.	jim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	mā-hu negative copula (Ḥassāniyya, tainecheikh2007); ج=/ʒ/ (tainecheikh2007 §2.1.1.3); ḥāmi 'hot'
ar-MR-008	شْحَال ثَمَن هَاذَا؟ مِيتَين أُوقِيَّة.	شحال ثمن هاذا؟ ميتين أوقية.	ˈʃħaːl ˈθaman ˈhaːðaː miːˈtajn ʔuːˈɡijja	How much is the price of this? Two hundred ouguiya.	qaf;interdental;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;question;number	šḥāl 'how much' (Maghrebi); ث retained /θ/ θaman (tainecheikh2007 interdental retention §2.1.1.2); ūgiyya Mauritanian currency (heath2004hass); mītēn '200'
ar-MR-009	اَلْمَوْعِد فِي الْعَشْرَة الصّبَاح.	الموعد في العشرة الصباح.	alˈmawʕid ˈviː lˈʕaʃra sˤsˤˈbaːħ	The appointment is at ten in the morning.	ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;diphthong;statement;number	fī→[viː] *f voiced [v] (tainecheikh2007 §2.1.1.3); sun assimilation ṣ-ṣbāḥ; ʕašra 'ten'
ar-MR-010	اَهْلِي سَاكْنِين فِي الْحَيّ ذَاك.	اهلي ساكنين في الحي ذاك.	ˈahliː saːkˈniːn ˈviː lˈħajj ˈðaːk	My family lives in that neighbourhood.	interdental;kaf;pharyngeal;geminate;long_vowel;diphthong;statement	ahl-i 'my family'; ذ retained /ð/ in demonstrative ðāk (tainecheikh2007 conservatism §2.1.1.2); fī→[v]
