id	sentence	ipa	gloss_en	features	notes
es-ES-x-andalusia-w-001	El cielo no está claro hoy.	ˈel ˈsjelo ˈno eˈsta ˈklaɾo ˈoi	The sky is not clear today.	seseo;diphthong_ie_ue;sandhi;statement;negation	Seseo merges ⟨ci⟩ to [s] 'sjelo' (no [θ]); Sevilla-Cadiz-Huelva innovative core (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-002	Estos zapatos cuestan cuarenta euros.	ˈestoh saˈpatoh ˈkwestaŋ kwaˈɾenta ˈewɾoh	These shoes cost forty euros.	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement;number	Seseo ⟨z⟩ [s] 'sapatoh'; coda/final -s aspirate to [h]; tonic Ŏ>ue 'cuestan' (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-003	Los dos niños corren mucho.	ˈloh ˈdoh ˈniɲoh ˈkoreŋ ˈmutʃo	The two children run a lot.	palatal_nasal;coda_s_aspiration;velar_nasal;rhotic;sandhi;statement;number	Final -n velarises to [ŋ] 'koreŋ'; coda -s aspiration 'loh doh'; palatal nasal ⟨ñ⟩ [ɲ] (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-004	Mi hermano vive cerca de la plaza.	ˈmi eˈɾmano ˈbibe ˈseɾka ˈde ˈla ˈplasa	My brother lives near the square.	seseo;statement	Seseo ⟨ce⟩/⟨za⟩ [s] 'serka','plasa' (no [θ]) (hualde2005).
es-ES-x-andalusia-w-005	Coge las llaves y ven aquí.	ˈkoxe ˈlah ˈʝabeh ˈi ˈbeŋ aˈki	Grab the keys and come here.	yeismo;coda_s_aspiration;velar_nasal;sandhi;imperative	Yeismo ⟨ll⟩ [ʝ] 'llaves'; coda -s of 'lah' aspirates (hualde2005).
es-ES-x-andalusia-w-006	Quieres pan con aceite de oliva?	ˈkjeɾeh ˈpaŋ ˈkoŋ aˈsejte ˈde oˈliba	Do you want bread with olive oil?	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;question	Final -n velarises 'paŋ koŋ'; seseo ⟨ce⟩ [s] 'aceite'; tonic Ĕ>ie 'quieres' (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-007	Dónde has puesto la muchacha las tazas?	ˈdonde ˈah ˈpwesto ˈla muˈtʃatʃa ˈlah ˈtasah	Where did the girl put the cups?	seseo;coda_s_aspiration;diphthong_ie_ue;question	⟨ch⟩ stays [tʃ] 'mutʃatʃa' (deaffrication is a secondary Cadiz-Sevilla variant); coda -s aspiration; seseo ⟨za⟩ [s] (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-008	Cuántas personas vienen a cenar?	ˈkuantah peˈɾsonah ˈbjeneŋ ˈa seˈnaɾ	How many people are coming to dinner?	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;question;number	Tonic Ĕ>ie 'vienen'; seseo ⟨ce⟩ [s] 'senar'; coda -s aspirates 'personas' (hualde2005).
es-ES-x-andalusia-w-009	Si yo pudiera, compraría aquella casa.	ˈsi ˈʝo puˈðjeɾa kompɾaˈɾia aˈkeʝa ˈkasa	If I could, I would buy that house.	yeismo;diphthong_ie_ue;sandhi;statement	Yeismo ⟨y⟩/⟨ll⟩ [ʝ] 'yo','aquella'; conditional register (hualde2005, penny2002).
es-ES-x-andalusia-w-010	Ayer compré cinco kilos de cerezas.	aˈʝeɾ koˈmpɾe ˈsinko ˈkiloh ˈde seˈɾesah	Yesterday I bought five kilos of cherries.	seseo;yeismo;coda_s_aspiration;sandhi;statement;number	Seseo ⟨c⟩/⟨z⟩ [s] 'sinko','seresah'; final -s aspirates to [h] (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-011	El año que viene viajaré a Cádiz.	ˈel ˈaɲo ˈke ˈbjene bjaxaˈɾe ˈa ˈkaðis	Next year I will travel to Cadiz.	seseo;palatal_nasal;diphthong_ie_ue;sandhi;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'año'; velar ⟨j⟩ weakens toward [h] 'biahaɾe'; seseo ⟨z⟩ final [h] (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-012	Llámame cuando llegues a casa.	ˈʝamame ˈkwando ˈʝeɡeh ˈa ˈkasa	Call me when you get home.	yeismo;coda_s_aspiration;sandhi;imperative	Word-initial ⟨ll⟩ [ʝ] 'llámame','llegues'; sandhi elision 'llegues a' (hualde2005).
es-ES-x-andalusia-w-013	Buenas tardes, dame las gracias.	ˈbwenah ˈtaɾdeh ˈdame ˈlah ˈɡɾasjah	Good afternoon, give me thanks.	seseo;coda_s_aspiration;diphthong_ie_ue;sandhi;imperative	Tonic Ŏ>ue 'buenas'; seseo ⟨c⟩ [s] 'gracias'; coda -s aspiration 'lah',final [h] (hualde2005).
es-ES-x-andalusia-w-014	Más vale pájaro en mano que ciento volando.	ˈmah ˈbale ˈpaxaɾo ˈeŋ ˈmano ˈke ˈsjento boˈlando	A bird in the hand is worth two in the bush.	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Seseo ⟨ci⟩ [s] with Ĕ>ie 'ciento'; final -s 'mah' aspirates; velar ⟨j⟩ weakens 'pahaɾo' (hualde2005, penny2002).
es-ES-x-andalusia-w-015	El perro corre por la orilla del río.	ˈel ˈpero ˈkore ˈpoɾ ˈla oˈɾiʝa ˈdel ˈrio	The dog runs along the riverbank.	yeismo;rhotic;sandhi;statement	Trill/tap contrast ⟨rr⟩ [r] 'perro','corre' vs initial [r] 'río'; yeismo ⟨ll⟩ [ʝ] 'orilla' (hualde2005).
es-ES-x-andalusia-w-016	La ciudad de Sevilla es muy grande.	ˈla sjuˈða ˈde seˈbiʝa ˈeh ˈmui ˈɡɾande	The city of Seville is very big.	seseo;yeismo;coda_s_aspiration;sandhi;statement	Seseo ⟨ci⟩ [s] 'siuða' with intervocalic -d- lenition; yeismo ⟨ll⟩ [ʝ] 'Sevilla' (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-017	Aquella villa amarilla brilla bajo la lluvia.	aˈkeʝa ˈbiʝa amaˈɾiʝa ˈbɾiʝa ˈbaxo ˈla ˈʝubja	That yellow villa shines in the rain.	yeismo;sandhi;statement	Dense yeismo ⟨ll⟩ [ʝ] 'aquella','villa','amarilla','brilla','lluvia'; velar ⟨j⟩ weakens 'baho' (hualde2005).
es-ES-x-andalusia-w-018	No creo que llueva sobre aquellos cerros.	ˈno ˈkɾeo ˈke ˈʝweba ˈsobɾe aˈkeʝoh ˈseroh	I do not think it will rain over those hills.	seseo;yeismo;coda_s_aspiration;diphthong_ie_ue;rhotic;sandhi;statement;negation	Yeismo ⟨ll⟩ [ʝ] with Ŏ>ue 'llueva'; seseo ⟨ce⟩ [s] and trill ⟨rr⟩ [r] 'serroh'; final -s aspirates (hualde2005, penny2002).
es-ES-x-andalusia-w-019	Un vaso de vino con los amigos.	ˈuŋ ˈbaso ˈde ˈbino ˈkoŋ ˈloh aˈmiɣoh	A glass of wine with friends.	coda_s_aspiration;velar_nasal;sandhi;statement	Final -n velarises 'uŋ'; coda -s aspiration 'loh amigoh'; seseo has no ⟨c z⟩ here (hualde2005, zamora_vicente1960).
es-ES-x-andalusia-w-020	Compramos doce naranjas en el mercado.	koˈmpɾamoh ˈdose naˈɾanxah ˈeŋ ˈel meˈɾkaðo	We bought twelve oranges at the market.	seseo;coda_s_aspiration;velar_nasal;sandhi;statement;number	Seseo ⟨ce⟩ [s] 'dose'; coda -s aspiration 'compɾamoh','naɾanhah'; velar ⟨j⟩ weakens (hualde2005, zamora_vicente1960).
