id	sentence	ipa	gloss_en	features	notes
es-EC-001	El guagua llora porque tiene mucha hambre.	el ˈɡwaɣwa ˈʝoɾa ˈpoɾke ˈtjene ˈmutʃa ˈambɾe	The baby cries because it is very hungry.	yeismo;diphthong_ie_ue;statement	Quichua loan guagua; seseo and yeismo per hualde2005
es-EC-002	¿Vas a comprar el mote en la plaza mañana?	ˈbas a komˈpɾaɾ el ˈmote en la ˈplasa maˈɲana	Are you buying the hominy at the square tomorrow?	seseo;palatal_nasal;sandhi;question	Ecuadorian lexicon (mote); palatal nasal mañana; penny2002
es-EC-003	Ella lleva la llave de la casa en la mano.	ˈeʝa ˈʝeβa la ˈʝaβe de la ˈkasa en la ˈmano	She carries the house key in her hand.	yeismo;sandhi;statement	yeismo ll/y→[ʝ]; lipski1994
es-EC-004	No quiero que llegues tarde a la minga.	ˈno ˈkjeɾo ke ˈʝeɡes ˈtaɾde a la ˈminɡa	I don't want you to be late to the communal work.	yeismo;diphthong_ie_ue;sandhi;negation	yeismo llegues→[ʝ]; diphthong quiero→[je]; fontanella_de_weinberg1992
es-EC-005	Sirve el encebollado bien caliente al almuerzo.	ˈsiɾbe el enseβoˈʝaðo ˈbjen kaˈljente al alˈmweɾso	Serve the fish soup nice and hot for lunch.	seseo;yeismo;diphthong_ie_ue;sandhi;imperative	Ecuadorian dish; diphthong caliente→[je]; hualde2005
es-EC-006	Mi ñaño trabaja en la hacienda del valle.	mi ˈɲaɲo tɾaˈβaxa en la aˈsjenda del ˈbaʝe	My brother works on the estate in the valley.	seseo;yeismo;palatal_nasal;palatal_initial;diphthong_ie_ue;sandhi;statement	word-initial ñ→[ɲ]; yeismo valle→[ʝ]; penny2002
es-EC-007	Los perros ladran junto al río toda la noche.	los ˈperos ˈladɾan ˈxunto al ˈrio ˈtoða la ˈnotʃe	The dogs bark by the river all night.	rhotic;sandhi;statement	trill perros/río; seseo n/a; lipski1994
es-EC-008	¿Cuántos años vives en Quito ya, vecino?	ˈkwantos ˈaɲos ˈbiβes en ˈkito ˈʝa beˈsino	How many years have you lived in Quito now, neighbor?	seseo;yeismo;palatal_nasal;sandhi;question	diphthong vives n/a; sandhi; fontanella_de_weinberg1992
es-EC-009	Compramos dos mil dólares de material ayer.	komˈpɾamos ˈdos ˈmil ˈdolaɾes de mateˈɾjal aˈʝeɾ	We bought two thousand dollars of material yesterday.	yeismo;sandhi;number	numeral; local currency; hualde2005
es-EC-010	La señora vende llapingachos en el mercado.	la seˈɲoɾa ˈbende ʝapinˈɡatʃos en el meɾˈkaðo	The lady sells potato patties at the market.	yeismo;palatal_nasal;palatal_initial;sandhi;statement	yeismo llapingachos→[ʝ]; palatal nasal señora; penny2002
es-EC-011	Nadie quiere caminar bajo la lluvia fría.	ˈnaðje ˈkjeɾe kamiˈnaɾ ˈbaxo la ˈʝuβja ˈfɾia	Nobody wants to walk under the cold rain.	yeismo;diphthong_ie_ue;negation	yeismo lluvia→[ʝ]; diphthong quiere→[je]; lipski1994
es-EC-012	Trae el ají de la cocina para el hornado.	ˈtɾae el aˈxi de la koˈsina paɾa el oɾˈnaðo	Bring the chili from the kitchen for the roast pork.	seseo;sandhi;imperative	Ecuadorian cuisine; seseo cocina→[s]; fontanella_de_weinberg1992
es-EC-013	El niño juega con la pelota en el patio.	el ˈniɲo ˈxweɣa kon la peˈlota en el ˈpatjo	The child plays with the ball in the yard.	palatal_nasal;diphthong_ie_ue;sandhi;statement	palatal nasal niño; diphthong juega→[we]; hualde2005
es-EC-014	Vamos a la fiesta del pueblo este domingo.	ˈbamos a la ˈfjesta del ˈpweblo ˈeste doˈminɡo	We are going to the town festival this Sunday.	diphthong_ie_ue;sandhi;statement	diphthong fiesta/pueblo→[je/we]; sandhi; penny2002
es-EC-015	¿Por qué no llamaste a tu mamá anoche?	poɾ ˈke ˈno ʝaˈmaste a tu maˈma aˈnotʃe	Why didn't you call your mom last night?	yeismo;final_u;sandhi;question;negation	yeismo llamaste→[ʝ]; lipski1994
es-EC-016	Sube al bus que ya nos vamos a Ambato.	ˈsuβe al ˈbus ke ˈʝa nos ˈbamos a amˈbato	Get on the bus, we are leaving for Ambato.	yeismo;sandhi;imperative	sandhi; Ecuadorian geography; fontanella_de_weinberg1992
es-EC-017	El cuy asado se sirve con papa y maní.	el ˈkui aˈsaðo se ˈsiɾbe kon ˈpapa i maˈni	Roast guinea pig is served with potato and peanut.	statement	Andean cuisine; seseo n/a; hualde2005
es-EC-018	La llama pasta tranquila en el páramo verde.	la ˈʝama ˈpasta tɾanˈkila en el ˈpaɾamo ˈbeɾde	The llama grazes calmly on the green moor.	yeismo;sandhi;statement	yeismo llama→[ʝ]; Ecuadorian páramo; penny2002
es-EC-019	Guarda bien la cosecha antes de que llueva.	ˈɡwaɾda ˈbjen la koˈsetʃa ˈantes de ke ˈʝweβa	Store the harvest well before it rains.	yeismo;diphthong_ie_ue;sandhi;imperative	seseo cosecha→[s]; lipski1994
es-EC-020	Ese muchacho estudia en la universidad central.	ˈese muˈtʃatʃo esˈtuðja en la uniβeɾsiˈðað senˈtɾal	That young man studies at the central university.	seseo;sandhi;statement	seseo central→[s]; fontanella_de_weinberg1992
