id	sentence	ipa	gloss_en	features	notes
es-ES-x-extremadura-001	El cielo no está claro hoy.	el ˈθjelo ˈno eˈhta ˈklaɾo ˈoi	The sky is not clear today.	distincion;diphthong_ie_ue;sandhi;statement;negation	Distincion ⟨ci⟩ [θ] 'θjelo' kept in most of the region (outside SE Badajoz seseo) (penny2002, zamora_vicente1960).
es-ES-x-extremadura-002	Estos zapatos cuestan cuarenta euros.	ˈehtoh θaˈpatoh ˈkwehtan kwaˈɾenta ˈewɾoh	These shoes cost forty euros.	distincion;diphthong_ie_ue;sandhi;statement;number	Distincion ⟨z⟩ [θ] 'θapatos'; s-aspiration is an optional Badajoz variant not in the default engine output; tonic Ŏ>ue 'cuestan' (penny2002, zamora_vicente1960).
es-ES-x-extremadura-003	Los zagales juegan fuera de la casa.	loh θaˈɣaleh ˈhweɣan ˈfweɾa de la ˈkasa	The kids play outside the house.	distincion;diphthong_ie_ue;sandhi;statement	Extremeño lexeme 'zagales'; distincion ⟨z⟩ [θ]; tonic Ŏ>ue 'juegan','fuera'; velar ⟨j⟩ [x] (zamora_vicente1960, penny2002).
es-ES-x-extremadura-004	Mi hermano vive cerca de la plaza.	mi eˈɾmano ˈbibe ˈθeɾka de la ˈplaθa	My brother lives near the square.	distincion;statement	Distincion ⟨ce⟩/⟨za⟩ [θ] 'θeɾka','plaθa'; intervocalic -d- lenition (penny2002, hualde2005).
es-ES-x-extremadura-005	Coge las llaves y ven aquí.	ˈkohe lah ˈʝabeh i ˈben aˈki	Grab the keys and come here.	yeismo;sandhi;imperative	Yeismo ⟨ll⟩ [ʝ] 'llaves' (ʎ merged as in standard Castilian) (penny2002, hualde2005).
es-ES-x-extremadura-006	La candela está encendida en la lumbre.	la kaˈndela eˈhta enθeˈndiða en la ˈlumbɾe	The fire is lit in the hearth.	distincion;sandhi;statement	Extremeño lexeme 'candela' (fire); distincion ⟨ce⟩ [θ] 'enθendida'; sandhi 'está + encendida' (zamora_vicente1960, penny2002).
es-ES-x-extremadura-007	Cuántas personas vienen a cenar?	ˈkuantah peˈɾsonah ˈbjenen a θeˈnaɾ	How many people are coming to dinner?	distincion;diphthong_ie_ue;sandhi;question;number	Tonic Ĕ>ie 'vienen'; distincion ⟨ce⟩ [θ] 'cenar'; sandhi 'a + cenar' (penny2002, hualde2005).
es-ES-x-extremadura-008	Comimos migas con torreznos ayer.	koˈmimoh ˈmiɣah kon toˈreθnoh aˈʝeɾ	We ate migas with pork scratchings yesterday.	distincion;yeismo;rhotic;sandhi;statement	Extremeño rural dish 'migas'; ⟨y⟩ [ʝ] 'ayer'; distincion has no ⟨c z⟩ here (zamora_vicente1960, penny2002).
es-ES-x-extremadura-009	Si yo pudiera, compraría aquella casa.	si ˈʝo puˈðjeɾa kompɾaˈɾia aˈkeʝa ˈkasa	If I could, I would buy that house.	yeismo;diphthong_ie_ue;sandhi;statement	Yeismo ⟨y⟩/⟨ll⟩ [ʝ] 'yo','aquella'; conditional register (penny2002, hualde2005).
es-ES-x-extremadura-010	Ayer compré cinco kilos de aceitunas.	aˈʝeɾ koˈmpɾe ˈθinko ˈkiloh de aθeˈjtunah	Yesterday I bought five kilos of olives.	distincion;yeismo;sandhi;statement;number	Distincion ⟨c⟩ [θ] 'θinko','aceitunas'; ⟨y⟩ [ʝ] 'ayer' (penny2002, zamora_vicente1960).
