id	sentence	raw	ipa	gloss_en	features	notes
ar-LB-001	مَرْحَبَا، شُو أَخْبَارَك؟ كِيفَك وكِيف الصِّحَّة؟	مرحبا، شو أخبارك؟ كيفك وكيف الصحة؟	ˈmarħabeː ˈʃuː ʔaxˈbaːrak ˈkiːfak ˈwkiːf ɑsˤˈsˤiħħa	Hello, what's your news? How are you and how is your health?	kaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	šū interrogative (cowell1964 p.566); Beiruti kīfak (almbark2015); geminate حّ in ṣiḥḥa
ar-LB-002	اَلْبَحْر هَادِي الْيَوم وَالشَّمْس طَالْعَة عَ الْمِينَا.	البحر هادي اليوم والشمس طالعة ع المينا.	ilˈbaħr ˈhaːdiː lˈjoːm waʃˈʃams ˈtˤɑːlʕa ˈʕa ilˈmiːneː	The sea is calm today and the sun is rising over the harbour.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	monophthong ō in اليوم /aljoːm/ (almbark2015: Levantine aw→ō); emphatic ط; ʕa- 'on' contraction (cowell1964)
ar-LB-003	مَا بَدِّي رُوح عَ الشُّغُل بُكْرَا، عِنْدِي مَوْعِد عَنْد الْحَكِيم.	ما بدي روح ع الشغل بكرا، عندي موعد عند الحكيم.	ˈmaː ˈbaddiː ˈruːħ ˈʕa ˈaʃʃuɣul ˈbukraː ˈʕindiː ˈmoːʕid ˈʕand alħaˈkiːm	I don't want to go to work tomorrow, I have an appointment at the doctor's.	kaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;negation	baddi negation mā baddi (cowell1964 p.415); ʕa-š-šuɣl with article assimilation after ʕa-
ar-LB-004	قَدَّيْش حَقّ كِيلُو التُّفَّاح بِسُوق الضَّيْعَة؟	قديش حق كيلو التفاح بسوق الضيعة؟	ʔadˈdeːʃ ˈħaʔʔ ˈkiːluː ttufˈfaːħ biˈsuːʔ ɑdˤˈdˤeːʕa	How much is a kilo of apples in the village market?	qaf;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;question;number	ʔaddēš (cowell1964 p.567); ق=/ʔ/ (almbark2015; fadda2016); geminates قّ فّ; ض=/dˤ/ stop
ar-LB-005	عَمِّي جَاب زَيْتُون وجِبْنِة بَلَدِيِّة مِن الضَّيْعَة.	عمي جاب زيتون وجبنة بلدية من الضيعة.	ˈʕammiː ˈʒeːb zeːˈtuːn ˈwʒibne balaˈdijje min ɑdˤˈdˤeːʕa	My uncle brought olives and local cheese from the village.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ج=/ʒ/ (cowell1964 ch.1); Beiruti imala aː→eː in ʒeːb (almbark2015: Beirut fronted ā); imala -e in جِبْنِة
ar-LB-006	خُود هَيْدَا الثَّوْب وْجَرِّبُو هَلَّق.	خود هيدا الثوب وجربو هلق.	ˈxuːd ˈhajda tˈtoːb ˈwʒarribuː ˈhallaʔ	Take this garment and try it on now.	qaf;jim;interdental;sun_assim;geminate;long_vowel;diphthong;imperative	Beiruti hayda and hallaq (cowell1964); ā→ē fronting surfaces (heːdeː); ث → t stop reflex in tob
ar-LB-007	الطَّقْس مِش مْنِيح الْيَوم وْعَم تْشَتِّي.	الطقس مش منيح اليوم وعم تشتي.	ɑtˤˈtˤɑʔs ˈmiʃ ˈmniːħ alˈjoːm ˈwʕam ˈtʃattiː	The weather isn't nice today and it's raining.	qaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;negation	miš negation (cowell1964); mnīḥ 'good' (cowell1964); aw→oː il-yōm (almbark2015); ʕam progressive + tšatti 'rain' (cowell1964)
ar-LB-008	بْكَمّ هَالْجَزْدَان؟ بِتْلَاتِين أَلْف.	بكم هالجزدان؟ بتلاتين ألف.	ˈbkamm haːlʒazˈdeːn bitleːˈtiːn ˈʔalf	How much is this wallet? Thirty thousand.	jim;kaf;hamza;geminate;long_vowel;diphthong;question;number	bkam price question (cowell1964); ā→eː imala jazdēn, tlētīn (almbark2015; fadda2016); ā blocked before guttural h in hāl demonstrative (LB_IMALA_BLOCK_GUTT)
ar-LB-009	مَوْعِدْنَا السَّاعَة تْلَاتِة بَعْد الضُّهُر.	موعدنا الساعة تلاتة بعد الضهر.	moːˈʕidneː sˈsaːʕa ˈtleːte ˈbaʕd ˈɑdˤdˤuhur	Our appointment is at three in the afternoon.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	aw→oː mawʕid, final -a→e imala sāʕe (almbark2015); tlāte 'three' (cowell1964); emphatic ḍ backing baʕd id-duhr (watson2002)
ar-LB-010	نِحْنَا سَاكْنِين بْبَيْرُوت مِن زَمَان.	نحنا ساكنين ببيروت من زمان.	ˈniħneː seːkˈniːn bbeːˈruːt min zaˈmeːn	We have lived in Beirut for a long time.	kaf;pharyngeal;geminate;long_vowel;diphthong;statement	niḥna, sāknīn (cowell1964); ay→eː monophthong Bērūt (almbark2015; fadda2016); min zamān→zamēn imala (almbark2015)
