id	sentence	ipa	gloss_en	features	notes
eu-x-erronkariera-001	Sagarra gozoa da eta gorria.	s̺aɡara ɡos̻oa da eta ɡoria	The apple is sweet and red.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_sibilant_laminal;statement	Apical ⟨s⟩ [s̺] 'sagarra' and trill ⟨rr⟩ [r] per michelena1977_fhv; Roncalese phonology per egurtzegi2013.
eu-x-erronkariera-002	Zazpi ardi mendian daude.	s̻as̻pi ardi mendian dau̯de	Seven sheep are on the mountain.	seseo;sandhi;eu_sibilant_laminal;statement;number	Laminal ⟨z⟩ [s̻] 'zazpi' — Roncalese kept the three-way coronal system per michelena1977_fhv.
eu-x-erronkariera-003	Hotza da gaur mendian.	hots̻a da ɡau̯r mendian	It is cold today in the mountain.	seseo;gheada;eu_affricate_laminal;eu_aspiration;statement	Laminal affricate ⟨tz⟩ [ts̻] 'hotza' and laryngeal ⟨h⟩ [h] — Roncalese retained aspiration per hualde2018_aspiration.
eu-x-erronkariera-004	Txakur txikiak etxean daude.	tʃakur tʃikiak etʃean dau̯de	The small dogs are in the house.	eu_affricate_postalveolar;statement	Post-alveolar affricate ⟨tx⟩ [tʃ] 'txakur', 'etxean' per egurtzegi2013.
eu-x-erronkariera-005	Ur hotza edaten dut.	ur hots̻a edaten dut	I drink cold water.	seseo;sandhi;eu_affricate_laminal;eu_aspiration;statement	⟨h⟩ [h] and ⟨tz⟩ [ts̻] 'hotza', sandhi 'hotza edaten' per hualde2018_aspiration.
eu-x-erronkariera-006	Itsasoa urrun dago hemendik.	its̺as̺oa urun daɡo hemendik	The sea is far from here.	gheada;rhotic;sandhi;eu_sibilant_apical;eu_affricate_apical;eu_aspiration;statement	Apical affricate ⟨ts⟩ [ts̺] 'itsasoa' and ⟨h⟩ [h] 'hemendik' per michelena1977_fhv.
eu-x-erronkariera-007	Ollarra goizean kantari dabil.	oʎara ɡoi̯s̻ean kantaɾi dabil	The rooster is singing in the morning.	seseo;lateral_palatal;rhotic;eu_sibilant_laminal;statement	Palatal lateral ⟨ll⟩ [ʎ] 'ollarra' and trill ⟨rr⟩ [r] per michelena1977_fhv.
eu-x-erronkariera-008	Gaixo dago haurra oean.	ɡai̯ʃo daɡo hau̯ra oean	The child is sick in bed.	gheada;rhotic;sandhi;eu_sibilant_postalveolar;eu_aspiration;statement	Post-alveolar ⟨x⟩ [ʃ] 'gaixo' and ⟨h⟩ [h] 'haurra' per hualde2018_aspiration.
eu-x-erronkariera-009	Biotza bizkor dabil.	biots̻a bis̻kor dabil	The heart is beating fast.	seseo;eu_sibilant_laminal;eu_affricate_laminal;statement	Roncalese 'biotz' (aspiration lost intervocalically here); laminal affricate ⟨tz⟩ [ts̻] 'biotza' per michelena1977_fhv.
eu-x-erronkariera-010	Andereak ipuina kontatu daku.	andeɾeak ipui̯na kontatu daku	The lady told us the tale.	final_u;statement	Palatal nasal ⟨ñ⟩ absent here; Roncalese 'daku'; laminal ⟨z⟩ coverage and atonic profile per egurtzegi2013.
eu-x-erronkariera-011	Onddo eder bat artu dugu.	onɟo eder bat artu duɡu	We took a fine mushroom.	final_u;sandhi;eu_palatal_stop;statement	Roncalese 'artu' (h-loss); palatal plosive ⟨dd⟩ [ɟ] 'onddo' per egurtzegi2013.
eu-x-erronkariera-012	Ttantta bat erori da lurrera.	canca bat eɾoɾi da lureɾa	A drop has fallen to the ground.	rhotic;eu_palatal_stop;statement	Palatal plosive ⟨tt⟩ [c] 'ttantta' and trill ⟨rr⟩ [r] 'lurrera' per michelena1977_fhv.
eu-x-erronkariera-013	Xagu txiki bat korrika doa.	ʃaɡu tʃiki bat korika doa	A little mouse runs by.	rhotic;eu_sibilant_postalveolar;eu_affricate_postalveolar;statement	Post-alveolar ⟨x⟩ [ʃ] 'xagu' and ⟨tx⟩ [tʃ] 'txiki' per egurtzegi2013.
eu-x-erronkariera-014	Eskua garbitu bear duk.	es̺kua ɡarbitu bear duk	You must wash your hand.	final_u;eu_sibilant_apical;statement	Roncalese 'bear' (h-loss) and allocutive 'duk'; apical ⟨s⟩ [s̺] 'eskua' per michelena1977_fhv.
eu-x-erronkariera-015	Itz egin dezagun batera.	its̻ eɡin des̻aɡun bateɾa	Let us speak together.	seseo;eu_sibilant_laminal;eu_affricate_laminal;imperative	Roncalese 'itz' (initial h-loss); apical affricate ⟨ts⟩ [ts̺] 'itz' → [its̺] and laminal ⟨z⟩ [s̻] 'dezagun' per michelena1977_fhv.
eu-x-erronkariera-016	Gatza eta piperra maian daude.	ɡats̻a eta pipera mai̯an dau̯de	The salt and pepper are on the table.	seseo;rhotic;sandhi;eu_affricate_laminal;statement	Roncalese 'maian' (h-loss); laminal affricate ⟨tz⟩ [ts̻] 'gatza' and trill 'piperra' per michelena1977_fhv.
eu-x-erronkariera-017	Zugatzak ostoak galtzen ditu.	s̻uɡats̻ak os̺toak ɡalts̻en ditu	The tree is losing its leaves.	seseo;final_u;eu_sibilant_apical;eu_sibilant_laminal;eu_affricate_laminal;statement	Roncalese 'zugatz' (tree) and 'osto'; laminal ⟨z⟩ [s̻] and ⟨tz⟩ [ts̻] 'galtzen' per egurtzegi2013.
eu-x-erronkariera-018	Neska eta mutila batera dabiltza.	nes̺ka eta mutila bateɾa dabilts̻a	The girl and the boy walk together.	seseo;sandhi;eu_sibilant_apical;eu_affricate_laminal;statement	Apical ⟨s⟩ [s̺] 'neska' and laminal affricate ⟨tz⟩ [ts̻] 'dabiltza' per michelena1977_fhv.
eu-x-erronkariera-019	Gaztelua mendian dago.	ɡas̻telua mendian daɡo	The castle stands on the mountain.	seseo;eu_sibilant_laminal;statement	Laminal ⟨z⟩ [s̻] 'gaztelua' per michelena1977_fhv; atonic-vowel coverage per egurtzegi2013.
eu-x-erronkariera-020	Erriko jaiak noiz asten dira?	eriko jai̯ak noi̯s̻ as̺ten diɾa	When do the village festivals begin?	seseo;rhotic;eu_sibilant_apical;eu_sibilant_laminal;question	Roncalese 'erri', 'asten' (initial h-loss); trill ⟨rr⟩ [r] 'erriko' and apical ⟨s⟩ [s̺] 'asten' per michelena1977_fhv.
