id	sentence	raw	ipa	gloss_en	features	notes
ar-KW-001	شْلَونَك؟ شَخْبَارَك الْيَوم يَا بُو صَالِح؟	شلونك؟ شخبارك اليوم يا بو صالح؟	ˈʃloːnak ʃaxˈbaːrak alˈjoːm ˈjaː ˈbuː ˈsˤɑːliħ	How are you? What's your news today, Abu Salih?	kaf;emphatic;pharyngeal;long_vowel;diphthong;question	šaxbārak Kuwaiti greeting contraction (albalushi2016; QADI-KW); emphatic ص
ar-KW-002	اَلْيَوم غْبَار وَايِد وَالسِّمَا مُو صَافْيَة.	اليوم غبار وايد والسما مو صافية.	alˈjoːm ˈɣbaːr ˈwaːjid ˈwassimaː ˈmuː ˈsˤɑːfja	Today there is a lot of dust and the sky is not clear.	ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement;negation	mū negator (Kuwaiti, albalushi2016); wāyid (Gulf); initial cluster ɣb-; sun assimilation as-s
ar-KW-003	مَا أَبِي قَهْوَة، أَبِي چَاي عَ الطَّرِيقَة الْكُوَيتِيَّة.	ما أبي قهوة، أبي چاي ع الطريقة الكويتية.	ˈmaː ˈʔabiː ˈɡahwa ˈʔabiː ˈtʃaːj ˈʕa tˤtˤɑˈriːɡa lkuwajˈtijja	I don't want coffee, I want tea the Kuwaiti way.	qaf;kaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;negation	abī 'I want' (Kuwaiti); چ=/tʃ/ (alshammari2026); ق=/ɡ/ gahwa; ʕa-ṭ- article contraction
ar-KW-004	اِشْتَرَيت ثَلَاث أَكْيَاس عَيش مِن الْجَمْعِيَّة بِدِينَار.	اشتريت ثلاث أكياس عيش من الجمعية بدينار.	ʔiʃtaˈreːt θaˈlaːθ ʔakˈjaːs ˈʕeːʃ ˈmin aldʒamˈʕijja bidiːˈnaːr	I bought three bags of rice from the co-op for a dinar.	jim;interdental;kaf;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;statement;number	ʕēš 'rice' (Kuwaiti sense, albalushi2016); jamʕiyya co-op (Kuwaiti institution; QADI-KW); ث retained; ē
ar-KW-005	هَاذَا الرَّيَّال قَاعِد يِدَوِّر عَلَى شُغُل زَين.	هاذا الريال قاعد يدور على شغل زين.	ˈhaːðaː rrajˈjaːl ˈɡaːʕid jiˈdawwir ˈʕalaː ˈʃuɣul ˈzeːn	This man is looking for a good job.	qaf;interdental;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	gāʕid progressive (Gulf); rayyāl; ذ retained hāða; ق=/ɡ/ gāʕid; geminates يّ وّ; qaf→[ɡ] + interdental retention (Eastern Arabian) per (albalushi2016)
ar-KW-006	قُوم سَوِّ الشَّاي وْيَلَّا نَقْعَد.	قوم سو الشاي ويلا نقعد.	ˈɡuːm ˈsawwi ʃˈʃaːj ˈwjallaː ˈnaɡʕad	Get up, make the tea, and let's sit down.	qaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;imperative	Kuwaiti imperatives gum/sawwi with qaf→g (alshammari2026); sun assimilation ash-shay
ar-KW-007	الْيَوم الجَو حَارّ وَايِد ومُو زَين.	اليوم الجو حار وايد ومو زين.	alˈjoːm ˈaldʒoː ˈħaːrr ˈwaːjid ˈwmuː ˈzeːn	Today the weather is very hot and not nice.	jim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	mū negator + wāyid intensifier (Kuwaiti; albalushi2016); jaww→[dʒoː]; ē/ō monophthongs
ar-KW-008	بِچَم هَذَا؟ بِدِينَارَين.	بچم هذا؟ بدينارين.	ˈbitʃam ˈhaðaː bidiːnaːˈreːn	How much is this? Two dinars.	interdental;long_vowel;diphthong;question;number	bicham 'how much' with kaf-affrication چ=[tʃ] before /i/ (alshammari2026); dīnārēn dual; ذ retained
ar-KW-009	عِنْدِي مَوعِد السَّاعَة خَمْس العَصُر.	عندي موعد الساعة خمس العصر.	ˈʕindiː ˈmoːʕid asˈsaːʕa ˈxams ˈalʕɑsˤur	I have an appointment at five in the afternoon.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	mawʕid→[moːʕid] monophthong; sun assimilation as-sāʕa; emphatic ص; xams number; Eastern-Arabian vowel phonology + sun assimilation per (albalushi2016)
ar-KW-010	اِحْنَا سَاكْنِين فِي الجَهْرَاء مِن زَمَان.	احنا ساكنين في الجهراء من زمان.	ˈʔiħnaː saːkˈniːn ˈfiː ldʒahˈraːʔ ˈmin zaˈmaːn	We have been living in Al-Jahra for a long time.	jim;kaf;hamza;pharyngeal;long_vowel;statement	iḥna 1pl pronoun (Gulf; albalushi2016); Jahra Kuwaiti town; jim=[dʒ]
