id	sentence	raw	ipa	gloss_en	features	notes
ar-JO-001	مَرْحَبَا، كِيف حَالَك الْيَوم يَا زَلَمِة؟	مرحبا، كيف حالك اليوم يا زلمة؟	ˈmarħabaː ˈkiːf ˈħaːlak alˈjoːm jaː ˈzalame	Hello, how are you today, man?	kaf;ta_marbuta;pharyngeal;long_vowel;diphthong;question	zalame 'man' (Jordanian lexical marker, alwer2020); kīf ḥālak; imala -e in زَلَمِة
ar-JO-002	هَسَّا الطَّقْس حِلُو بِعَمَّان وَالسَّمَا صَافْيِة.	هسا الطقس حلو بعمان والسما صافية.	ˈhassaː tˤˈtˤɑɡs ˈħiluː biʕamˈmaːn ˈwassamaː ˈsˤɑːfje	Right now the weather is nice in Amman and the sky is clear.	qaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	hassa 'now' (alwer2020); geminates سّ مّ; sun assimilation aṭ-ṭ; Ammani final -e (fadda2016)
ar-JO-003	مَا بِدِّي أَطْلَع مِن الْبَيت، بَرَّا شُوب كْثِير.	ما بدي أطلع من البيت، برا شوب كثير.	maː ˈbiddiː ˈʔɑtˤlaʕ min alˈbeːt ˈbarraː ˈʃuːb ˈktiːr	I don't want to leave the house, it's very hot outside.	interdental;kaf;hamza;emphatic;pharyngeal;geminate;long_vowel;diphthong;negation	biddi (alwer2020; cowell1964); ث→/t/ urban Ammani stop reflex (alwer2020: koine variable θ~t); monophthong ē in بيت
ar-JO-004	قَدَّيش حَقّ خَمْس كِيلُو بَنَدُورَا مِن السُّوق؟	قديش حق خمس كيلو بندورا من السوق؟	ɡadˈdeːʃ ˈħaɡɡ ˈxams ˈkiːluː banaˈduːraː min asˈsuːɡ	How much are five kilos of tomatoes from the market?	qaf;kaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;question;number	banadōra 'tomato' (Levantine lexeme, cowell1964); ق=/g/ (alwer2020: Ammani koine masculine/fallāḥi variant; women favour /ʔ/)
ar-JO-005	جَارْنَا الظَّابِط رَجَع مِن الشُّغُل مَبْسُوط.	جارنا الظابط رجع من الشغل مبسوط.	ˈdʒaːrnaː dˤˈdˤɑːbitˤ ˈradʒaʕ min ˈaʃʃuɣul mabˈsuːtˤ	Our neighbour the officer came back from work happy.	jim;interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	ظ reflex in ẓābiṭ (alwer2020: interdental-emphatic retention variable); ج=/dʒ/ Jordanian (alwer2020)
ar-JO-006	اِسْمَع يَا زَلَمِة، عِدّ لَعَشَرَة وْبَعْدَين اِحْكِي.	اسمع يا زلمة، عد لعشرة وبعدين احكي.	ˈʔismaʕ jaː ˈzalame ˈʕidd laˈʕaʃara wbaʕˈdeːn ˈʔiħkiː	Listen man, count to ten and then speak.	kaf;ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;imperative	Ammani imperatives ismaʕ/ʕidd/ihki with vocative zalame showing final imala (alwer2020)
ar-JO-007	الدُّنْيَا مِش بَارْدِة الْيَوم، بَس فِي شْوَي غَيم.	الدنيا مش باردة اليوم، بس في شوي غيم.	adˈdunjaː ˈmiʃ ˈbaːrde lˈjoːm ˈbas fiː ˈʃweː ˈɣeːm	The weather is not cold today, there is just a little cloud.	ta_marbuta;sun_assim;geminate;long_vowel;diphthong;statement;negation	mish nominal negation (cowell1964); barde with Ammani final imala -e (fadda2016; alwer2020); ghēm/il-yoːm monophthongs aj/aw→eː/oː (fadda2016:30)
ar-JO-008	بِقَدَّيش الْكِيلُو تُفَّاح، بِدِينَار وِلَّا بِدِينَارَين؟	بقديش الكيلو تفاح، بدينار ولا بدينارين؟	biɡadˈdeːʃ alˈkiːluː tufˈfaːħ bidiːˈnaːr ˈwillaː bidiːnaːˈreːn	How much is a kilo of apples, one dinar or two dinars?	qaf;kaf;pharyngeal;geminate;long_vowel;diphthong;question;number	qaddēsh price interrogative (cowell1964); dinarēn dual (diphthong number); ق=[g] Ammani koine masculine variant (alwer2020:560)
ar-JO-009	عِنْدِي مَوعِد السَّاعَة تَلَاتِة عِنْد الدَّكْتُور.	عندي موعد الساعة تلاتة عند الدكتور.	ˈʕindiː ˈmoːʕid asˈsaːʕa taˈlaːte ˈʕind addakˈtuːr	I have an appointment at three oclock at the doctors.	kaf;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;number	talāte three with final imala -e (fadda2016; alwer2020); mawʕid diphthong aw→oː (fadda2016:30); sun assimilation s-sāʕa, d-daktōr
ar-JO-010	أَنَا سَاكِن بِعَمَّان مَع أَهْلِي وِإِخْوَاتِي.	أنا ساكن بعمان مع أهلي وإخواتي.	ˈʔanaː ˈsaːkin biʕamˈmaːn ˈmaʕ ˈʔahliː wiʔixˈwaːtiː	I live in Amman with my family and my siblings.	kaf;hamza;pharyngeal;geminate;long_vowel;statement	sākin bi- residence frame; ikhwāti siblings (cowell1964); geminate mm in ʕammān
ar-JO-011	لِفّ يَمِين عِنْد الإِشَارَة وْبَعْدَين دُغْرِي.	لف يمين عند الإشارة وبعدين دغري.	ˈliff jaˈmiːn ˈʕind alʔiˈʃaːra wbaʕˈdeːn ˈduɣriː	Turn right at the traffic light and then go straight.	hamza;ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;imperative	dughri straight-ahead and baʕdēn then (cowell1964); imperative liff geminate; baʕdēn diphthong aw→eː (fadda2016:30)
ar-JO-012	الأَكِل كَان كْتِير زَاكِي وِطَعْمُه حِلُو.	الأكل كان كتير زاكي وطعمه حلو.	ˈalʔakil ˈkaːn ˈktiːr ˈzaːkiː wiˈtˤɑʕmuh ˈħiluː	The food was very tasty and its flavour was sweet.	kaf;hamza;emphatic;pharyngeal;long_vowel;statement	zāki tasty, ktīr very (cowell1964); kān past copula; emphatic ṭ in ṭaʕmo
ar-JO-013	لْوَين رَايِح؟ لِسَّا مَا قَرَّرِت.	لوين رايح؟ لسا ما قررت.	ˈlweːn ˈraːjiħ ˈlissaː maː ˈɡarrarit	Where are you going? I have not decided yet.	qaf;pharyngeal;geminate;long_vowel;diphthong;question;negation	lwēn to-where, lissa not-yet, mā preverbal negation (cowell1964); ق=[g] garrarit (alwer2020:560); ē in lwēn from aj (fadda2016:30)
ar-JO-014	كَم أَخ وِأُخِت عِنْدَك بِالْبَيت؟	كم أخ وأخت عندك بالبيت؟	ˈkam ˈʔax ˈwiʔuxit ˈʕindak bilˈbeːt	How many brothers and sisters do you have at home?	kaf;hamza;pharyngeal;long_vowel;diphthong;question;number	kam how-many quantifier (cowell1964); bēt with monophthong aj→eː (fadda2016:30)
ar-JO-015	إِذَا بِتِيجِي بُكْرَا بِنْرُوح عَ السُّوق سَوَا.	إذا بتيجي بكرا بنروح ع السوق سوا.	ˈʔizaː biˈtiːdʒiː ˈbukraː binˈruːħ ʕa sˈsuːɡ ˈsawaː	If you come tomorrow, we will go to the market together.	qaf;jim;interdental;kaf;hamza;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	iza conditional, bitīji/binrūḥ b-imperfect, sawa together, proclitic ʕa- + article (cowell1964); ق=[g] sūg (alwer2020:560); sun assim s-sūq; respelled ʕa+article as two tokens so the article assimilates (ʕa s-suːɡ) — the fused عَال spelling left a spurious [l] before the sun letter
ar-JO-016	مْبَارِح رُحِت عَالْبَلَد وْجِبِت خُضْرَة وْفَوَاكِه.	مبارح رحت عالبلد وجبت خضرة وفواكه.	ˈmbaːriħ ˈruħit ˈʕaːlbalad ˈwdʒibit ˈxudˤra wfaˈwaːkih	Yesterday I went to town and brought vegetables and fruit.	jim;kaf;ta_marbuta;emphatic;pharyngeal;long_vowel;statement	mbāriḥ yesterday, ruḥit/jibit 1sg perfect with epenthesis, ʕa-l-balad to-town (cowell1964)
ar-JO-017	رَح نْسَافِر عَالْعَقَبَة الأُسْبُوع الْجَاي.	رح نسافر عالعقبة الأسبوع الجاي.	ˈraħ ˈnsaːfir ʕaːlˈʕaɡaba lʔusˈbuːʕ alˈdʒaːj	We are going to travel to Aqaba next week.	qaf;jim;hamza;ta_marbuta;pharyngeal;long_vowel;statement	raḥ future particle + n- 1pl imperfect, il-jāy the-coming (cowell1964); ق=[g] ʕaɡaba (alwer2020:560)
ar-JO-018	أَلُو، مِين مَعِي؟ حَاوَلِت أَحْكِي مَعَك مْبَارِح.	ألو، مين معي؟ حاولت أحكي معك مبارح.	ˈʔaluː ˈmiːn ˈmaʕiː ˈħaːwalit ˈʔaħkiː ˈmaʕak ˈmbaːriħ	Hello, who is this? I tried to talk to you yesterday.	kaf;hamza;pharyngeal;long_vowel;question	alo / mīn maʕi phone-answer frame, ḥāwal try, aḥki talk (cowell1964)
ar-JO-019	صَبَاح الْخَير، كِيفَك؟ الْحَمْد لِلَّه تَمَام.	صباح الخير، كيفك؟ الحمد لله تمام.	sˤɑˈbaːħ alˈxeːr ˈkiːfak alˈħamd ˈlillah taˈmaːm	Good morning, how are you? Praise God, fine.	kaf;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	ṣabāḥ el-khēr / kīfak / il-ḥamdillāh greeting adjacency pair (cowell1964); khēr monophthong aj→eː (fadda2016:30)
ar-JO-020	الصَّبِر مِفْتَاح الْفَرَج، وِتِصْبَح عَلَى خَير.	الصبر مفتاح الفرج، وتصبح على خير.	ˈɑsˤsˤɑbir mifˈtaːħ ˈalfaradʒ wiˈtisˤbaħ ˈʕalaː ˈxeːr	Patience is the key to relief, and good night.	jim;sun_assim;emphatic;pharyngeal;long_vowel;diphthong;statement	iṣ-ṣabir miftāḥ il-faraj proverb + tiṣbaḥ ʕala khēr closing formula (cowell1964); sun assim ṣ-ṣabir; ج=[dʒ] faraj (alwer2020:560)
