id	sentence	ipa	gloss_en	features	notes
eu-x-zuberera-001	Üskara ederra da eta zaharra.	ys̺kaɾa edera da eta s̻ahara	Basque is beautiful and old.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_sibilant_laminal;eu_front_rounded;eu_aspiration;statement	Souletin front-rounded ⟨ü⟩ [y] 'üskara' per egurtzegi2013; laminal ⟨z⟩ [s̻] 'zaharra' and ⟨h⟩ [h] per hualde2018_aspiration.
eu-x-zuberera-002	Gük hitza jakin dügü.	ɡyk hits̻a jakin dyɡy	We have learned the word.	seseo;eu_affricate_laminal;eu_front_rounded;eu_aspiration;statement	Souletin 'gü' (we), 'dügü' with ⟨ü⟩ [y] per lafon1999; laminal affricate ⟨tz⟩ [ts̻] 'hitza' and ⟨h⟩ [h] per hualde2018_aspiration.
eu-x-zuberera-003	Hür hori hotza düzü.	hyr hoɾi hots̻a dys̻y	That water is cold.	seseo;eu_sibilant_laminal;eu_affricate_laminal;eu_front_rounded;eu_aspiration;statement	Souletin 'hür' (water) [y] and 'düzü' per egurtzegi2013; laminal affricate ⟨tz⟩ [ts̻] 'hotza' and ⟨h⟩ [h] per hualde2018_aspiration.
eu-x-zuberera-004	Etxe txipia züria da.	etʃe tʃipia s̻yɾia da	The small house is white.	seseo;eu_sibilant_laminal;eu_affricate_postalveolar;eu_front_rounded;statement	Souletin 'txipi' (small) and 'züri' [y]; post-alveolar affricate ⟨tx⟩ [tʃ] 'etxe', 'txipia' per lafon1999.
eu-x-zuberera-005	Phartitü nüzü herrialat.	phartity nys̻y herialat	I have departed for the village.	seseo;rhotic;eu_sibilant_laminal;eu_front_rounded;eu_aspiration;statement	Souletin aspirated stop ⟨ph⟩ [pʰ] 'phartitü' and ⟨ü⟩ [y] 'nüzü' per egurtzegi2013; trill ⟨rr⟩ [r] 'herrialat'.
eu-x-zuberera-006	Ürhentü düt ene lana.	yrhenty dyt ene lana	I have finished my work.	eu_front_rounded;eu_aspiration;statement	Souletin ⟨ü⟩ [y] 'ürhentü', 'düt' and ⟨h⟩ [h] 'ürhentü' per egurtzegi2013.
eu-x-zuberera-007	Oilarra goizan khantari ari düzü.	oi̯lara ɡoi̯s̻an kʰantaɾi aɾi dys̻y	The rooster is singing in the morning.	seseo;rhotic;sandhi;eu_sibilant_laminal;eu_front_rounded;statement	Souletin aspirated ⟨kh⟩ [kʰ] 'khantari' and 'düzü' [y]; trill ⟨rr⟩ [r] 'oilarra' per egurtzegi2013.
eu-x-zuberera-008	Gaixua nüzü, minez nago.	ɡai̯ʃua nys̻y mines̻ naɡo	I am sick, I am in pain.	seseo;eu_sibilant_laminal;eu_sibilant_postalveolar;eu_front_rounded;statement	Souletin 'gaixu' and 'nüzü' [y]; post-alveolar ⟨x⟩ [ʃ] 'gaixua' and laminal ⟨z⟩ [s̻] 'minez' per lafon1999.
eu-x-zuberera-009	Bihotza taupaz ari zait.	bihots̻a tau̯pas̻ aɾi s̻ai̯t	My heart is pounding.	seseo;eu_sibilant_laminal;eu_affricate_laminal;eu_aspiration;statement	⟨h⟩ [h] 'bihotza' and laminal affricate ⟨tz⟩ [ts̻] per hualde2018_aspiration.
eu-x-zuberera-010	Anderiak liburia eman deitazü.	andeɾiak libuɾia eman dei̯tas̻y	The lady gave me the book.	seseo;sandhi;eu_sibilant_laminal;eu_front_rounded;statement	Souletin dative 'deitazü' [y] and article '-ia'; vowel-junction 'anderiak liburia'? coverage per lafon1999.
eu-x-zuberera-011	Onddo eder bat hartü dügü oihanian.	onɟo eder bat harty dyɡy oi̯hanian	We took a fine mushroom in the wood.	sandhi;eu_palatal_stop;eu_front_rounded;eu_aspiration;statement	Souletin 'hartü', 'dügü' [y]; palatal plosive ⟨dd⟩ [ɟ] 'onddo' and ⟨h⟩ [h] per hualde2018_aspiration.
eu-x-zuberera-012	Ttantta bat erori düzü lürrilat.	canca bat eɾoɾi dys̻y lyrilat	A drop has fallen to the ground.	seseo;rhotic;eu_sibilant_laminal;eu_palatal_stop;eu_front_rounded;statement	Souletin 'lür' [y] and 'düzü'; palatal plosive ⟨tt⟩ [c] 'ttantta' and trill 'lürrilat' per egurtzegi2013.
eu-x-zuberera-013	Xagü txipi bat lasterka doa.	ʃaɡy tʃipi bat las̺terka doa	A little mouse runs off.	eu_sibilant_apical;eu_sibilant_postalveolar;eu_affricate_postalveolar;eu_front_rounded;statement	Souletin 'xagü' [y]; post-alveolar ⟨x⟩ [ʃ] 'xagü' and ⟨tx⟩ [tʃ] 'txipi' per lafon1999.
eu-x-zuberera-014	Eskia garbitü behar düzü.	es̺kia ɡarbity behar dys̻y	You must wash your hand.	seseo;gheada;eu_sibilant_apical;eu_sibilant_laminal;eu_front_rounded;eu_aspiration;statement	Souletin 'garbitü', 'düzü' [y]; apical ⟨s⟩ [s̺] 'eskia' and ⟨h⟩ [h] 'behar' per egurtzegi2013.
eu-x-zuberera-015	Mintza gitian algarreki.	mints̻a ɡitian alɡareki	Let us speak with one another.	seseo;rhotic;eu_affricate_laminal;imperative	Souletin 'algarreki'; laminal affricate ⟨tz⟩ [ts̻] 'mintza' and trill ⟨rr⟩ [r] per lafon1999.
eu-x-zuberera-016	Gatza eta biperra mahañ gañ.	ɡats̻a eta bipera mahaɲ ɡaɲ	The salt and pepper on the table.	seseo;palatal_nasal;gheada;rhotic;sandhi;eu_affricate_laminal;eu_aspiration;statement	Souletin palatal nasal 'mahañ', 'gañ' [ɲ]; laminal affricate ⟨tz⟩ [ts̻] 'gatza' and ⟨h⟩ [h] per lafon1999.
eu-x-zuberera-017	Zühañak hostuak galtzen dütü.	s̻yhaɲak hos̺tuak ɡalts̻en dyty	The tree is losing its leaves.	seseo;palatal_nasal;gheada;eu_sibilant_apical;eu_sibilant_laminal;eu_affricate_laminal;eu_front_rounded;eu_aspiration;statement	Souletin 'zühañ' with ⟨ü⟩ [y] and palatal nasal ⟨ñ⟩ [ɲ]; ⟨h⟩ [h] and ⟨tz⟩ [ts̻] 'galtzen' per egurtzegi2013.
eu-x-zuberera-018	Neska eta mutila algarreki dabiltza.	nes̺ka eta mutila alɡareki dabilts̻a	The girl and the boy walk together.	seseo;rhotic;sandhi;eu_sibilant_apical;eu_affricate_laminal;statement	Souletin 'algarreki'; apical ⟨s⟩ [s̺] 'neska' and laminal affricate ⟨tz⟩ [ts̻] 'dabiltza' per lafon1999.
eu-x-zuberera-019	Gaztelü zaharra mendixkaren gañ düzü.	ɡas̻tely s̻ahara mendiʃkaɾen ɡaɲ dys̻y	The old castle stands on the little hill.	seseo;palatal_nasal;gheada;rhotic;eu_sibilant_laminal;eu_sibilant_postalveolar;eu_front_rounded;eu_aspiration;statement	Souletin 'gaztelü' [y], palatal nasal 'gañ' [ɲ] and post-alveolar ⟨x⟩ [ʃ] 'mendixkaren' per egurtzegi2013.
eu-x-zuberera-020	Herriko bestak nuiz hasten dira?	heriko bes̺tak nui̯s̻ has̺ten diɾa	When do the village festivals begin?	seseo;rhotic;eu_sibilant_apical;eu_sibilant_laminal;eu_aspiration;question	Souletin 'nuiz'; ⟨h⟩ [h] 'herriko', 'hasten' and trill ⟨rr⟩ [r] per hualde2018_aspiration.
