id	sentence	raw	ipa	gloss_en	features	notes
ar-MA-001	لَبَاس عْلِيك؟ كِي دَايِر الْيُوم؟	لباس عليك؟ كي داير اليوم؟	laˈbaːs ˈʕliːk ˈkiː ˈdaːjir alˈjuːm	Are you well? How are you doing today?	kaf;pharyngeal;long_vowel;question	labās greeting, ki dāyr (harrell1962 §greetings; PADIC-MOROCCAN attests dāyr); initial cluster ʕl-
ar-MA-002	اَلْجَوّ زْوِين الْيُوم وَالشَّمْش طَالْعَة بِكْرِي.	الجو زوين اليوم والشمش طالعة بكري.	alˈʒaww ˈzwiːn alˈjuːm waʃˈʃamʃ ˈtˤɑːlʕa ˈbəkriː	The weather is nice today and the sun rose early.	jim;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	zwīn 'nice' (harrell1962 s.v.); ج=/ʒ/ (heath2020); شمش Darija form with final š (harrell1962); bikri 'early'; short high /i/ reduces to schwa before a cluster — weak-position syncope (heath2020; watson2002)
ar-MA-003	مَا بْغِيتْش قَهْوَة، بْغِيت أَتَاي بِالنَّعْنَاع.	ما بغيتش قهوة، بغيت أتاي بالنعناع.	ˈmaː ˈbɣiːtʃ ˈqahwa ˈbɣiːt ʔaˈtaːj binnaʕˈnaːʕ	I don't want coffee, I want tea with mint.	qaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;negation	circumfix negation ma-...-š (harrell1962 §negation); bɣīt 'I want'; atāy 'tea' (Darija); ق=/q/ urban (noamane2020)
ar-MA-004	شْرِيت تْلَاتَة كِيلُو مَاطِيشَة مِن السُّوق بِعَشْرَة دْرَاهِم.	شريت تلاتة كيلو ماطيشة من السوق بعشرة دراهم.	ˈʃriːt ˈtlaːta ˈkiːluː mɑːˈtˤiːʃa ˈmin asˈsuːq biˈʕaʃra ˈdraːhim	I bought three kilos of tomatoes from the market for ten dirhams.	qaf;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement;number	maṭīša 'tomato' (Darija lexeme, harrell1962); ث→/t/ tlāta (heath2020: stop reflexes); initial clusters šr-/tl-/dr-
ar-MA-005	هَادْ الرَّاجِل خْدَّام بْزَّاف وْمَا كَيْگْلَسْش فِي الظُّهْر.	هاد الراجل خدام بزاف وما كيگلسش في الظهر.	ˈhaːd arˈraːʒil ˈxddaːm ˈbzzaːf ˈwmaː kajɡˈlasʃ ˈfiː dˤˈdˤuhr	This man works a lot and doesn't sit down at noon.	jim;interdental;kaf;sun_assim;emphatic;geminate;long_vowel;statement;negation	bzzāf 'a lot' (harrell1962); گ=/ɡ/ in kayglas (Darija g, heath2020); durative ka-/kay- (ennaji2004); ma-...-š
ar-MA-006	سِير لِلسُّوق وْشْرِي الْخُبْز، عَافَاك.	سير للسوق وشري الخبز، عافاك.	ˈsiːr lisˈsuːq ˈwʃriː lˈxubz ʕaːˈfaːk	Go to the market and buy the bread, please.	qaf;kaf;pharyngeal;geminate;long_vowel;imperative	Darija imperatives sir/shri (harrell1962); heavy onset clusters from vowel syncope; ʕafak politeness tag
ar-MA-007	الْيُوم الْجَوّ بَارْد وْمَا كَايْنْش الشّْتَا.	اليوم الجو بارد وما كاينش الشتا.	alˈjuːm alˈʒaww ˈbaːrd ˈwmaː ˈkaːjnʃ ˈaʃʃtaː	Today the weather is cold and there is no rain.	jim;kaf;sun_assim;geminate;long_vowel;diphthong;statement;negation	bard 'cold', existential negation ma kayn-š (harrell1962 §negation); š-šta 'the rain' sun-assimilated (shadda on sīn); w-ma proclitic before consonant
ar-MA-008	بِشْحَال هَاد الْخُبْز؟ بْجُوج دْرَاهِم.	بشحال هاد الخبز؟ بجوج دراهم.	bəʃˈħaːl ˈhaːd alˈxubz ˈbʒuːʒ ˈdraːhim	How much is this bread? Two dirhams.	jim;pharyngeal;long_vowel;question;number	bšḥal 'how much', juj 'two' (Darija numeral, harrell1962); ق=/q/ urban reflex (noamane2020); initial clusters bʒ-/dr-; short high /i/ reduces to schwa before a cluster — weak-position syncope (heath2020; watson2002)
ar-MA-009	عَنْدِي مَوْعِد مْعَ الطّْبِيب فْالتّْلَاتَة.	عندي موعد مع الطبيب فالتلاتة.	ˈʕandiː ˈmawʕid ˈmʕa tˤtˤˈbiːb fattˈlaːta	I have an appointment with the doctor at three.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	ʕndi 'I have', mʕa 'with', ṭbib 'doctor'; f-t-tlata 'at three' with ث→t stop reflex (heath2020); ط emphatic
ar-MA-010	خُويَا كَيَسْكُن فْالرّْبَاط مْعَ الْعَايْلَة.	خويا كيسكن فالرباط مع العايلة.	ˈxuːjaː kaˈjaskun farrˈbɑːtˤ ˈmʕa lˈʕaːjla	My brother lives in Rabat with the family.	kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	xuya 'my brother', durative prefix ka-/kay- on the imperfect (ennaji2004); ʕayla 'family'; emphatic ṛ in Rbaṭ raises ā
