id	sentence	ipa	gloss_en	features	notes
ast-x-sanabria-001	O ceo nun esta claru güei.	o ˈθeo ˈnun ˈesta ˈklaɾu ˈɡwei	The sky is not clear today.	distincion;final_u;statement;negation	Predorsal <c> before front vowel [θ] 'ceo' and 'güei' (< today) per frias_conde_sanabria; final atonic -o>-u 'claru' per garcia_arias2003.
ast-x-sanabria-002	Estos çapatos cuostan cuarenta euros.	ˈestos θaˈpatos kwosˈtan kwaˈɾenta ˈewɾos	These shoes cost forty euros.	distincion;diphthong_ie_ue;sandhi;statement;number	Tonic Ŏ>/wo/ 'cuostan' (more archaic than Castilian /we/) per frias_conde_sanabria, p.3; ç>[θ] per garcia_arias2003.
ast-x-sanabria-003	La xunta ye manhana a las tres.	la ˈʃunta ˈʝe maˈɲana a ˈlas ˈtɾes	The gathering is tomorrow at three.	yeismo;palatal_nasal;sandhi;statement;number	<x> [ʃ] 'xunta' (four-way sibilant system /s ʃ θ tʃ/) and copula 'ye' per frias_conde_sanabria; palatal <nh> [ɲ] per garcia_arias2003.
ast-x-sanabria-004	El miou irmao bibe cerca del riu.	el ˈmjou ˈiɾmao ˈbiβe ˈθeɾka del ˈrju	My brother lives near the river.	distincion;rhotic;sandhi;statement	Masc. article 'el' and betacism 'bibe' (< vive) per garcia_arias2003; word-initial trill [r] 'riu' per frias_conde_sanabria.
ast-x-sanabria-005	Bai en frente i tuorce pela primeira caleya.	ˈbaj en ˈfɾente ˈi ˈtwoɾθe pela pɾiˈmejɾa kaˈleʝa	Go straight ahead and turn on the first lane.	distincion;yeismo;diphthong_ie_ue;sandhi;imperative	Tonic Ŏ>/wo/ 'tuorce' and <-eiro/-eira> outcome 'primeira' per frias_conde_sanabria; -LJ- > [ʝ] 'caleya' per garcia_arias2003.
ast-x-sanabria-006	La sopa de peixe estaba mui saborosa.	la ˈsopa de ˈpejʃe esˈtaβa ˈmwi saβoˈɾosa	The fish soup was very tasty.	sandhi;statement	<ei> 'peixe' and imperfect -aba per frias_conde_sanabria; coda [s] not [ʃ] (no chiado) and no vowel reduction per garcia_arias2003.
ast-x-sanabria-007	Onde cueyo el coche?	ˈonde kweˈʝo el ˈkotʃe	Where do I take the coach?	yeismo;diphthong_ie_ue;sandhi;question	Tonic Ŏ>/wo/ 'cueyo' [kwe-]? -LJ->[ʝ] 'cueyo' (< I take) per garcia_arias2003; <ch> [tʃ] 'coche' per frias_conde_sanabria.
ast-x-sanabria-008	Cuantas personas bienen a cenar?	ˈkwantas peɾˈsonas bjeˈnen a θeˈnaɾ	How many people are coming to supper?	distincion;diphthong_ie_ue;sandhi;question;number	Diphthong <ie> [je] 'bienen' with preserved -n as a consonant (no PT nasal vowel) per frias_conde_sanabria; predorsal <c> [θ] 'cenar' per garcia_arias2003.
ast-x-sanabria-009	Se you podiera, mercaba aquela casa.	se ˈʝow poˈðjeɾa meɾˈkaβa aˈkela ˈkasa	If I could, I would buy that house.	yeismo;diphthong_ie_ue;sandhi;statement	1sg pronoun 'you' [ʝow] and imperfect -aba per frias_conde_sanabria; 'mercar' (< to buy) per garcia_arias2003.
ast-x-sanabria-010	Mercamos figos i berças na feira.	meɾˈkamos ˈfiɣos ˈi ˈbeɾθas na ˈfejɾa	We bought figs and greens at the fair.	distincion;sandhi;statement	F- retention 'figos' [f] per frias_conde_sanabria, p.4; betacism 'berças' and <ei> 'feira' per garcia_arias2003.
ast-x-sanabria-011	Manhana imos de barcu ata la ribeira.	maˈɲana ˈimos de ˈbaɾku ˈata la riˈβejɾa	Tomorrow we go by boat to the riverside.	palatal_nasal;final_u;rhotic;sandhi;statement	Palatal <nh> [ɲ] 'manhana' and <-eira> 'ribeira' per garcia_arias2003; word-initial trill [r] 'ribeira' per frias_conde_sanabria.
ast-x-sanabria-012	Chama-me cuando chegares a casa.	ˈtʃama me ˈkwando tʃeˈɣaɾes a ˈkasa	Call me when you get home.	sandhi;imperative	PL-/KL-/FL- > <ch> [tʃ] 'chama' (< clamare) per frias_conde_sanabria, p.4; -n preserved 'cuando' (no nasal vowel) per garcia_arias2003.
ast-x-sanabria-013	Buonas tardes, como te ba la cousa?	ˈbwonas ˈtaɾdes ˈkomo te ˈba la ˈkowsa	Good afternoon, how are things with you?	diphthong_ie_ue;question	Tonic Ŏ>/wo/ 'buonas' and betacism 'ba' (< vai) per frias_conde_sanabria; retained <ou> 'cousa' per garcia_arias2003.
ast-x-sanabria-014	Mais bal un paxaru na mano que dous bolando.	ˈmajs ˈbal un paˈʃaɾu na ˈmano ke ˈdows boˈlando	A bird in the hand is worth two in the bush.	final_u;sandhi;statement	Betacism 'bal'/'bolando' and <x> [ʃ] 'paxaru' per garcia_arias2003; retained <ou> 'dous' and intervocalic -n- 'mano' per frias_conde_sanabria.
ast-x-sanabria-015	El gatu ñegro duorme cabo del lhume.	el ˈɡatu ˈɲeɡɾo ˈdwoɾme ˈkaβo del ˈʎume	The black cat sleeps by the fire.	lateral_palatal;palatal_nasal;palatal_initial;diphthong_ie_ue;final_u;statement	Initial N- > [ɲ] 'ñegro' per frias_conde_sanabria, p.4; tonic Ŏ>/wo/ 'duorme' per garcia_arias2003.
ast-x-sanabria-016	Aquel ratu fugiu pa el buracu.	aˈkel ˈratu ˈfuʒju pa el buˈɾaku	That mouse fled into the hole.	final_u;sibilant_voicing;rhotic;sandhi;statement	Word-initial trill [r] 'ratu' and final atonic -u ('ratu','buracu') per garcia_arias2003; masc. article 'el' per frias_conde_sanabria.
ast-x-sanabria-017	Todu el mundo fala deste feito.	ˈtoðu el ˈmundo ˈfala ˈdeste ˈfejto	The whole world talks about this deed.	final_u;sandhi;statement	/kt/>/it/ 'feito' [ejt] per frias_conde_sanabria, p.4; F- retention 'fala' and final -u 'todu' per garcia_arias2003.
ast-x-sanabria-018	Ye mui lludio cuando bebe.	ˈʝe ˈmwi ˈʎuðjo ˈkwando ˈbeβe	He is very tiresome when he drinks.	lateral_palatal;palatal_initial;statement	Initial L- > [ʎ] 'lludio' (< all Latin initial L- palatalises) per frias_conde_sanabria, p.4; /b/ retained 'bebe' per garcia_arias2003.
ast-x-sanabria-019	La lluz del sol relluz por riba de las llombas.	la ˈʎuθ del ˈsol reˈʎuθ poɾ ˈriβa de ˈlas ˈʎombas	The light of the sun shines over the hills.	distincion;lateral_palatal;palatal_initial;rhotic;sandhi;statement	Initial and -LL- > [ʎ] 'lluz','relluz','llombas' per frias_conde_sanabria, p.4; coda /l/ 'sol' and trill onset [r] per garcia_arias2003.
