id	sentence	ipa	gloss_en	features	notes
gl-x-occidental-001	O gato gris non está no tellado hoxe.	o ˈhato ˈhɾis ˈnoŋ eˈsta no teˈʎaðo ˈoʃe	The grey cat is not on the roof today.	lateral_palatal;gheada;velar_nasal;sandhi;statement;negation	Gheada: /ɡ/ realised as a voiceless fricative [h] in onset 'gato' [hato] and before a liquid 'gris' [hɾis] — the defining western reflex; palatal lateral ⟨ll⟩ [ʎ] 'tellado'; coda [ŋ] 'non' per fernandez_rei1990.
gl-x-occidental-002	Estes zapatos custan corenta euros.	ˈestes θaˈpatos ˈkustaŋ koˈɾenta ˈewɾos	These shoes cost forty euros.	distincion;velar_nasal;sandhi;statement;number	Distinción retained alongside gheada: ⟨z⟩ [θ] 'zapatos' — this spec models gheada, not the coastal seseo; coda [ŋ] and ⟨s⟩+voiced sandhi per fernandez_rei1990.
gl-x-occidental-003	A xuntanza cos amigos é mañá ás tres.	a ʃuˈntanθa kos aˈmihos ˈɛ maˈɲa ˈas ˈtɾes	The gathering with the friends is tomorrow at three.	distincion;palatal_nasal;gheada;open_mid;sandhi;statement;number	Gheada intervocalic 'amigos' [amihos]; open-mid [ɛ] 'é'; palatal nasal ⟨ñ⟩ [ɲ] 'mañá' per fernandez_rei1990.
gl-x-occidental-004	Meu irmán mergullouse na auga fría.	ˈmew iˈɾmaŋ meˈɾɡʎowse na ˈawha ˈfɾia	My brother plunged into the cold water.	lateral_palatal;gheada;velar_nasal;sandhi;statement	Gheada intervocalic 'auga' [awha]; palatal lateral ⟨ll⟩ [ʎ] 'mergullouse'; word-final velar [ŋ] 'irmán' per fernandez_rei1990.
gl-x-occidental-005	Vai de fronte e garda a grade no galpón.	ˈbaj de ˈfɾonte e ˈhaɾda a ˈhɾaðe no haˈlpɔŋ	Go straight ahead and store the harrow in the shed.	gheada;open_mid;velar_nasal;sandhi;imperative	Gheada across onsets 'garda' [haɾda], 'grade' [hɾaðe], 'galpón' [halpɔŋ]; open-mid [ɔ] and coda [ŋ] 'galpón' per fernandez_rei1990.
gl-x-occidental-006	A caldeirada daquel lugar estaba moi boa.	a kaldeˈjɾaða daˈkel luˈhaɾ eˈstaβa ˈmoj ˈboa	The fish stew at that place was very good.	gheada;statement	Gheada intervocalic 'lugar' [luhaɾ]; regional lexicon 'caldeirada' per fernandez_rei1990.
gl-x-occidental-007	Onde gardas a chave do garaxe?	ˈonde ˈhaɾdas a ˈtʃabe do haˈɾaʃe	Where do you keep the garage key?	gheada;sandhi;question	Gheada onset 'gardas' [haɾdas], 'garaxe' [haɾaʃe]; ⟨x⟩ [ʃ] 'garaxe' per fernandez_rei1990.
gl-x-occidental-008	Cantos gatos grandes teñen na granxa?	ˈkantos ˈhatos ˈhɾandes ˈteɲeŋ na ˈhɾanʃa	How many big cats do they have on the farm?	palatal_nasal;gheada;velar_nasal;sandhi;question	Gheada 'gatos'/'grandes'/'granxa' [hatos/hɾandes/hɾanʃa]; palatal nasal 'teñen' [teɲeŋ] with a velar coda per fernandez_rei1990.
gl-x-occidental-009	Se eu pagase, mercaría aquela galiña gorda.	se ˈew paˈhase meɾkaˈɾia aˈkela haˈliɲa ˈhoɾda	If I paid, I would buy that fat hen.	palatal_nasal;gheada;sandhi;statement	Gheada 'pagase'/'galiña'/'gorda'; palatal nasal ⟨ñ⟩ [ɲ] 'galiña' per fernandez_rei1990.
gl-x-occidental-010	Onte merquei cinco quilos de cereixas na praza.	ˈonte ˈmeɾkej ˈθinko ˈkilos de θeˈɾejʃas na ˈpɾaθa	Yesterday I bought five kilos of cherries in the square.	distincion;sandhi;statement;number	Distinción ⟨c/z⟩ [θ] 'cinco'/'cereixas'/'praza' — the coastal seseo merger is not modelled here, so /θ/ stays per freixeiro_mato1998.
gl-x-occidental-011	O ano que vén hei viaxar a Vigo.	o ˈano ke ˈbɛŋ ˈej bjaˈʃaɾ a ˈbiho	Next year I will travel to Vigo.	gheada;open_mid;velar_nasal;sandhi;statement	Gheada in the place-name 'Vigo' [biho]; open-mid [ɛ] 'vén'; ⟨x⟩ [ʃ] 'viaxar' per fernandez_rei1990.
gl-x-occidental-012	Chámame cando chegues ó regato.	ˈtʃamame ˈkando ˈtʃeɡes ˈɔ reˈhato	Call me when you reach the stream.	gheada;open_mid;rhotic;sandhi;imperative	Gheada 'regato' [rehato]; open-mid [ɔ] 'ó'; word-initial trill [r] 'regato' per fernandez_rei1990.
gl-x-occidental-013	Boas tardes, gústache o galego da bisbarra?	ˈboas ˈtaɾdes ˈhustatʃe o haˈleho da biˈsbara	Good afternoon, do you like the Galician of the district?	gheada;rhotic;sandhi;question	Gheada 'gústache'/'galego' [hustatʃe/haleho]; trill [r] 'bisbarra' per fernandez_rei1990.
gl-x-occidental-014	Máis vale paxaro na man que cento voando.	ˈmais ˈbale paˈʃaɾo na ˈmaŋ ke ˈθento ˈboando	A bird in the hand is worth two in the bush.	distincion;velar_nasal;sandhi;statement	⟨x⟩ [ʃ] 'paxaro' and distinción ⟨ce⟩ [θ] 'cento'; word-final velar [ŋ] 'man' per freixeiro_mato1998.
gl-x-occidental-015	O can gordo corre pola ribeira do río.	o ˈkaŋ ˈhoɾdo ˈkɔre ˈpɔla riˈβejɾa do ˈrio	The fat dog runs along the riverbank.	gheada;velar_nasal;rhotic;statement	Gheada 'gordo' [hoɾdo]; word-final velar [ŋ] 'can'; trill 'corre'/'río' per fernandez_rei1990.
gl-x-occidental-016	A muller vella colle a agulla amarela.	a muˈʎeɾ ˈbeʎa ˈkoʎe a ˈaɡʎa amaˈɾela	The old woman picks up the yellow needle.	lateral_palatal;sandhi;statement	Palatal lateral ⟨ll⟩ [ʎ] 'muller'/'vella'/'colle'/'agulla' (no yeísmo) per freixeiro_mato1998.
gl-x-occidental-017	O café da esquina é moi forte.	o kaˈfɛ da eˈskina ˈɛ ˈmoj ˈfoɾte	The coffee from the corner is very strong.	open_mid;sandhi;statement	Open-mid [ɛ] 'café'/'é'; hiatus 'esquina é' per freixeiro_mato1998.
gl-x-occidental-018	A viña da montaña dá bo viño.	a ˈbiɲa da moˈntaɲa ˈda ˈbo ˈbiɲo	The vineyard on the mountain gives good wine.	palatal_nasal;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'viña'/'montaña'/'viño' per freixeiro_mato1998.
gl-x-occidental-019	Unha das gaivotas gañou algunha migalla.	uŋa das haˈjbotas ˈhaɲow ˈalɡŋa miˈhaʎa	One of the gulls won some crumb.	lateral_palatal;palatal_nasal;gheada;velar_nasal;sandhi;statement	Gheada 'gaivotas'/'gañou' [hajbotas/haɲow]; palatal nasal 'gañou' [ɲ]; velar nasal ⟨nh⟩ [ŋ] 'unha' per fernandez_rei1990.
gl-x-occidental-020	A auga do rego move o gran muíño.	a ˈawha do ˈreho ˈmobe o ˈhɾaŋ ˈmuiɲo	The water of the channel turns the great mill.	palatal_nasal;gheada;velar_nasal;rhotic;sandhi;statement;number	Gheada 'rego'/'gran' [reho/hɾaŋ]; palatal nasal 'muíño'; word-initial trill [r] 'rego' per fernandez_rei1990.
