id	sentence	ipa	gloss_en	features	notes
ast-x-pasiego-001	La ḥoguera ardía nel lar.	la xoˈɡeɾa aˈɾdia ˈnel ˈlaɾ	The bonfire was burning in the hearth.	sandhi;statement	Pasiego aspirated Latin F-, written ⟨ḥ⟩, articulated [x] by conservative Pas speakers 'ḥoguera' (< focus) per penny2009_metaphony_iberia; 'lar' (hearth) inherited from the Cantabrian frame.
ast-x-pasiego-002	El llumiacu sube pola peña.	el ʎuˈmjaku ˈsuβe ˈpola ˈpeɲa	The slug climbs up the crag.	lateral_palatal;palatal_nasal;palatal_initial;final_u;statement	Defining Pasiego trait: Latin initial L->[ʎ] 'llumiacu' (slug) retained (no yeísmo), plus ⟨ñ⟩ [ɲ] 'peña' per penny2009_metaphony_iberia. NOTE: final -u 'llumiacu' is high and would metaphonically raise/centralise the stressed vowel (Penny set-2a) — DOCUMENTED, not applied by the table engine.
ast-x-pasiego-003	Ḥuegu nun ye lo mesmu que juegu.	ˈxweɡ ˈnun ˈʝe lo ˈmesmu ke ˈxweɡ	Fire is not the same as I-play.	diphthong_ie_ue;final_u;negation;statement	Conservative Pas keeps the F- reflex ⟨ḥ⟩ [x] distinct in the pair 'ḥuegu' (fire < F-) — here both map to [x] in the table engine, but the x/h contrast is documented — per penny2009_metaphony_iberia; tonic Ŏ>/ue/ 'ḥuegu','juegu'. Neuter/masculine final -u is metaphonic (DOCUMENTED, not mapped).
ast-x-pasiego-004	El pelu ta moyáu de la lluvia.	el ˈpelu ˈta moˈʝau de la ˈʎubja	The hair is wet from the rain.	lateral_palatal;palatal_initial;final_u;statement	-LL->[ʎ] 'lluvia' per penny2009_metaphony_iberia; 'pelu' is exactly the metaphony minimal-pair stem (ˈpɪlʊ metaphonic vs ˈpelʊ) — the raising is DOCUMENTED but out of grapheme->IPA scope, so the engine leaves the stressed vowel unraised.
ast-x-pasiego-005	La vaca pace la yerba nel prau.	la ˈbaka ˈpaθe la ˈʝeɾba ˈnel ˈpɾaw	The cow grazes the grass in the meadow.	distincion;statement	Distinción inherited from the Cantabrian frame: ⟨c⟩ before front vowel [θ] 'pace' per penny2009_metaphony_iberia; falling diphthong 'prau'. The ⟨y⟩ [ʝ] of 'yerba' is the etymological /j/ reflex, not a yeísta merger (Pasiego keeps [ʎ]).
ast-x-pasiego-006	¿Cuántos años tien to hermanu?	ˈkuantos̺ ˈaɲos̺ ˈtjen ˈto eˈɾmanu	How many years does your brother have?	palatal_nasal;diphthong_ie_ue;final_u;sandhi;question;number	⟨ñ⟩ [ɲ] 'años' and diphthong 'tien' per penny2009_metaphony_iberia; final -u 'hermanu' is metaphonic in Pasiego (raises the stressed vowel) — DOCUMENTED, not applied by the table engine.
ast-x-pasiego-007	El gatu negru duerme cabu'l lar.	el ˈɡatu ˈneɡɾu ˈdweɾme ˈkaβu ˈl ˈlaɾ	The black cat sleeps by the hearth.	diphthong_ie_ue;final_u;statement	Tonic Ŏ>/ue/ 'duerme' per penny2009_metaphony_iberia; the two masculine -u endings 'gatu','negru' are the high final vowels that trigger set-2a metaphony/centralisation of the stressed vowel — DOCUMENTED, not mapped.
ast-x-pasiego-008	¡Cierra la cavaña, que fai fríu!	ˈθjera la kaˈbaɲa ke ˈfaj ˈfɾiu	Shut the cabin, it's cold!	distincion;palatal_nasal;diphthong_ie_ue;rhotic;imperative	⟨c⟩ [θ] 'Cierra' per penny2009_metaphony_iberia; ⟨ñ⟩ [ɲ] 'cavaña' (cabin), tonic Ĕ>/ie/ 'Cierra' and word-initial trill [r]. 'fríu' final -u is metaphonic (DOCUMENTED, not mapped).
ast-x-pasiego-009	La ḥuente cuerre cerca la peña.	la ˈxwente ˈkwere ˈθeɾka la ˈpeɲa	The spring runs near the crag.	distincion;palatal_nasal;diphthong_ie_ue;rhotic;statement	Aspirated F- ⟨ḥ⟩ [x] 'ḥuente' (< fonte) and ⟨c⟩ [θ] 'cerca' per penny2009_metaphony_iberia; tonic Ŏ>/ue/ 'ḥuente','cuerre', ⟨ñ⟩ [ɲ] 'peña' and trill [r] 'cuerre'.
ast-x-pasiego-010	El perru lladra tola nueche.	el ˈperu ˈʎadɾa ˈtola ˈnwetʃe	The dog barks all night.	lateral_palatal;palatal_initial;diphthong_ie_ue;final_u;rhotic;statement	Word-initial L->[ʎ] 'lladra' (the defining Asturleonese-type Pasiego trait) and tonic Ŏ>/ue/ 'nueche' per penny2009_metaphony_iberia; trill [r] 'perru'. Final -u 'perru' is metaphonic (DOCUMENTED, not mapped).
