id	sentence	raw	ipa	gloss_en	features	notes
ar-AE-001	شْحَالَك الْيَوم؟ عَسَاك طَيِّب إِنْ شَاء اللَّه.	شحالك اليوم؟ عساك طيب إن شاء الله.	ˈʃħaːlak alˈjoːm ʕaˈsaːk ˈtˤɑjjib ˈʔin ˈʃaːʔ ˈallah	How are you today? May you be well, God willing.	kaf;hamza;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	šḥālak Emirati greeting (szreder_derrick2023); ʕasāk optative (Gulf formula; attested QADI-AE)
ar-AE-002	اَلْيَوم حَرّ وَايِد وَالرُّطُوبَة عَالْيَة فِي دُبَي.	اليوم حر وايد والرطوبة عالية في دبي.	ilˈjoːm ˈħarr ˈwaːjid warruˈtˤuːba ˈʕaːlja ˈfiː ˈdubeː	Today it is very hot and the humidity is high in Dubai.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	wāyid 'very' (Emirati hallmark, szreder_derrick2023; QADI-AE); sun assimilation ar-r; geminate رّ
ar-AE-003	مَا أَبَا قَهْوَة، أَبَا چَاي بِالزَّعْفَرَان.	ما أبا قهوة، أبا چاي بالزعفران.	ˈmaː ˈʔabaː ˈɡahwa ˈʔabaː ˈtʃaːj bizzaʕfaˈraːn	I don't want coffee, I want tea with saffron.	qaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;negation	abā 'I want' (Emirati, szreder_derrick2023); ق=/ɡ/ gahwa; چ=/tʃ/ Gulf kaf affrication (alshammari2026)
ar-AE-004	اِشْتَرَيت ثَلَاث سْمِچَات مِن السُّوق بِخَمْسِين دِرْهَم.	اشتريت ثلاث سمچات من السوق بخمسين درهم.	ʔiʃtaˈreːt θaˈlaːθ smiˈtʃaːt ˈmin asˈsuːɡ bixamˈsiːn ˈdirham	I bought three fish from the market for fifty dirhams.	qaf;interdental;sun_assim;geminate;long_vowel;diphthong;statement;number	smiča 'fish' with affricated k (alshammari2026: simač); interdental ث retained (szreder_derrick2023); گ=/ɡ/
ar-AE-005	هَاذَا الرَّيَّال يِدَوِّر شُغُل عِنْد الظُّهُر.	هاذا الريال يدور شغل عند الظهر.	ˈhaːðaː rrajˈjaːl jiˈdawwir ˈʃuɣul ˈʕind ˈɑðˤðˤuhur	This man is looking for work around noon.	interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	rayyāl 'man' (Gulf, szreder_derrick2023); ذ retained in hāða; ظ=/ðˤ/ retained; geminates يّ وّ
ar-AE-006	يَلَّا رُوح جِيب الْجِهَاز مِن السَّيَّارَة.	يلا روح جيب الجهاز من السيارة.	ˈjallaː ˈruːħ ˈdʒiːb aldʒiˈhaːz ˈmin assajˈjaːra	Come on, go get the device from the car.	jim;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;imperative	Gulf imperatives ruh/jib; ǧīm rendered per the spec's primary /dʒ/ — Emirati yodization jib→yib is the documented variant (alshammari2026)
ar-AE-007	الْجَوّ مُو زَين الْيَوم، فِيه غْبَار وَايِد.	الجو مو زين اليوم، فيه غبار وايد.	alˈdʒaww ˈmuː ˈzeːn alˈjoːm ˈfiːh ˈɣbaːr ˈwaːjid	The weather is not good today, there is a lot of dust.	jim;geminate;long_vowel;diphthong;statement;negation	mū negator (Emirati/Gulf); zēn 'good' with ay→eː monophthong; wāyid 'a lot' Emirati hallmark; ج→[dʒ] rank-1 in al-ǧaww (szreder_derrick2023)
ar-AE-008	بِكَم الرُّطَب؟ بِثَلَاثِين دِرْهَم.	بكم الرطب؟ بثلاثين درهم.	ˈbikam ˈarrutˤɑb biθalaːˈθiːn ˈdirham	How much are the fresh dates? Thirty dirhams.	interdental;kaf;sun_assim;emphatic;geminate;long_vowel;question;number	bičam price question; ruṭab 'fresh dates' Gulf staple; sun-assim ar-r; interdental ث retained (szreder_derrick2023)
ar-AE-009	الْمَوعِد السَّاعَة أَرْبَع الْعَصِر.	الموعد الساعة أربع العصر.	alˈmoːʕid asˈsaːʕa ˈʔarbaʕ ˈalʕɑsˤir	The appointment is at four in the afternoon.	hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	aw→oː monophthong in mōʕid; ع pharyngeal; emphatic ص in ʕaṣr (szreder_derrick2023)
ar-AE-010	بَيتْنَا فِي الشَّارْجَة، إِحْنَا سِتّ عِيَال.	بيتنا في الشارجة، إحنا ست عيال.	ˈbeːtnaː ˈfiː ʃˈʃaːrdʒa ˈʔiħnaː ˈsitt ʕiˈjaːl	Our house is in Sharjah, we are six kids.	jim;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;number	ay→eː in bēt; iḥna 'we'; ʕiyāl 'kids' Gulf; ج→[dʒ] rank-1 in Sharjah, [j] the documented variant (szreder_derrick2023)
