id	sentence	ipa	gloss_en	features	notes
ast-PT-x-guadramil-001	O ceu nun esta claru hoije.	u sew nũ esta klaɾu ojʒe	The sky is not clear today.	close_mid;nasal_vowel;statement;negation	Masc. sing. article 'o' (PT-type, the highest-confidence Guadramil isogloss vs Rionorese 'al') per frias_conde_sanabria; final -o>-u per ferreira1995.
ast-PT-x-guadramil-002	Estes çapatos custan quarenta euros.	estes sapatos kustɐ̃ kwaɾẽta ewɾos	These shoes cost forty euros.	close_mid;nasal_vowel;sandhi;vowel_reduction;statement;number	seseo ç>[s] (merged with Galician [s], not Castilian [θ]) per vasconcelos1900 EPM II p.54; 3pl -an from the shared Leonese base per frias_conde_sanabria; nasal [ɐ̃] in 'custan' per mateus_dandrade2000.
ast-PT-x-guadramil-003	La reunion ye manhana as tres da tarde.	la rewnjo je maɲana as tɾes da taɾde	The meeting is tomorrow at three in the afternoon.	close_mid;palatal;rhotic;sandhi;statement;number	Leonese -on [õ] for PT -ão and copula 'ye' per frias_conde_sanabria; palatal <nh> [ɲ] per mateus_dandrade2000.
ast-PT-x-guadramil-004	O miou armanu bibe perto do riu.	u mjou aɾmanu biβe peɾtu du rju	My brother lives near the river.	close_mid;rhotic;diphthong_ei_ou;sandhi;statement	Masc. article 'o'/'do' (Guadramil isogloss) per frias_conde_sanabria; betacism 'bibe' (< vive) and trill [r] 'riu' per penny2002.
ast-PT-x-guadramil-005	Bai en frente i bira pela primeira rua.	baj ẽ fɾẽte i biɾa pela pɾimejɾa rwa	Go straight ahead and turn on the first street.	close_mid;nasal_vowel;rhotic;diphthong_ei_ou;sandhi;imperative	Betacism 'bai'/'bira' (< vai/vira) per penny2002; retained <ei> 'primeira' and trill onset [r] per mateus_dandrade2000.
ast-PT-x-guadramil-006	La sopa de peixe estaba mui saborosa.	la s̺opa de pejʃe estaβa muj s̺aβoɾoz̺a	The fish soup was very tasty.	close_mid;diphthong_ei_ou;sandhi;statement	Imperfect -aba and <ei> 'peixe'; no coda [ʃ] (Leonese [s]) per frias_conde_sanabria; open register per ferreira1995.
ast-PT-x-guadramil-007	Adonde apanho o carru?	aðõde apaɲu u karu	Where do I catch the cart?	close_mid;nasal_vowel;palatal;rhotic;sandhi;question	Masc. article 'o' + betacism-free onset per frias_conde_sanabria; palatal <nh> [ɲ] 'apanho' and trill [r] 'carru' per mateus_dandrade2000.
ast-PT-x-guadramil-008	Quantas personas benen a la cena?	kwɐ̃tas peɾsonas benẽ a la sena	How many people are coming to supper?	close_mid;nasal_vowel;sandhi;vowel_reduction;question;number	Betacism 'benen' (< vêm) and nasal [ɐ̃] 'quantas' per penny2002; feminine article 'la' retained (partial paradigm) per frias_conde_sanabria.
ast-PT-x-guadramil-009	Se you podira, mercaba aquela casa.	s̺e jow poðiɾa meɾkaβa akela kaz̺a	If I could, I would buy that house.	close_mid;diphthong_ei_ou;sandhi;statement	1sg pronoun 'you' [jow] (Guadramil vs Rionorese 'ieu') per frias_conde_sanabria; imperfect -aba per penny2002.
ast-PT-x-guadramil-010	Diban a la feira mercar fruta i berças.	diβɐ̃ a la fejɾa meɾkaɾ fɾuta i beɾsas	They used to go to the fair to buy fruit and greens.	close_mid;nasal_vowel;diphthong_ei_ou;sandhi;vowel_reduction;statement	Imperfect 'diban' of 'ir' (leveled Leonese stem dir-, a Guadramil innovation) per frias_conde_sanabria; betacism 'berças' per penny2002.
