id	sentence	raw	ipa	gloss_en	features	notes
ar-TN-001	شْنُوَّة أَحْوَالَك؟ لَبَاس عْلِيك الْيُوم؟	شنوة أحوالك؟ لباس عليك اليوم؟	ˈʃnuwwa ʔaħˈwɛːlak laˈbɛːs ˈʕliːk alˈjuːm	How are you? Are you well today?	kaf;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;question	šnuwwa interrogative (Tunis hallmark; PADIC/QADI-TN attest); labās (Maghrebi greeting); geminate وّ; Tunis consonant system and lexicon (šnuwwa, gemination) per (singer1984)
ar-TN-002	اَلْجَوّ بَاهِي الْيُوم وَالْبْحَر هَادِي فِي تُونِس.	الجو باهي اليوم والبحر هادي في تونس.	alˈʒaww ˈbɛːhiː lˈjuːm ˈwalbħar ˈhɛːdiː ˈfiː ˈtuːnis	The weather is fine today and the sea is calm in Tunis.	jim;pharyngeal;geminate;long_vowel;diphthong;statement	bāhi 'good' (Tunisian hallmark lexeme); ج=/ʒ/ (singer1984); cluster lbḥ-
ar-TN-003	مَا نْحِبّْش قَهْوَة، نْحِبّ تَاي سْخُون بَرْشَة.	ما نحبش قهوة، نحب تاي سخون برشة.	ˈmɛː ˈnħibbʃ ˈqahwa ˈnħibb ˈtaːj ˈsxuːn ˈbarʃa	I don't want coffee, I like very hot tea.	qaf;ta_marbuta;pharyngeal;geminate;long_vowel;negation	n- 1sg + ma-...-š negation (Maghrebi, versteegh-type; singer1984); barša 'a lot' (Tunisian hallmark); geminate بّ
ar-TN-004	شْرِيت ثْلَاثَة كِيلُو عْنَب مِن السُّوق بِخَمْسَة دِينَارَات.	شريت ثلاثة كيلو عنب من السوق بخمسة دينارات.	ˈʃriːt ˈθlɛːθa ˈkiːluː ˈʕnab ˈmin asˈsuːq biˈxamsa diːnaːˈraːt	I bought three kilos of grapes from the market for five dinars.	qaf;interdental;kaf;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;statement;number	ث retained /θ/ in θlāθa (gibson2009 EALL: Tunis interdental retention — spec reflexes reordered accordingly); ق=/q/ sūq; clusters šr-/θl-/ʕn-
ar-TN-005	اَلرَّاجِل هَاذَاكَة يِخْدِم فِي الظّهْر زَادَة.	الراجل هاذاكة يخدم في الظهر زادة.	arˈraːʒil hɛːˈðɛːka ˈjixdim ˈfiː ˈɑðˤðˤhr ˈzɛːda	That man works at noon too.	jim;interdental;kaf;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;statement	hāðāka demonstrative with ذ /ð/ retained (gibson2009); zāda 'also' (Tunisian); ظ=/ðˤ/ retained
ar-TN-006	اِمْشِي لِلسُّوق وْشْرِي الْخُبْز، يَعَيْشِك.	امشي للسوق وشري الخبز، يعيشك.	ˈʔimʃiː lisˈsuːq ˈwʃriː lˈxubz jaˈʕiːʃik	Go to the market and buy the bread, please.	qaf;kaf;pharyngeal;geminate;long_vowel;imperative	Tunis imperatives imshi/shri with syncope clusters; yaʕayshik politeness with the cited ay→iː monophthongization (gibson2009)
ar-TN-007	الْيُوم الْجَوّ مُوش بَاهِي، فَمَّة بَرْد بَرْشَة.	اليوم الجو موش باهي، فمة برد برشة.	alˈjuːm alˈʒaww ˈmuːʃ ˈbɛːhiː ˈfamma ˈbard ˈbarʃa	Today the weather isn't good, there's a lot of cold.	jim;ta_marbuta;geminate;long_vowel;diphthong;negation	mūš predicate negation + famma existential (Tunis; singer1984); bāhi 'good' and barša 'a lot' Tunis hallmark lexemes (gibson2009 EALL); imāla raises bāhi→[bɛːhiː].
ar-TN-008	بِقَدَّاش هَاذِي؟ بِثْلَاثَة دِينَار وْنُصّ.	بقداش هاذي؟ بثلاثة دينار ونص.	biqadˈdɛːʃ ˈhɛːðiː biθˈlɛːθa diːˈnaːr ˈwnusˤsˤ	How much is this? Three dinars and a half.	qaf;interdental;ta_marbuta;emphatic;geminate;long_vowel;question;number	bqaddāš 'how much' (Tunis); ث retained /θ/ in θlāθa (gibson2009 EALL: Tunis interdental retention); imāla raises θlāθa→[θlɛːθa] but is blocked before /r/ in dinār→[diːnaːr] (singer1984 imāla-block).
ar-TN-009	وَقْتَاش الْمِيعَاد؟ عَ الْعَشْرَة الصّْبَاح.	وقتاش الميعاد؟ ع العشرة الصباح.	waqˈtɛːʃ almiːˈʕaːd ˈʕa lˈʕaʃra sˤsˤˈbaːħ	When is the appointment? At ten in the morning.	qaf;ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;question	waqtāš 'when' (Tunis interrogative); imāla blocked adjacent to /ʕ/ (mīʕād→[miːʕaːd]) and under emphasis (ṣbāḥ→[sˤsˤbaːħ]) — singer1984, gibson2009; sun-letter assimilation written on ص.
ar-TN-010	نُسْكُن فِي دَار كْبِيرَة مَعَ الْعَايْلَة فِي تُونِس.	نسكن في دار كبيرة مع العايلة في تونس.	ˈnuskun ˈfiː ˈdaːr ˈkbiːra ˈmaʕa lˈʕaːjla ˈfiː ˈtuːnis	I live in a big house with the family in Tunis.	kaf;ta_marbuta;pharyngeal;long_vowel;statement	residence frame: nuskun 'I live', dār 'house', ʕāyla 'family' (Tunis); dār→[daːr] imāla blocked before /r/ (singer1984), so the long vowel keeps its back quality against the raised default (gibson2009).
