id	sentence	ipa	gloss_en	features	notes
es-PE-x-andino-001	El taita llevó las llamas hasta la puna alta.	el ˈtai̯ta ʝeˈβo las ˈʝamas ˈasta la ˈpuna ˈalta	The father took the llamas up to the high moor.	yeismo;sandhi;statement	Andean lexicon; seseo and yeismo per lipski1994
es-PE-x-andino-002	Dice pues que la cosecha estuvo buena este año.	ˈdise ˈpwes ke la koˈsetʃa eˈstuβo ˈbwena ˈeste ˈaɲo	He says the harvest was good this year.	seseo;palatal_nasal;diphthong_ie_ue;sandhi;statement	Andean 'pues' discourse marker; lipski1994
es-PE-x-andino-003	¿Ya sembraste el maíz en la chacra de arriba?	ˈʝa seˈmbɾaste el ˈmais en la ˈtʃakɾa de aˈriβa	Did you already sow the corn in the upper field?	seseo;yeismo;rhotic;sandhi;question	Quechua-contact syntax; seseo cosecha n/a; lipski1994
es-PE-x-andino-004	La wawa duerme abrigada con su lliclla.	la ˈwawa ˈdweɾme abɾiˈɣaða kon su ˈʝikʝa	The baby sleeps wrapped in its carrying cloth.	yeismo;diphthong_ie_ue;final_u;sandhi;statement	Quechua loans wawa/lliclla; yeismo; lipski1994
es-PE-x-andino-005	No quiero que vendas la tierra del abuelo.	ˈno ˈkjeɾo ke ˈbendas la ˈtjera del aˈβwelo	I don't want you to sell grandfather's land.	diphthong_ie_ue;rhotic;sandhi;negation	seseo vendas→[s]; diphthong quiero→[je]; lipski1994
es-PE-x-andino-006	Sirve el mate de coca bien caliente, por favor.	ˈsiɾbe el ˈmate de ˈkoka ˈbjen kaˈljente poɾ faˈβoɾ	Serve the coca tea nice and hot, please.	diphthong_ie_ue;sandhi;imperative	seseo n/a; diphthong caliente→[je]; lipski1994
es-PE-x-andino-007	Mi ñaño baja al pueblo a vender su queso.	mi ˈɲaɲo ˈbaxa al ˈpweblo a beˈndeɾ su ˈkeso	My brother goes down to town to sell his cheese.	palatal_nasal;palatal_initial;diphthong_ie_ue;final_u;sandhi;statement	word-initial ñ→[ɲ]; seseo queso n/a; lipski1994
es-PE-x-andino-008	Los cerros se pintan de amarillo en agosto.	los ˈseros se ˈpintan de amaˈɾiʝo en aˈɣosto	The hills turn yellow in August.	seseo;yeismo;rhotic;sandhi;statement	trill cerros; yeismo amarillo; lipski1994
es-PE-x-andino-009	¿Cuántos cuyes tienes en el corral, mamita?	ˈkwantos kuˈʝes ˈtjenes en el koˈral maˈmita	How many guinea pigs do you have in the pen?	yeismo;diphthong_ie_ue;rhotic;sandhi;question	diphthong tienes→[je]; Andean diminutive; lipski1994
es-PE-x-andino-010	Harto frío hace de noche en la comunidad.	ˈaɾto ˈfɾio ˈase de ˈnotʃe en la komuniˈðað	It gets very cold at night in the community.	seseo;sandhi;statement	Andean 'harto' quantifier; lipski1994
es-PE-x-andino-011	Compramos cinco arrobas de papa nativa.	koˈmpɾamos ˈsinko aˈroβas de ˈpapa naˈtiβa	We bought five arrobas of native potato.	seseo;rhotic;sandhi;number	numeral; Andean produce; lipski1994
es-PE-x-andino-012	Ella teje un chullo rojo para la feria.	ˈeʝa ˈtexe un ˈtʃuʝo ˈroxo paɾa la ˈfeɾja	She weaves a red cap for the fair.	yeismo;rhotic;sandhi;statement	yeismo ella→[ʝ]; seseo n/a; lipski1994
es-PE-x-andino-013	Nadie conoce el camino a la laguna escondida.	ˈnaðje koˈnose el kaˈmino a la laˈɣuna eskoˈndiða	Nobody knows the path to the hidden lagoon.	seseo;diphthong_ie_ue;sandhi;negation	seseo conoce→[s]; lipski1994
es-PE-x-andino-014	Sube nomás al carro que ya vamos a partir.	ˈsuβe noˈmas al ˈkaro ke ˈʝa ˈbamos a paˈɾtiɾ	Just get in the car, we are about to leave.	yeismo;rhotic;sandhi;imperative	Andean 'nomás'; diphthong n/a; lipski1994
es-PE-x-andino-015	El río Vilcanota baja con fuerza en lluvia.	el ˈrio bilkaˈnota ˈbaxa kon ˈfweɾsa en ˈʝuβja	The Vilcanota river runs strong in the rains.	seseo;yeismo;diphthong_ie_ue;rhotic;sandhi;statement	trill río; yeismo lluvia; diphthong fuerza→[we]; lipski1994
es-PE-x-andino-016	La señora vende ch'uño seco en el mercado.	la seˈɲoɾa ˈbende ˈtʃ ˈuɲo ˈseko en el meˈɾkaðo	The lady sells freeze-dried potato at the market.	palatal_nasal;sandhi;statement	palatal nasal señora; Andean lexicon; lipski1994
es-PE-x-andino-017	Traiga la chaquitaclla para arar el terreno.	ˈtɾai̯ɣa la tʃakiˈtakʝa paɾa aˈɾaɾ el teˈreno	Bring the foot-plough to till the plot.	yeismo;rhotic;sandhi;imperative	Quechua loan chaquitaclla; lipski1994
es-PE-x-andino-018	Dos llamas cargan la leña por el sendero.	ˈdos ˈʝamas ˈkaɾɡan la ˈleɲa poɾ el seˈndeɾo	Two llamas carry the firewood along the trail.	yeismo;palatal_nasal;palatal_initial;sandhi;number	yeismo llamas→[ʝ]; lipski1994
es-PE-x-andino-019	¿De dónde vienes tan cansado, hijito?	de ˈdonde ˈbjenes ˈtan kaˈnsaðo iˈxito	Where are you coming from so tired, son?	diphthong_ie_ue;question	diphthong vienes→[je]; Andean diminutive; lipski1994
es-PE-x-andino-020	El maíz y la quinua se guardan en el troje.	el ˈmais i la ˈkinwa se ˈɡwaɾdan en el ˈtɾoxe	The corn and quinoa are stored in the granary.	seseo;statement	seseo n/a; Andean lexicon; lipski1994
