id	sentence	ipa	gloss_en	features	notes
oc-x-aranes-001	Aué non hè bon temps.	aˈwe ˈnun ˈhɛ ˈbun ˈtemps	Today the weather is not good.	open_mid;statement;negation	Gascon F- aspiration hè<FACIT [ˈhɛ] and open-mid è [ɛ] per alibert1976; negator 'non' per bec1973.
oc-x-aranes-002	Aguesti sabatons còsten quaranta èuros.	aˈɡesti saβaˈtuns ˈkɔsten kaˈɾanta ˈɛyɾus	These shoes cost forty euros.	open_mid;sandhi;statement;number	Aranese demonstrative 'aguesti' and open-mid ò/è [ɔ ɛ] per alibert1976; 'sabatons' [saβaˈtuns] with atonic o>[u] and s>voiced junction 'còsten quaranta' per bec1973.
oc-x-aranes-003	Era amassada ei deman a tres ores.	ˈeɾa amaˈsaða ˈej deˈman ˈa ˈtres ˈuɾes	The meeting is tomorrow at three o'clock.	rhotic;sandhi;statement;number	Feminine article 'era' and 'amassada' (meeting) per alibert1976; trill [r] in 'ores' and vowel-junction sandhi 'era amassada' per ladefoged_maddieson1996.
oc-x-aranes-004	Era mia familha viu en Vielha.	ˈeɾa ˈmia faˈmiʎa ˈbiw ˈen ˈbieʎa	My family lives in Vielha.	lateral_palatal;sandhi;statement	Occitan digraph lh>[ʎ] in 'familha'/'Vielha' per alibert1976; 'viu' (lives) and elision junction 'viu en' per bec1973.
oc-x-aranes-005	Va tot dret enquia era glèisa.	ˈba ˈtut ˈdret ˈenkia ˈeɾa ˈɡlɛisa	Go straight on to the church.	open_mid;rhotic;sandhi;imperative	Imperative 'va', 'tot dret' (straight on) and 'glèisa' with open-mid è [ɛ] per bec1973; trill in 'dret'/'glèisa' per ladefoged_maddieson1996.
oc-x-aranes-006	Aguest pan ei fòrça bon.	aˈɡest ˈpan ˈej ˈfɔrsa ˈbun	This bread is very good.	seseo;open_mid;rhotic;statement	Aranese ç>[s] (no interdental) in 'fòrça' and open-mid ò [ɔ] per alibert1976; intensifier 'fòrça' (very) per bec1973.
oc-x-aranes-007	A on ei eth mercat?	ˈa ˈun ˈej ˈet meˈrkat	Where is the market?	rhotic;sandhi;question	Gascon masculine article 'eth' [et] per alibert1976; interrogative 'a on' and trill [r] in 'mercat' per bec1973.
oc-x-aranes-008	Guaires pomes vòs?	ˈɡwajɾes ˈpumes ˈbɔs	How many apples do you want?	open_mid;sandhi;question;number	Quantifier 'guaires' (how many) and open-mid ò [ɔ] in 'vòs' per bec1973; s-final voicing junction 'pomes vòs' per ladefoged_maddieson1996.
oc-x-aranes-009	Se plò, demoraram ena casa.	ˈse ˈplɔ demuɾaˈɾam ˈena ˈkasa	If it rains, we will stay at home.	open_mid;statement	Conditional 'se plò' with open-mid ò [ɔ] and future 'demoraram' per alibert1976; 'ena' (in the) per bec1973.
oc-x-aranes-010	Ager crompè pan e hormatge.	ˈaʒer kruˈmpɛ ˈpan ˈe huˈrmadʒe	Yesterday I bought bread and cheese.	open_mid;rhotic;statement	Preterite 'crompè' [kɾuˈmpɛ] and Gascon F->h 'hormatge' [huˈrmatɡe] per alibert1976; trill in 'hormatge' per ladefoged_maddieson1996.
