id	sentence	ipa	gloss_en	features	notes
ast-001	El cielu ta claru güei pela mañana.	ˈel ˈθjelu ˈta ˈklaɾu ˈɡwei ˈpela maˈɲana	The sky is clear today in the morning.	distincion;palatal_nasal;diphthong_ie_ue;final_u;statement	Predorsal ⟨c⟩ before front vowel [θ] 'cielu' and final atonic -o>-u 'cielu','claru' per garcia_arias2003; ⟨ñ⟩ [ɲ] and no vowel reduction per penny2002.
ast-002	La nueche ye llarga nesti iviernu.	ˈla ˈnwetʃe ˈʝe ˈʎaɾɡa ˈnesti iˈbjeɾnu	The night is long this winter.	lateral_palatal;palatal_initial;diphthong_ie_ue;final_u;sandhi;statement	Tonic Ŏ>/ue/ 'nueche' and word-initial L->[ʎ] 'llarga' per garcia_arias2003; copula 'ye' and final -u 'iviernu' per penny2002.
ast-003	Los rapazos cuerren pela caleya del pueblu.	ˈlos raˈpaθos kweˈren ˈpela kaˈleʝa ˈdel ˈpweblu	The boys run down the village lane.	distincion;diphthong_ie_ue;final_u;rhotic;sandhi;statement	Diphthong 'cuerren' [kwe-] and -LJ->[ʝ] 'caleya' per garcia_arias2003; ⟨z⟩ [θ] 'rapazos' and word-initial trill [r] per alarcos_llorach1994.
ast-004	Coyí les llaves y les fabes na cocina.	koˈʝi ˈles ˈʎabes ˈʝ ˈles ˈfaβes ˈna koˈθina	I took the keys and the beans in the kitchen.	distincion;lateral_palatal;palatal_initial;sandhi;statement	Central feminine plural -es 'les llaves','les fabes' — the ALLA metaphonic plural, distinct from western -as — per garcia_arias2003; ⟨ll⟩ [ʎ] and ⟨c⟩ [θ] per penny2002.
ast-005	¿Cuántos años tien to hermanu mayor?	ˈkuantos ˈaɲos ˈtjen ˈto eˈɾmanu maˈʝoɾ	How many years does your elder brother have?	palatal_nasal;diphthong_ie_ue;final_u;sandhi;question;number	⟨ñ⟩ [ɲ] 'años' and diphthong 'tien' [tjen] per garcia_arias2003; final -u 'hermanu' per penny2002.
ast-006	El gatu ñeru duerme cabo del llume.	ˈel ˈɡatu ˈɲeɾu ˈdweɾme ˈkaβo ˈdel ˈʎume	The cat sleeps by the fire.	lateral_palatal;palatal_nasal;palatal_initial;diphthong_ie_ue;final_u;statement	Word-initial N->[ɲ] 'ñeru' and L->[ʎ] 'llume' — Asturleonese initial palatalisation — per garcia_arias2003; tonic Ŏ>/ue/ 'duerme' per penny2002.
ast-007	Nun quiero más pan nin quesu, gracies.	ˈnun ˈkjeɾo ˈmas ˈpan ˈnin ˈkesu ˈɡɾaθjes	I don't want more bread or cheese, thanks.	distincion;diphthong_ie_ue;final_u;negation;statement	Negator 'nun' and 'nin' per garcia_arias2003; diphthong 'quiero' [kje-] and final -u 'quesu' per penny2002; ⟨c⟩ [θ] 'gracies' per alarcos_llorach1994.
ast-008	Falamos con Xuan y Xosé na fiesta.	faˈlamos ˈkon ˈʃwan ˈʝ ʃoˈsɛ ˈna ˈfjesta	We talked with Xuan and Xosé at the fair.	diphthong_ie_ue;statement	⟨x⟩ [ʃ] 'Xuan','Xosé' (not Castilian [x]) and F- retention 'Falamos' per garcia_arias2003; diphthong 'fiesta' [fje-] per penny2002.
ast-009	La muyer merca cebolles nel mercáu.	ˈla muˈʝeɾ ˈmeɾka θeˈβoʎes ˈnel meˈɾkau	The woman buys onions at the market.	distincion;lateral_palatal;sandhi;statement	-LJ->[ʝ] 'muyer' and central plural -es 'cebolles' per garcia_arias2003; ⟨c⟩ [θ] 'cebolles' and 'mercar' (< to buy) per penny2002.
ast-010	¡Baxa aína y pieslla la puerta!	ˈbaʃa ˈaina ˈʝ ˈpjesʎa ˈla ˈpweɾta	Come down quickly and shut the door!	lateral_palatal;diphthong_ie_ue;sandhi;imperative	⟨x⟩ [ʃ] 'Baxa' and metathesised 'pieslla' [pjesʎa] per garcia_arias2003; tonic Ĕ>/ie/ 'pieslla','puerta' per penny2002.
ast-011	Trés vaques pacen la yerba nel prau.	ˈtɾɛs ˈbakes paˈθen ˈla ˈʝeɾba ˈnel ˈpɾaw	Three cows graze the grass in the meadow.	distincion;sandhi;statement;number	Central plural -es 'vaques' and ⟨c⟩ [θ] 'pacen' per garcia_arias2003; falling diphthong 'prau' [prau̯] and betacism 'vaques' [b] per penny2002.
ast-012	El ferreru fizo una reya nueva.	ˈel feˈreɾu ˈfiθo ˈuna reˈʝa ˈnweba	The blacksmith made a new plough-blade.	distincion;diphthong_ie_ue;final_u;rhotic;sandhi;statement	Word-initial trill [r] 'ferreru','reya' and ⟨z⟩ [θ] 'fizo' per garcia_arias2003; tonic Ŏ>/ue/ 'nueva' per penny2002.
ast-013	Llovía muncho cuando volvimos a casa.	ʎoˈbia ˈmuntʃo ˈkwando boˈlbimos ˈa ˈkasa	It rained a lot when we came home.	lateral_palatal;palatal_initial;sandhi;statement	Word-initial L->[ʎ] 'Llovía' per garcia_arias2003; betacism 'volvimos' [b] and 'muncho' per alarcos_llorach1994.
ast-014	La neña garra una flor mariella.	ˈla ˈneɲa ˈɡara ˈuna ˈfloɾ maˈɾjeʎa	The girl grabs a yellow flower.	lateral_palatal;palatal_nasal;diphthong_ie_ue;rhotic;sandhi;statement	⟨ñ⟩ [ɲ] 'neña' and -LL->[ʎ] 'mariella' per garcia_arias2003; word-initial trill [r] and yod outcome 'mariella' [-je-] per penny2002.
ast-015	¿Ónde ta el caminu pa la ilesia?	ˈɔnde ˈta ˈel kaˈminu ˈpa ˈla iˈlesja	Where is the way to the church?	final_u;sandhi;question	Final -u 'caminu' per garcia_arias2003; simplified 'ilesia' (< iglesia) per alarcos_llorach1994.
