id	sentence	ipa	gloss_en	features	notes
gl-001	O ceo non está claro hoxe.	ˈo ˈθeo ˈnoŋ eˈsta ˈklaɾo ˈoʃe	The sky is not clear today.	distincion;velar_nasal;statement;negation	Distinción ⟨ce⟩ [θ] 'ceo' (Galician keeps /θ/, no seseo in the RAG standard) per regueira1996; word-final ⟨n⟩ velar [ŋ] 'non' per freixeiro_mato1998.
gl-002	Estes zapatos custan corenta euros.	ˈestes θaˈpatos ˈkustaŋ koˈɾenta ˈewɾos	These shoes cost forty euros.	distincion;velar_nasal;sandhi;statement;number	⟨z⟩ [θ] 'zapatos' per regueira1996; velar [ŋ] in coda 'custan' and sandhi ⟨s⟩+voiced onset 'estes zapatos' per freixeiro_mato1998.
gl-003	A xuntanza é mañá ás tres.	ˈa ʃuˈntanθa ˈɛ maˈɲa ˈas ˈtɾes	The gathering is tomorrow at three.	distincion;palatal_nasal;open_mid;sandhi;statement;number	Open-mid [ɛ] in the copula 'é' (7-vowel system) per regueira1996; palatal nasal ⟨ñ⟩ [ɲ] 'mañá' and prehistoric ⟨x⟩ [ʃ] 'xuntanza' per carballo_calero1979.
gl-004	Meu irmán vive preto da vila.	ˈmew iˈɾmaŋ ˈbibe ˈpɾeto ˈda ˈbila	My brother lives near the town.	velar_nasal;sandhi;statement	Word-final ⟨n⟩ velar [ŋ] 'irmán' per freixeiro_mato1998; falling diphthong ⟨eu⟩ [ew] 'meu' per regueira1996.
gl-005	Vai de fronte e torce pola primeira rúa.	ˈbaj ˈde ˈfɾonte ˈe ˈtoɾθe ˈpola pɾiˈmejɾa ˈrua	Go straight ahead and turn down the first street.	distincion;rhotic;sandhi;imperative	No Romance diphthongisation: 'fronte','torce' keep the mid vowel (contrast Castilian fuente/tuerce) per regueira1996; word-initial trill [r] 'rúa' per freixeiro_mato1998.
gl-006	A caldeirada daquel sitio estaba moi boa.	ˈa kaldeˈjɾaða daˈkel ˈsitjo eˈstaβa ˈmoj ˈboa	The fish stew at that place was very good.	sandhi;statement	Regional lexicon 'caldeirada' and gheada absent in the RAG standard (/g/ stays [ɡ]) per regueira1996; hiatus 'sitio estaba' resolved by sandhi per freixeiro_mato1998.
gl-007	Onde está a chave do coche?	ˈonde eˈsta ˈa ˈtʃabe ˈdo ˈkotʃe	Where is the car key?	sandhi;question	Affricate ⟨ch⟩ [tʃ] 'chave','coche' (no deaffrication in the standard) per regueira1996; vowel hiatus 'está a' per freixeiro_mato1998.
gl-008	Cantas persoas veñen cear?	ˈkantas ˈpeɾsoas ˈbeɲeŋ ˈθeaɾ	How many people are coming to dinner?	distincion;palatal_nasal;velar_nasal;sandhi;question	Palatal nasal ⟨ñ⟩ [ɲ] 'veñen' with velar [ŋ] in its coda, and distinción ⟨ce⟩ [θ] 'cear' per regueira1996; hiatus 'persoas' per carballo_calero1979.
gl-009	Se eu puidese, mercaría aquela casa.	ˈse ˈew pwiˈðese meɾkaˈɾia aˈkela ˈkasa	If I could, I would buy that house.	sandhi;statement	Regional verb 'mercar' (to buy) per carballo_calero1979; vowel hiatus 'se eu' resolved across the junction per freixeiro_mato1998.
gl-010	Onte merquei cinco quilos de cereixas na praza.	ˈonte ˈmeɾkej ˈθinko ˈkilos ˈde θeˈɾejʃas ˈna ˈpɾaθa	Yesterday I bought five kilos of cherries in the square.	distincion;sandhi;statement;number	Distinción ⟨c/z⟩ [θ] 'cinco','cereixas','praza' per regueira1996; ⟨ei⟩+⟨x⟩ [ejʃ] 'cereixas' per carballo_calero1979.
