id	sentence	ipa	gloss_en	features	notes
es-MX-001	El escuincle se comió tres elotes con chile y limón.	ˈel eˈskwinkle ˈse koˈmio ˈtɾes eˈlotes ˈkon ˈtʃile ˈi liˈmon	The kid ate three corncobs with chilli and lime.	sandhi;statement	Mexican lexicon 'escuincle' (child, from Nahuatl), 'elote'; seseo in 'tres/chile'. lipski1994
es-MX-002	Ahorita agarro el camión para ir a la chamba.	aoˈɾita aˈɣaro ˈel kaˈmion ˈpaɾa ˈiɾ ˈa ˈla ˈtʃamba	In a bit I'll catch the bus to go to work.	rhotic;sandhi;statement	Highland Mexican register: 'camión' (bus), 'chamba' (work); full coda /s/. lope_blanch1972
es-MX-003	¿Mande? No te escuché bien con tanto ruido.	ˈmande ˈno ˈte eskuˈtʃe ˈbjen ˈkon ˈtanto ˈrwiðo	Sorry? I didn't hear you well with so much noise.	diphthong_ie_ue;rhotic;sandhi;question	'¿Mande?' — the characteristic Mexican polite echo; seseo, full coda /s/. lipski1994
es-MX-004	Pásame el popote y una servilleta, por favor.	ˈpasame ˈel poˈpote ˈi ˈuna seɾbiˈʝeta ˈpoɾ faˈboɾ	Pass me the straw and a napkin, please.	yeismo;sandhi;imperative	Mexican 'popote' (drinking straw, Nahuatl); coda /s/ retained, no aspiration. lope_blanch1972
es-MX-005	Los jitomates del tianguis están bien baratos hoy.	ˈlos xitoˈmates ˈdel ˈtjanɡis eˈstan ˈbjen baˈɾatos ˈoi	The tomatoes at the street market are really cheap today.	diphthong_ie_ue;sandhi;statement	'jitomate', 'tianguis' (Nahuatl market); highland conservation of coda /s/. lipski1994
es-MX-006	Mi cuate llegó tarde otra vez a la reunión.	ˈmi ˈkwate ʝeˈɣo ˈtaɾde ˈotɾa ˈbes ˈa ˈla reˈwnion	My buddy showed up late to the meeting again.	seseo;yeismo;rhotic;sandhi;statement	'cuate' (friend, Nahuatl); yeísmo initial ⟨ll⟩ in 'llegó'→[ʝ]. lipski1994
es-MX-007	Súbete a la banqueta antes de que pase un coche.	ˈsuβete ˈa ˈla baˈnketa ˈantes ˈde ˈke ˈpase ˈun ˈkotʃe	Get up on the sidewalk before a car goes by.	sandhi;imperative	Mexican 'banqueta' (sidewalk); seseo in 'pase/coche'. lope_blanch1972
es-MX-008	El guajolote se cocina con mole para la fiesta.	ˈel ɡaxoˈlote ˈse koˈθina ˈkon ˈmole ˈpaɾa ˈla ˈfjesta	The turkey is cooked with mole for the party.	distincion;diphthong_ie_ue;statement	'guajolote' (turkey), 'mole' (Nahuatl); velar [x] in 'guajolote', seseo in 'cocina'. lipski1994
es-MX-009	¿Ya viste qué padre quedó la casa nueva?	ˈʝa ˈbiste ˈke ˈpadɾe keˈðo ˈla ˈkasa ˈnweba	Did you see how great the new house turned out?	yeismo;diphthong_ie_ue;question	Mexican intensifier 'padre' (great); diphthong ⟨ue⟩→[we] in 'nueva'. lipski1994
es-MX-010	No manches, se me olvidó traer la cartera.	ˈno ˈmantʃes ˈse ˈme olbiˈðo ˈtɾaeɾ ˈla kaˈɾteɾa	No way, I forgot to bring my wallet.	sandhi;negation	Mexican exclamation 'no manches'; palatal [tʃ] very tense in the highland norm. hualde2005
es-MX-011	La señora vende tamales y atole en la esquina.	ˈla seˈɲoɾa ˈbende taˈmales ˈi aˈtole ˈen ˈla eˈskina	The lady sells tamales and atole on the corner.	palatal_nasal;sandhi;statement	'tamal', 'atole' (Nahuatl); palatal nasal in 'señora', full coda /s/. lipski1994
es-MX-012	Órale, apúrate que ya nos vamos al centro.	ˈoɾale aˈpuɾate ˈke ˈʝa ˈnos ˈbamos ˈal ˈθentɾo	Come on, hurry up, we're leaving for downtown.	distincion;yeismo;sandhi;imperative	Mexican 'órale'; sentence-final unstressed vowel devoicing in the highland norm. hualde2005
es-MX-013	El niño chiquito no quiere comer sus verduras.	ˈel ˈniɲo tʃiˈkito ˈno ˈkjeɾe koˈmeɾ ˈsus beˈɾduɾas	The little boy doesn't want to eat his vegetables.	palatal_nasal;diphthong_ie_ue;sandhi;negation	Palatal nasal in 'niño'; diphthong ⟨ie⟩→[je] in 'quiere'. hualde2005
es-MX-014	Vamos por unos tacos al pastor después del trabajo.	ˈbamos ˈpoɾ ˈunos ˈtakos ˈal paˈstoɾ deˈspues ˈdel tɾaˈβaxo	Let's go for some al pastor tacos after work.	sandhi;statement	Mexican culinary lexicon; seseo throughout; coda /s/ fully retained. lope_blanch1972
es-MX-015	¿Me prestas tu celular tantito para hacer una llamada?	ˈme ˈpɾestas ˈtu θeluˈlaɾ taˈntito ˈpaɾa aˈθeɾ ˈuna ʝaˈmaða	Will you lend me your phone for a sec to make a call?	distincion;yeismo;final_u;question	'tantito' (a little); yeísmo in 'llamada'→[ʝ]; 'celular' (mobile). lipski1994
es-MX-016	Esa muchacha canta muy bonito en las posadas.	ˈesa muˈtʃatʃa ˈkanta ˈmui boˈnito ˈen ˈlas poˈsaðas	That girl sings very nicely at the posadas.	sandhi;statement	Seseo in 'esa/posadas'; palatal [tʃ] in 'muchacha'; velar nasal not modelled here. lipski1994
es-MX-017	Se descompuso la licuadora justo cuando la necesitaba.	ˈse deskoˈmpuso ˈla likwaˈðoɾa ˈxusto ˈkwando ˈla neθesiˈtaβa	The blender broke down right when I needed it.	distincion;statement	Mexican 'descomponerse' (to break down), 'licuadora'; seseo, full coda /s/. lope_blanch1972
