id	sentence	ipa	gloss_en	features	notes
es-CO-x-costa-001	Los pescadores están cansados.	loh peskaðoɾeh estaŋ kansaðoh	The fishermen are tired.	coda_s_aspiration;velar_nasal;sandhi;statement	Caribbean coda /s/ aspiration to [h] (loh, peskaðoɾeh, kansaðoh) and velar coda /n/ [ŋ] in 'están' (hualde2005).
es-CO-x-costa-002	Las mujeres vienen del mercado.	lah muxeɾeh bjeneŋ del meɾkaðo	The women come from the market.	coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Coda /s/→[h] in the plural article and noun; diphthong 'vienen'; velarised final nasal (fontanella_de_weinberg1992).
es-CO-x-costa-003	¿Tú quieres más arroz con pescado?	tu kjeɾeh mah aros koŋ peskaðo	Do you want more rice with fish?	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;rhotic;sandhi;question	Coastal tuteo; aspiration of 'más' [mah] and seseo 'arroz' [aros]; velar nasal in 'con' (hualde2005).
es-CO-x-costa-004	Hace mucho calor en toda la costa.	ase mutʃo kaloɾ eŋ toða la kosta	It's very hot all along the coast.	seseo;velar_nasal;statement	Seseo 'hace'; velarised nasal 'en' [eŋ] before a vowel, a Caribbean trait (fontanella_de_weinberg1992).
es-CO-x-costa-005	Los niños juegan en la playa.	loh niɲoh xweɣaŋ eŋ la plaʝa	The children play on the beach.	yeismo;palatal_nasal;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	Yeismo 'playa'; palatal nasal 'niños'; coda /s/ aspiration and velar nasals stack across the clause (hualde2005).
es-CO-x-costa-006	Vamos a bailar esta noche.	bamoh a bajlaɾ esta notʃe	We're going to dance tonight.	coda_s_aspiration;sandhi;statement	Aspiration 'vamos' [bamoh], 'esta' [ehta→esta]; vowel sandhi 'vamos a' (fontanella_de_weinberg1992).
es-CO-x-costa-007	Estos dos amigos son costeños.	estoh doh amiɣoh soŋ kosteɲoh	These two friends are from the coast.	palatal_nasal;coda_s_aspiration;velar_nasal;sandhi;statement	Multiple coda /s/→[h] (estoh, doh, amiɣoh); palatal nasal 'costeños'; velar 'son' (hualde2005).
es-CO-x-costa-008	No tenemos plata para el bus.	no tenemoh plata paɾa el buh	We don't have money for the bus.	coda_s_aspiration;sandhi;negation;statement	Negation with aspirated 'tenemos' [tenemoh] and final 'bus' [buh]; Colombian 'plata' for money (fontanella_de_weinberg1992).
es-CO-x-costa-009	Las olas rompen contra las piedras.	lah olah rompeŋ kontɾa lah pjedɾah	The waves break against the rocks.	coda_s_aspiration;diphthong_ie_ue;velar_nasal;rhotic;sandhi;statement	Aspiration across plural codas; trill [r] 'rompen'; diphthong 'piedras' (hualde2005).
es-CO-x-costa-010	¿Cuándo llegan tus primos?	kuando ʝeɣaŋ tuh pɾimoh	When are your cousins arriving?	yeismo;coda_s_aspiration;velar_nasal;question	Yeismo 'llegan'; aspiration 'tus' [tuh]; velar nasal 'llegan' [ʝeɣaŋ] (fontanella_de_weinberg1992).
es-CO-x-costa-011	Buenos días, ¿cómo amaneciste?	bwenoh diah komo amanesiste	Good morning, how did you sleep?	seseo;coda_s_aspiration;diphthong_ie_ue;sandhi;question	Caribbean tuteo greeting; coda /s/→[h] 'días' [diah], 'buenos' [bwenoh]; seseo (hualde2005).
es-CO-x-costa-012	Ese pescado está bien fresco.	ese peskaðo esta bjeŋ fɾesko	That fish is nice and fresh.	diphthong_ie_ue;velar_nasal;sandhi;statement	Aspiration 'fresco'; velar nasal 'bien' [bjeŋ]; diphthong (fontanella_de_weinberg1992).
