id	sentence	raw	ipa	gloss_en	features	notes
ar-TD-001	كِيف حَالَك؟ اِنْتَ طَيِّب الْيَوْم وَلَّا تَعْبَان؟	كيف حالك؟ انت طيب اليوم ولا تعبان؟	ˈkiːf ˈħaːlak ˈʔinta ˈtˤɑjjib alˈjoːm ˈwallaː taʕˈbaːn	How are you? Are you well today or tired?	kaf;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	skeleton-tier lect: generic West-Sudanic phrasing (owens1993; holes2004); geminates يّ لّ
ar-TD-002	اَلْوَطَى حَارّ شَدِيد وَالشَّمِس قَوِيَّة فِي اِنْجَمِينَا.	الوطى حار شديد والشمس قوية في انجمينا.	ˈalwɑtˤɑː ˈħaːrr ʃaˈdiːd ˈwaʃʃamis ɡaˈwijja fiː ʔindʒaˈmiːnaː	The ground/weather is very hot and the sun is strong in N'Djamena.	qaf;jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	waṭā 'ground/weather' (West-Sudanic, owens1993); ق=/ɡ/ g-dialect (owens1993, added source); sun assimilation aʃ-ʃ
ar-TD-003	أَنَا مَا نِدَوْر قَهْوَة، نَشْرَب شَاهِي بَس.	أنا ما ندور قهوة، نشرب شاهي بس.	ˈʔanaː maː niˈdoːr ˈɡahawa ˈnaʃrab ˈʃaːhiː ˈbas	I don't want coffee, I only drink tea.	qaf;hamza;ta_marbuta;long_vowel;diphthong;negation	Maghrebi-type n- 1sg imperfect (versteegh2001 ch.10: West-Sudanic n-prefix); ndawr 'want' (owens1993); šāhi 'tea'
ar-TD-004	اِشْتَرَيت تَلَاتَة كِيلُو لَحَم مِن السُّوق بِأَلْف فَرَنْك.	اشتريت تلاتة كيلو لحم من السوق بألف فرنك.	ʔiʃtaˈrajt taˈlaːta ˈkiːluː ˈlaħam min asˈsuːɡ biˈʔalf faˈrank	I bought three kilos of meat from the market for a thousand francs.	qaf;kaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;number	ث→/t/ stop reflex (holes2004: West-Sudanic); franc currency loan; ق=/ɡ/ in sūg
ar-TD-005	اَلْبَقَر مَاشِي فِي الْخَلَا دَاوَر عَشَب أَخْضَر.	البقر ماشي في الخلا داور عشب أخضر.	ˈalbaɡar ˈmaːʃiː fiː ˈalxalaː ˈdaːwar ˈʕaʃab ˈʔaxdˤɑr	The cattle are walking in the bush looking for green grass.	qaf;hamza;emphatic;pharyngeal;long_vowel;statement	cattle-herding semantic field (Shuwa/Baggara context, owens1993); خ /x/, ض /dˤ/ emphatic
ar-TD-006	خَلِّي الثَّوْب دَا هِنِي وَتَعَال.	خلي الثوب دا هني وتعال.	ˈxalliː θˈθoːb ˈdaː ˈhiniː wataˈʕaːl	Leave that garment here and come.	interdental;sun_assim;pharyngeal;geminate;long_vowel;diphthong;imperative	Chadian imperatives xalli/taʕal; retained interdental ث with sun assimilation (owens2006); da postposed demonstrative, hini 'here'
ar-TD-007	الدُّنْيَا الْيَوْم بَارِد وَمَا فِي مَطَر.	الدنيا اليوم بارد وما في مطر.	adˈdunjaː lˈjoːm ˈbaːrid wamaː fiː ˈmɑtˤɑr	The weather today is cold and there is no rain.	sun_assim;emphatic;geminate;long_vowel;diphthong;statement;negation	ad-dunya 'weather/world', baːrid 'cold', maː-fi negative existential (pommerol1999; kaye1976); emphatic backing ɑ next to tˤ in mɑtˤɑr (watson2002)
ar-TD-008	بِكَم الْكِيلُو لَحَم؟ بِخَمْس مِيَة فَرَنْك.	بكم الكيلو لحم؟ بخمس مية فرنك.	ˈbikam alˈkiːluː ˈlaħam biˈxams ˈmija faˈrank	How much is a kilo of meat? Five hundred francs.	kaf;ta_marbuta;pharyngeal;long_vowel;question;number	bi-kam price question, xams mija numeral + farank currency loan (pommerol1999); laħam shows gahawa low-vowel insertion in word-final CaGC# (owens2006; prochazka2026)
ar-TD-009	نِتْلَاقَى بُكْرَة الصُّبَاح سَاعَة سَبْعَة.	نتلاقى بكرة الصباح ساعة سبعة.	nitˈlaːɡaː ˈbukra sˤsˤuˈbaːħ ˈsaːʕa ˈsabʕa	We will meet tomorrow morning at seven o clock.	qaf;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;statement;number	nitlaːɡaː 'we meet' < laːɡaː with n- imperfect; sun assimilation sˤ-sˤubaːħ (owens1993; pommerol1999)
ar-TD-010	أَهْلِي قَاعِدِين فِي حِلَّة قَرِيبَة مِن اِنْجَمِينَا.	أهلي قاعدين في حلة قريبة من انجمينا.	ˈʔahliː ɡaːʕiˈdiːn fiː ˈħilla ɡaˈriːba min ʔindʒaˈmiːnaː	My family lives in a village near N Djamena.	qaf;jim;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;statement	gaːʕidiːn 'residing/living', ħilla 'village/settlement', qaf->ɡ in ɡariːba (kaye1976; pommerol1999)
ar-TD-011	اِمْشِي قُدَّام وَلِفّ يَمِين عِنْد السُّوق.	امشي قدام ولف يمين عند السوق.	ˈʔimʃiː ɡudˈdaːm waˈliff jaˈmiːn ˈʕind asˈsuːɡ	Go straight ahead and turn right at the market.	qaf;sun_assim;pharyngeal;geminate;long_vowel;imperative	imperatives imʃi 'go', liff 'turn', jamiːn 'right'; qaf->ɡ (guddaːm, suːɡ) (pommerol1999; owens1993)
ar-TD-012	الْأَكِل دَا كَان سَمِح شَدِيد أَمْس.	الأكل دا كان سمح شديد أمس.	ˈalʔakil ˈdaː ˈkaːn ˈsamiħ ʃaˈdiːd ˈʔams	That food was very good yesterday.	kaf;hamza;pharyngeal;long_vowel;statement	al-akil 'food', postposed demonstrative daː, samiħ 'good/nice', ams 'yesterday' (pommerol1999; kaye1976)
ar-TD-013	وَيْن أَخُوك؟ مَا قَاعِد هِنِي.	وين أخوك؟ ما قاعد هني.	ˈweːn ʔaˈxuːk maː ˈɡaːʕid ˈhiniː	Where is your brother? He is not here.	qaf;kaf;hamza;pharyngeal;long_vowel;diphthong;question;negation	wajn 'where', preverbal maː negation, hini 'here' (pommerol1999; owens1993)
