id	sentence	ipa	gloss_en	features	notes
cbk-zam-001	Ya mirá yo con el bata na casa.	ja miɾa jo kon el bata na kasa	I saw the child at home.	nasal_coda;glide;tap;statement	Perfective particle 'ya' + final-stressed root 'mirá'; TMA syntax per forman1972; seseo throughout per lipski1987.
cbk-zam-002	Ta comprá ele pan na tienda.	ta kompɾa ele pan na tienda	He is buying bread at the store.	nasal_coda;prenasal_cluster;tap;statement	Imperfective 'ta' + 'comprá'; pronoun 'ele'; verb-initial creole syntax per forman1972.
cbk-zam-003	No hay yo dinero ahora.	no haj jo dineɾo ahoɾa	I have no money now.	glide;tap;negation	Negation with 'no'; existential 'hay'; ⟨h⟩ realised [h] per lipski1987.
cbk-zam-004	Ta llové na ciudad.	ta jobe na siudad	It is raining in the city.	glide;statement	Yeísmo ⟨ll⟩=[j] 'llové' and seseo ⟨ci⟩=[s] 'ciudad' per lipski1987.
cbk-zam-005	Cosa tu quiere comé?	kosa tu kieɾe kome	What do you want to eat?	tap;question	Interrogative frame 'cosa'; ⟨qu⟩=[k] 'quiere'; final-stressed 'comé' per forman1972.
cbk-zam-006	Ya cayé el niño na agua.	ja kaje el niɲo na aɡa	The child fell in the water.	glide;palatal_nasal;statement	Palatal nasal ⟨ñ⟩=[ɲ] 'niño'; ⟨y⟩=[j] 'cayé' per lipski1987.
cbk-zam-007	El gente ta reza na iglesia.	el xente ta ɾesa na iɡlesia	The people pray in church.	nasal_coda;prenasal_cluster;tap;statement	⟨g⟩ before front vowel = [x]~[h] 'gente' and seseo ⟨z⟩=[s] 'reza' per lipski1987.
cbk-zam-008	Vamos ya na casa.	bamos ja na kasa	Let us go home now.	glide;imperative	Betacism ⟨v⟩=[b] 'vamos'; hortative reading per forman1972.
cbk-zam-009	Tiene ele cinco hijo.	tiene ele sinko hiho	He has five children.	nasal_coda;prenasal_cluster;statement;number	Seseo ⟨ci⟩=[s] 'cinco'; ⟨j⟩=[h] 'hijo'; numeral frame per lipski1987.
cbk-zam-010	Ese muchacho ta cantá.	ese mutʃatʃo ta kanta	That boy is singing.	nasal_coda;prenasal_cluster;postalveolar;affricate;statement	Affricate ⟨ch⟩=[tʃ] 'muchacho' per lipski1987; 'ta'+root per forman1972.
cbk-zam-011	Quién ese mujer?	kien ese muheɾ	Who is that woman?	nasal_coda;tap;question	Interrogative 'quién'; ⟨j⟩=[h] 'mujer' per lipski1987.
cbk-zam-012	Ta trabajá su padre na campo.	ta tɾabaha su padɾe na kampo	His father works in the field.	nasal_coda;prenasal_cluster;tap;statement	⟨j⟩=[h] 'trabajá'; non-lenited [d] in 'padre' per lipski1987.
cbk-zam-013	Bien bonito el flores aquí.	bien bonito el floɾes aki	The flowers here are pretty.	nasal_coda;tap;statement	Adjective-predicate copula-drop; ⟨qu⟩=[k] 'aquí' per forman1972.
cbk-zam-014	Ya llegá ya el barco.	ja jeɡa ja el baɾko	The ship has already arrived.	glide;tap;statement	Yeísmo ⟨ll⟩=[j] 'llegá'; aspectual double 'ya' per forman1972.
cbk-zam-015	No sabe yo con ese.	no sabe jo kon ese	I do not know that.	nasal_coda;glide;negation	Negation 'no'; oblique marker 'con' on the object per forman1972.
cbk-zam-016	Ta jugá el maga bata na calle.	ta huɡa el maɡa bata na kaje	The children are playing in the street.	glide;statement	Plural marker 'maga'; yeísmo ⟨ll⟩=[j] 'calle' per lipski1987; substrate pluraliser per lipski2001.
cbk-zam-017	Grande el vaca de mi tata.	ɡɾande el baka de mi tata	My dad's cow is big.	nasal_coda;prenasal_cluster;tap;statement	Betacism ⟨v⟩=[b] 'vaca'; non-lenited intervocalic [d] 'padre'-class per lipski1987.
cbk-zam-018	Ta canta el pájaro na árbol.	ta kanta el pahaɾo na aɾbol	The bird sings in the tree.	nasal_coda;prenasal_cluster;tap;statement	⟨j⟩=[h] 'pájaro'; acute-accent vowels mapped to base quality per forman1972.
cbk-zam-019	Ya dá ele con mí el regalo.	ja da ele kon mi el ɾeɡalo	He gave me the gift.	nasal_coda;glide;tap;statement	Oblique 'con mí'; ditransitive frame per forman1972.
cbk-zam-020	Hende kita puede andá allá.	hende kita puede anda aja	We cannot go there.	nasal_coda;prenasal_cluster;glide;negation	Substrate negator 'hende' and inclusive 'kita' per lipski2001; yeísmo ⟨ll⟩=[j] 'allá' per lipski1987.
