id	sentence	raw	ipa	gloss_en	features	notes
ar-NG-001	كَيف حَالَك يَا أَخُوي؟ اِنْتَ سَلَامَة؟	كيف حالك يا أخوي؟ انت سلامة؟	ˈkajf ˈħaːlak ˈjaː ʔaˈxuːj ˈʔinta saˈlaːma	How are you my brother? Are you well?	kaf;hamza;ta_marbuta;pharyngeal;long_vowel;diphthong;question	Shuwa greeting (owens1993 §greetings); diphthong ay retained in كَيف (owens1993: NA kayf)
ar-NG-002	اَلْمَطَر نَزَل أَمْبَارِح وَالْوَادِي مَلَان مُويَة.	المطر نزل أمبارح والوادي ملان موية.	ˈalmɑtˤɑr ˈnazal ʔamˈbaːriħ walˈwaːdiː maˈlaːn ˈmuːja	The rain fell yesterday and the wadi is full of water.	hamza;ta_marbuta;emphatic;pharyngeal;long_vowel;statement	ambāriḥ 'yesterday', mōya 'water' (West-Sudanic lexemes, owens1993); pharyngeal ح
ar-NG-003	أَنَا مَا نِدَوْر شَاهِي، نَدَوْر لَبَن بَس.	أنا ما ندور شاهي، ندور لبن بس.	ˈʔanaː ˈmaː niˈdawr ˈʃaːhiː naˈdawr ˈlaban ˈbas	I don't want tea, I want milk only.	hamza;long_vowel;diphthong;negation	n- 1sg imperfect (owens1993 §verb: Nigerian Arabic n-prefix); ndawr 'want'
ar-NG-004	اِشْتَرَيت تَلَاتَة بَقَرَات مِن السُّوق بِقُرُوش كَتِير.	اشتريت تلاتة بقرات من السوق بقروش كتير.	ʔiʃtaˈrajt taˈlaːta baɡaˈraːt ˈmin asˈsuːɡ biɡuˈruːʃ kaˈtiːr	I bought three cows from the market for a lot of money.	qaf;kaf;ta_marbuta;sun_assim;geminate;long_vowel;diphthong;statement;number	ث→/t/ in talāta/katīr (owens1993: stop reflexes); ق=/ɡ/ in gurūš 'money'
ar-NG-005	اَلظُّهُر دَا اَلشَّمِس حَارَّة وَالْخَلَا كُلَّه رَمِل.	الظهر دا الشمس حارة والخلا كله رمل.	ˈɑdˤdˤuhur ˈdaː ˈaʃʃamis ˈħaːrra ˈwalxalaː ˈkullah ˈramil	At this noon the sun is hot and the bush is all sand.	interdental;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	ظ stop reflex /dˤ/ (holes2004); demonstrative dā (owens1993); geminates رّ لّ
ar-NG-006	تَعَال جُوَّه يَا أَخُوي نَقْعُد سَوَا.	تعال جوه يا أخوي نقعد سوا.	taˈʕaːl ˈdʒuwwah ˈjaː ʔaˈxuːj ˈnaɡʕud ˈsawaː	Come inside, brother, let's sit together.	qaf;jim;hamza;pharyngeal;geminate;long_vowel;diphthong;imperative	Nigerian Arabic imperative taʕal with juwwa 'inside' (ǧīm affricate) and naqʕud→nagʕud qaf→g (owens2006)
ar-NG-007	اَلْيَوم اَلْجَو بَارِد وَمَا فِي شَمِس.	اليوم الجو بارد وما في شمس.	alˈjawm ˈaldʒaw ˈbaːrid ˈwamaː ˈfiː ˈʃamis	Today the weather is cold and there is no sun.	jim;long_vowel;diphthong;statement;negation	al-jaw 'weather/sky', ma fi 'there isn't' negation (owens1993); jim ج=/dʒ/ inherited from ar-TD
ar-NG-008	اَللَّحَم بِكَم؟ اَلْكِيلُو بِخَمْسَة أَلَاف.	اللحم بكم؟ الكيلو بخمسة ألاف.	ˈallaħam ˈbikam alˈkiːluː biˈxamsa ʔaˈlaːf	How much is the meat? The kilo is five thousand.	kaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;question;number	bikam price question, laham 'meat'; sun-assimilated article al-laham geminate (owens1993)
ar-NG-009	مِيعَادْنَا بُكْرَة اَلسَّاعَة أَرْبَعَة عِنْد اَلسُّوق.	ميعادنا بكرة الساعة أربعة عند السوق.	miːˈʕaːdnaː ˈbukra sˈsaːʕa ˈʔarbaʕa ˈʕind asˈsuːɡ	Our appointment is tomorrow at four o'clock at the market.	qaf;kaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;statement;number	mīʕād 'appointment', qaf→g in sūg (owens2006); sun assim as-sāʕa/as-sūg
ar-NG-010	أَبُويَ وَأُمِّي قَاعِدِين فِي اَلْهِلَّة.	أبوي وأمي قاعدين في الهلة.	ʔaˈbuːja waˈʔummiː ɡaːʕiˈdiːn ˈfiː lˈhilla	My father and mother live in the village.	qaf;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;statement	gaʕad 'reside/stay' qaf→g gāʕidīn; hilla 'settlement/village' West-Sudanic lexeme (owens1993)
